year,premier_ADJ an_NOUN,premier_ADJ champ_NOUN
1800,1.2576658381391326e-08,5.65949598296811e-08
1801,5.238601819002042e-08,8.572257570449437e-08
1802,4.923248297927785e-08,2.0140561218795483e-08
1803,1.755305234496518e-08,5.460949736857401e-08
1804,5.6852570651244605e-08,3.707776485839531e-08
1805,1.1371510844071508e-08,1.9900143755080535e-08
1806,8.645007376628655e-09,6.339671898558663e-08
1807,8.540865348294346e-09,7.117387923472052e-08
1808,1.8128591960930862e-08,4.5321478570059526e-08
1809,2.2590304959990704e-08,7.680704072754452e-08
1810,2.574139479349924e-08,3.978215445954447e-08
1811,7.521229861140455e-09,2.757784400841956e-08
1812,2.1337665856435706e-08,1.600324850414836e-08
1813,4.026038169513413e-08,3.1633157648869314e-08
1814,1.5733386149463513e-08,9.440030979135372e-09
1815,4.315557688983063e-08,2.4275012222574333e-08
1816,1.3905623319487859e-08,8.1116134253989e-08
1817,7.784366928831332e-09,1.5568733857662664e-08
1818,1.3113295338484932e-08,5.2453181353939726e-08
1819,1.3456364911235141e-08,5.072014630513877e-08
1820,7.238553223487543e-08,3.9159388620646496e-08
1821,1.577838115718322e-08,3.944595405869222e-08
1822,2.8071724500478012e-08,4.8122956286533736e-08
1823,4.249555285440465e-08,2.3718449426723964e-08
1824,7.242157096243318e-08,3.536867154707579e-08
1825,1.1447076175841175e-08,4.226612659863349e-08
1826,1.1362299801032094e-07,3.963592831723872e-08
1827,4.7929820112813104e-08,7.097300169789378e-08
1828,3.0268594741755805e-08,7.06267186956211e-08
1829,6.772809124644397e-08,3.0006116702452346e-08
1830,1.5655253982060913e-08,3.7572607469726904e-08
1831,1.4032085493553836e-08,1.5591206548037917e-08
1832,1.7588959622116818e-08,2.976593194148336e-08
1833,2.7800709290204395e-08,6.139323005527331e-08
1834,1.4935249481595747e-08,3.173740381612333e-08
1835,4.9916380362446944e-08,5.974839467626225e-08
1836,7.661655132551459e-08,4.704525125021064e-08
1837,6.818733033764346e-08,3.618103228131275e-08
1838,4.8603647551104245e-08,7.385229139345029e-08
1839,2.4470162784950844e-08,4.824117993962318e-08
1840,4.0766007458614695e-08,3.9492068282243054e-08
1841,9.630822361827995e-09,2.8892468861840825e-08
1842,3.8237111255057243e-08,4.762868144325694e-08
1843,3.8394921131335025e-08,5.0208743829216473e-08
1844,3.402907916560949e-08,4.7750482679020934e-08
1845,2.566904894196753e-08,4.408380149811819e-08
1846,2.1076203893244383e-08,2.6345256642912318e-08
1847,2.6426795862732888e-08,4.6921044827286096e-08
1848,4.666228597960398e-08,5.309846429213394e-08
1849,5.1952373070207614e-08,7.373885324568619e-08
1850,3.055048125588655e-08,5.499086697113853e-08
1851,2.257303499675345e-08,4.837079004005318e-08
1852,2.7344290387532055e-08,7.487127362537649e-08
1853,2.9859659633757474e-08,6.151089881889504e-08
1854,1.1274591571464043e-07,4.2604447969551984e-08
1855,3.502578493908004e-08,6.102978034050466e-08
1856,2.1226476576430287e-08,3.20985730217771e-08
1857,5.174399508867111e-08,4.78387889302212e-08
1858,3.1808895073481835e-08,3.670256892851498e-08
1859,2.8516170758052795e-08,6.92535588875387e-08
1860,5.53839250017063e-08,4.7602711106264906e-08
1861,1.7920662287451705e-08,7.404063195881605e-08
1862,2.8463313594961903e-08,8.719713665006346e-08
1863,2.6471489888990618e-08,5.2942979777981236e-08
1864,2.3014694150447212e-08,6.376988181955312e-08
1865,2.9653119071326728e-08,5.4599393062293444e-08
1866,2.8220555337021835e-08,5.498142741089396e-08
1867,6.454239098729886e-08,5.095452060288608e-08
1868,2.321740844024589e-08,8.792975592086805e-08
1869,6.641585770239544e-08,4.785848706223561e-08
1870,2.6376625328339287e-08,6.938199392791944e-08
1871,4.885741633486873e-08,6.797553298021342e-08
1872,5.1402382683640724e-08,8.587221511646703e-08
1873,1.9155214303623325e-08,4.788803664723673e-08
1874,5.0784177918483664e-08,9.43988212043223e-08
