year,premier_ADJ chantier_NOUN
1800,1.8864987794131594e-08
1801,1.904946067554647e-08
1802,0.0
1803,9.751696339321825e-09
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,0.0
1808,0.0
1809,2.25903047379461e-08
1810,0.0
1811,2.5070767684098882e-09
1812,3.7340914360584065e-08
1813,5.751483289628823e-09
1814,1.2586708564299443e-08
1815,8.091670444798638e-09
1816,2.3176038865813098e-09
1817,0.0
1818,0.0
1819,6.210630232317271e-09
1820,0.0
1821,1.1833785507064931e-08
1822,6.015369535816717e-09
1823,5.929612356680991e-09
1824,0.0
1825,4.4027217427355936e-09
1826,8.80798456392995e-09
1827,0.0
1828,4.586150570418113e-09
1829,1.1145129263923081e-08
1830,1.878630406793036e-08
1831,0.0
1832,1.3529969367098715e-09
1833,3.4750886612755494e-09
1834,3.733812370398937e-09
1835,3.781543966852041e-09
1836,2.016224964762614e-09
1837,1.3915781860163179e-09
1838,3.1560809521380406e-09
1839,1.3982950353153e-09
1840,1.0191501864653674e-08
1841,3.852329122366882e-09
1842,4.695785538189057e-09
1843,1.7720733769266417e-09
1844,4.9397050894128824e-09
1845,7.812318791877715e-09
1846,1.7563503984519002e-09
1847,1.0247124926365814e-08
1848,0.0
1849,0.0
1850,2.7155984128057753e-09
1851,1.9348316282474798e-09
1852,6.510545436100301e-10
1853,2.9859659189668264e-09
1854,5.195664343204953e-09
1855,4.2455496895854594e-09
1856,2.0708756931497874e-09
1857,5.369659827891837e-09
1858,1.9574704079872163e-09
1859,2.5460866748261424e-09
1860,5.950338888283113e-09
1861,1.4619487842537637e-08
1862,1.2198563159593334e-08
1863,3.995696662428827e-09
1864,7.1920918109924514e-09
1865,6.118897832863013e-09
1866,4.379051787850585e-09
1867,0.0
1868,7.409810987013543e-09
1869,9.278686263769487e-09
1870,5.734048791339319e-09
1871,7.434824311758348e-09
1872,5.442605477412599e-09
1873,2.7535620894525437e-08
1874,2.509335916833777e-08
1875,1.4303817685856757e-08
1876,0.0
1877,6.184815992682502e-10
1878,7.850815109122777e-09
1879,1.0385852955430153e-08
1880,1.0268554007097919e-08
1881,3.4862537301449947e-09
1882,5.989846840748214e-09
1883,1.3270611554094813e-08
1884,3.9610181801208455e-09
1885,7.090199094506033e-09
1886,9.034849313138693e-09
1887,1.2404957061562527e-08
1888,6.340614699951175e-09
1889,9.397704836544563e-09
1890,0.0
1891,1.6572972327821844e-08
1892,6.8953633913793055e-09
1893,8.005941687372342e-09
1894,6.301539290376468e-09
1895,7.824199066419624e-09
1896,1.7101383420481397e-08
1897,1.8645483379486905e-08
1898,1.7540900287826844e-08
1899,5.527578395003729e-09
1900,2.180242297811219e-08
1901,9.500856101851696e-09
1902,9.329538919189417e-09
1903,1.9980815224585058e-08
1904,5.912087708281888e-09
1905,9.805441791854719e-09
1906,2.1091157265118454e-08
1907,1.0285686968813934e-08
1908,1.3751889405000384e-08
1909,7.701377313651392e-09
1910,1.6032452032632705e-09
1911,1.2236860413850081e-08
1912,2.031674206648404e-08
1913,9.015082902408267e-09
1914,3.1474696904343347e-08
1915,7.068456930880984e-09
1916,1.7579939282086343e-08
1917,2.0836205649743533e-08
1918,1.1486376294556067e-08
1919,3.6831393490643904e-09
1920,5.300562211374427e-09
1921,5.300923255902035e-09
1922,7.377935595798135e-09
1923,1.0615948120573648e-08
1924,1.4180787211159895e-08
1925,9.898360353588487e-09
1926,1.114613823460786e-08
1927,5.574612327308159e-09
1928,1.82816659588525e-08
1929,8.912325322185666e-09
1930,1.3654684716257748e-08
1931,1.0264820993199919e-08
1932,1.8631212128639163e-08
1933,1.1470662641954732e-08
1934,2.7557634396657704e-08
1935,9.574627313213568e-09
1936,6.0623572828433225e-09
1937,2.0145789036973838e-08
1938,1.5558256905023882e-08
1939,4.588215141154706e-09
1940,4.057252667166722e-08
1941,2.9515025978810172e-09
1942,1.8205270180260413e-08
1943,1.4516175816936538e-08
1944,2.8918675454292497e-08
1945,1.089252066321933e-08
1946,1.6705325123211878e-08
1947,1.668921911779364e-08
1948,2.7179719142012004e-08
1949,2.84693233432165e-08
1950,2.9779011700981073e-08
1951,1.4925962688039363e-08
1952,2.5307528517259925e-08
1953,2.5857186614075545e-08
1954,3.224936762080688e-08
1955,2.627970197011109e-08
1956,3.1396108823855684e-08
1957,3.710716001137371e-08
1958,4.9633460008635666e-08
1959,4.5729411368711226e-08
1960,4.290916666427336e-08
1961,2.2928925591525484e-08
1962,2.4733629921946942e-08
1963,2.7157423754253784e-08
1964,2.7986255035639118e-08
1965,2.407699106754535e-08
1966,1.8278946689598286e-08
1967,2.5637744371920235e-08
1968,2.6948494991074767e-08
1969,2.3162965295808746e-08
1970,2.9431840076199478e-08
1971,3.44272628183262e-08
1972,4.104117579117883e-08
1973,3.087394162548662e-08
1974,3.600365872102884e-08
1975,3.4268879289811593e-08
1976,4.113739193734034e-08
1977,5.935549546309815e-08
1978,4.277225607030033e-08
1979,3.511184165638781e-08
1980,2.7288723336571508e-08
1981,3.4157966344317003e-08
1982,5.524677126889088e-08
1983,4.10495557545687e-08
1984,3.421415178950227e-08
1985,6.737425195524338e-08
1986,5.694761062713383e-08
1987,4.1553555263362796e-08
1988,4.2575532377409075e-08
