year,ils_PRON avaient_VERB,ils_PRON savaient_VERB
1800,1.491906095907325e-05,6.759953663504348e-07
1801,1.4094219523030915e-05,6.595875845505361e-07
1802,1.0976605608448153e-05,5.28130271959526e-07
1803,1.2809827694582054e-05,5.285419177880613e-07
1804,1.7480930182500742e-05,7.514426698662646e-07
1805,1.4040973383089295e-05,3.3830245627086697e-07
1806,1.3370944770940696e-05,5.619254750399705e-07
1807,2.336211446163361e-05,8.398517934438132e-07
1808,1.3489938055499806e-05,6.027756853654864e-07
1809,1.7846341279437183e-05,5.512034562116241e-07
1810,1.7522868802188896e-05,6.177934750439817e-07
1811,1.877549789242039e-05,7.897291567360298e-07
1812,2.0604183418981847e-05,7.681559566208307e-07
1813,1.9293350305815693e-05,7.879532404331258e-07
1814,1.7873126353151747e-05,8.842162912969798e-07
1815,2.3330984276981326e-05,8.792949017788487e-07
1816,1.764855323926895e-05,6.048946090686513e-07
1817,2.2070237264415482e-05,1.1987925176981662e-06
1818,2.2421349967771675e-05,1.0001867565279099e-06
1819,2.555674291215837e-05,9.999114070069481e-07
1820,2.5973354240704793e-05,1.1581685726014257e-06
1821,2.5268091576435836e-05,1.067013016609053e-06
1822,2.64666236944322e-05,1.053692244568083e-06
1823,2.9919835469627287e-05,1.2175470374131692e-06
1824,3.32254994646064e-05,1.3642202816299687e-06
1825,3.320180303489906e-05,1.4863587693980662e-06
1826,3.0465937015833333e-05,1.1873162577558105e-06
1827,3.036538464584737e-05,1.2636881194794114e-06
1828,3.1031730031827465e-05,1.0722420142883493e-06
1829,3.152785438942374e-05,1.421432585857474e-06
1830,3.110385887339362e-05,1.2993860707410931e-06
1831,2.6249354505125666e-05,9.91600700217532e-07
1832,2.8917604595335433e-05,1.1879313035478845e-06
1833,3.402806669328129e-05,1.480387737728961e-06
1834,3.1765408493811265e-05,1.1705501776759775e-06
1835,3.143219373669126e-05,1.0981603679738328e-06
1836,3.357485138621996e-05,1.3797699409678899e-06
1837,3.3686629194562556e-05,1.488988658593371e-06
1838,3.632081052273861e-05,1.25422653241003e-06
1839,3.645844617494731e-05,1.306007590073932e-06
1840,4.271322086424334e-05,1.6612148101557977e-06
1841,3.285651519036037e-05,1.6141259493451798e-06
1842,3.595361704356037e-05,1.5200928658032353e-06
1843,3.18760544359975e-05,1.5635593513252388e-06
1844,3.9154297610366484e-05,1.652056965895099e-06
1845,3.62692494491057e-05,1.5462811688848888e-06
1846,3.5018699236388784e-05,1.4290838237229764e-06
1847,3.5747904348681914e-05,1.4836758737146738e-06
1848,3.12387910526013e-05,1.3717102831378725e-06
1849,3.264536326241796e-05,1.2962954656359216e-06
1850,3.362182451382978e-05,1.4195790924986795e-06
1851,3.4914681236841716e-05,1.5917215421268338e-06
1852,2.8936119633726776e-05,1.255233172514636e-06
1853,2.9925948638265254e-05,1.3436846870718e-06
1854,2.890659925469663e-05,1.1918854170289706e-06
1855,2.9605279905808857e-05,1.313997614715845e-06
1856,2.932463439719868e-05,1.3750614868968114e-06
1857,2.9203140456957044e-05,1.421007254975848e-06
1858,3.015874654010986e-05,1.205312400998082e-06
1859,3.326818614368676e-05,1.5184860444605874e-06
1860,3.240920796088176e-05,1.5324411322126252e-06
1861,3.148330142721534e-05,1.684542269231315e-06
1862,3.077381143157254e-05,1.1764836074235063e-06
1863,3.0580565180571284e-05,1.471914799822116e-06
1864,2.934325630121748e-05,1.381361130370351e-06
1865,3.044104460059316e-05,1.3852243228029693e-06
1866,3.176564086970757e-05,1.5667272919017705e-06
1867,2.9330877623579e-05,1.3456846374992892e-06
1868,2.7003327431884827e-05,1.3174644095670374e-06
1869,2.8961710995645262e-05,1.5602843177475734e-06
1870,2.9501680273824604e-05,1.4639026915119757e-06
1871,3.0304342544695828e-05,1.7439973589716828e-06
1872,3.218877827748656e-05,1.517277439688769e-06
1873,2.7369209874450462e-05,1.2636455153369752e-06
1874,2.817984113789862e-05,1.2164304052930675e-06
1875,2.796854050757247e-05,1.5047616557239962e-06
1876,2.699182778087561e-05,1.1826004993054084e-06
1877,2.7113614578411216e-05,1.3569486441156187e-06
1878,2.8372242013574578e-05,1.2410327201450855e-06
1879,2.7792541914095636e-05,1.3544374439788953e-06
1880,2.4677901819813997e-05,1.2219579446082207e-06
1881,2.7581148060562555e-05,1.3115286492393352e-06
1882,2.650773376444704e-05,1.2638576549761638e-06
1883,2.5390471364516998e-05,1.1204187728708348e-06
1884,2.6482706743991002e-05,1.2794088775081036e-06
1885,2.605454847071087e-05,1.2562544213778892e-06
1886,2.613330207168474e-05,1.1738850957954128e-06
1887,2.4220351406256668e-05,1.1092643035226502e-06
1888,2.5080935756705003e-05,1.041128967926852e-06
1889,2.5840557100309525e-05,1.2336054169281852e-06
1890,2.4623518584121484e-05,1.0808182935306831e-06
1891,2.2884087229613215e-05,1.0096764810896275e-06
1892,2.3545786916656652e-05,1.0129915892775898e-06
1893,2.4912025764933787e-05,1.0764912019567419e-06
1894,2.4728501102799783e-05,1.0082462722493801e-06
1895,2.525531044739182e-05,1.1158511199482746e-06
1896,2.5718122287798906e-05,1.1021547265954723e-06
1897,2.4003729322430445e-05,1.0948394617571466e-06
1898,2.397897560513229e-05,9.692761864243948e-07
1899,2.3266130938282004e-05,1.0303406270395499e-06
1900,2.3434491140505997e-05,1.0221183686098811e-06
1901,2.2934508251637453e-05,9.819414117373526e-07
1902,1.9141268694511382e-05,9.128217755005608e-07
1903,2.225592788818176e-05,9.185774558773119e-07
1904,2.1659740468749078e-05,9.652826804540382e-07
1905,2.2205714685696876e-05,1.0300875032953627e-06
1906,2.1897764781897422e-05,8.364443999653304e-07
1907,2.163028511859011e-05,1.0496543154658866e-06
1908,2.139548496415955e-05,1.091310650735977e-06
1909,2.1277804080455098e-05,1.0385856796801818e-06
