year,elles_PRON avaient_VERB,elles_PRON savaient_VERB
1800,2.7731529712582415e-06,7.231578180721954e-08
1801,2.6716869570009294e-06,5.476719877606229e-08
1802,2.177418451765334e-06,2.0140561218795483e-08
1803,2.4008676575704158e-06,4.290746247193056e-08
1804,3.621261669195519e-06,8.157108055684148e-08
1805,2.697890977287898e-06,2.842877755426798e-08
1806,3.0805043707005098e-06,3.7461699520235925e-08
1807,4.256197996710398e-06,1.9928686700865228e-08
1808,3.034272992863407e-06,5.6651849433819734e-08
1809,3.23493173937095e-06,2.259030518203531e-08
1810,3.458707311665421e-06,7.254392819788791e-08
1811,3.6803886018788035e-06,2.5070766795920463e-08
1812,3.936799316761608e-06,4.800974551244508e-08
1813,4.4200147044648475e-06,8.052076339026826e-08
1814,3.3260377847454947e-06,5.978686701268998e-08
1815,3.813874144498186e-06,3.236668266737297e-08
1816,3.555204443728144e-06,8.343374169328399e-08
1817,4.04320024927074e-06,5.916118883675381e-08
1818,4.472825594348251e-06,3.337929666002992e-08
1819,4.063822132138739e-06,5.58956703144986e-08
1820,4.5887680926171015e-06,6.763894067063347e-08
1821,5.114167720421392e-06,1.0749022383294005e-07
1822,4.757154727030866e-06,1.1328945959121484e-07
1823,5.2635190854744e-06,1.0080341006357685e-07
1824,4.8438239446113585e-06,5.55793455703224e-08
1825,5.346665261640737e-06,6.339919078612866e-08
1826,5.015266253849404e-06,4.05167286388064e-08
1827,5.405930835422623e-06,1.0507691072803027e-07
1828,6.211482514117961e-06,1.0731592681167967e-07
1829,6.305571105258423e-06,1.200244632570957e-07
1830,5.8634142874325335e-06,1.2419834405363872e-07
1831,5.700144811271457e-06,6.54830669688522e-08
1832,5.893654815736227e-06,1.0282776763403945e-07
1833,7.0636966711390414e-06,1.274199128431519e-07
1834,6.147721990146238e-06,8.77445902602858e-08
1835,6.268287393140781e-06,8.31939672707449e-08
1836,6.322209685549751e-06,1.2366180257572523e-07
1837,6.587035386473872e-06,7.931995860133156e-08
1838,6.671324058515893e-06,1.0036337538821272e-07
1839,6.603448127862066e-06,1.0836786845658253e-07
1840,7.009842420302448e-06,1.0637380132294538e-07
1841,6.4783333755258354e-06,1.348315201710193e-07
1842,6.621057480060699e-06,1.381902610120278e-07
1843,6.865012210255372e-06,1.2345444133643468e-07
1844,7.164768021539203e-06,1.1745521444339602e-07
1845,7.17561499641306e-06,1.2722919962016022e-07
1846,6.637833507738833e-06,1.2060272780445302e-07
1847,7.055954597490199e-06,1.0894311586184813e-07
1848,7.296211606444558e-06,9.252004673498959e-08
1849,7.331988172154524e-06,7.206296803730083e-08
1850,6.7197483986092266e-06,1.2763312895458512e-07
1851,7.650324164387712e-06,1.3156855160900705e-07
1852,6.324344042241137e-06,9.310079995827891e-08
1853,6.5840547449624864e-06,8.778739779558009e-08
1854,6.276882288602792e-06,1.1326548587931029e-07
1855,6.6304871779721e-06,1.4487938670981748e-07
1856,6.302710062300321e-06,1.5324479996081664e-07
1857,7.041576850497222e-06,1.1325101123560444e-07
1858,6.797316132178821e-06,1.1255454879233184e-07
1859,7.218155587906949e-06,1.4461772224194647e-07
1860,7.00904195127805e-06,1.4051953911575765e-07
1861,6.369380571413785e-06,1.8628056253078284e-07
1862,6.413733217414119e-06,1.147568546855382e-07
1863,6.3481631968898e-06,1.0488703594546678e-07
1864,6.404318128261366e-06,1.4288288952002404e-07
1865,6.5288639916616376e-06,1.1861247983802059e-07
1866,6.553494131367188e-06,1.2358656675814927e-07
1867,6.369315201482095e-06,1.4849603502398168e-07
1868,6.3230389741875115e-06,1.299186855874268e-07
1869,6.521451382468513e-06,1.631095436493979e-07
1870,6.518466761917807e-06,1.2786928493824234e-07
1871,6.501222628685355e-06,1.5082071413985432e-07
1872,6.545640189870028e-06,9.857163085769116e-08
1873,6.018927251716377e-06,1.0894527946447852e-07
1874,6.518298505397979e-06,1.1053026938157018e-07
