year,trois_DET eaux_NOUN,trois_DET sots_NOUN
1800,9.432493897065797e-09,9.432493897065797e-09
1801,8.096020565062645e-08,0.0
1802,1.1189200677108602e-08,4.475680270843441e-09
1803,2.3404069793286908e-08,0.0
1804,1.730295728918918e-08,2.4718509461507665e-09
1805,2.842877755426798e-08,0.0
1806,5.76333825108577e-09,0.0
1807,1.9928686256776018e-08,0.0
1808,2.2660739062985158e-08,0.0
1809,5.421673421324158e-08,1.8072244145628247e-08
1810,9.594519667643908e-08,0.0
1811,7.019814773912003e-08,0.0
1812,1.600324850414836e-08,0.0
1813,3.738464116054274e-08,2.8757416448144113e-09
1814,4.090680150170556e-08,3.1466771410748606e-09
1815,3.506390555685357e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,2.1796227045456362e-08,0.0
1818,2.6226590676969863e-08,0.0
1819,1.2421260464634543e-08,1.035105001712111e-09
1820,3.5599443393152796e-09,2.3732962262101864e-09
1821,5.9168927535324656e-09,0.0
1822,2.7069162911175226e-08,6.015369535816717e-09
1823,7.609668595254249e-08,0.0
1824,5.221090049190025e-08,8.421112696055388e-10
1825,3.874394849390228e-08,0.0
1826,2.906634755106552e-08,6.1655889282974385e-09
1827,2.949527377893446e-08,0.0
1828,4.219258542548232e-08,0.0
1829,2.8291481157793896e-08,1.714635211591542e-09
1830,5.844628248041772e-08,1.3567886369969528e-08
1831,4.053713453799901e-08,0.0
1832,3.111892965534935e-08,0.0
1833,5.21263281427764e-08,2.3167257001688313e-09
1834,3.733812370398937e-09,7.467624740797874e-09
1835,6.806779140333674e-09,0.0
1836,1.6129799718100912e-08,6.048674894287842e-09
1837,5.5663127440652715e-09,1.3915781860163179e-09
1838,1.2624323364462953e-08,0.0
1839,1.8876983531868063e-08,2.0974426639952526e-09
1840,5.732719632334238e-09,2.5478754661634184e-09
1841,0.0,1.2841097074556274e-09
1842,1.8783142152756227e-08,0.0
1843,4.843666989717832e-08,0.0
1844,1.8112252364588244e-08,0.0
1845,1.5066614622583074e-08,5.580227946389016e-10
1846,1.6978054517835517e-08,5.854501328173001e-10
1847,2.9662729161827883e-08,5.393223645455691e-10
1848,2.333114323960217e-08,3.218088684420195e-09
1849,4.189707314417035e-08,0.0
1850,2.2403686017469226e-08,2.7155984128057753e-09
1851,1.096404567135778e-08,1.2898877521649865e-09
1852,4.427170807730363e-08,3.906327261660181e-09
1853,5.971931837933653e-09,1.7915795513800958e-09
1854,4.208488119106235e-08,2.5978321716024766e-09
1855,5.837630823180007e-08,3.714855978387277e-09
1856,5.3842768188427925e-08,1.0354378687793542e-08
1857,2.0502338549110988e-08,4.881508974818871e-09
1858,2.6425849952715907e-08,2.4468380654951716e-09
1859,4.226503946824778e-08,3.055304009791371e-09
