year,les_DET herbes_NOUN,les_DET serbes_NOUN
1800,5.892164267606859e-06,5.65949598296811e-08
1801,3.295556723514892e-06,2.6193007984787187e-08
1802,4.4823939049365435e-06,6.713520406265161e-09
1803,4.304398467880333e-06,0.0
1804,3.643508284412178e-06,0.0
1805,3.727012756193915e-06,2.2743021688143017e-08
1806,1.994115017112108e-06,0.0
1807,2.3003396449894353e-06,0.0
1808,2.9572266413424586e-06,1.1330369531492579e-08
1809,4.0030020653780696e-06,2.259030518203531e-08
1810,3.1310896102532126e-06,4.680253518074551e-09
1811,2.41431496306177e-06,3.760615285841595e-08
1812,1.92572435064875e-06,7.228134109027451e-07
1813,2.0791612151960237e-06,3.335860299102933e-07
1814,1.3750979093174465e-06,3.1466771410748606e-09
1815,3.398501661422415e-06,1.618334155573109e-08
1816,2.551681845375242e-06,4.6352077731626196e-09
1817,3.0094363836496996e-06,0.0
1818,2.908767214648833e-06,9.536941902865692e-09
1819,1.9211549115993876e-06,2.4842520929269085e-08
1820,2.3543098848222144e-06,3.5599443393152796e-09
1821,1.301716503254724e-06,9.86148829262845e-10
1822,1.581039668963058e-06,1.0025615893027862e-09
1823,1.9636898969110916e-06,1.1859224713361982e-08
1824,1.4922212159262926e-06,2.6947560627377243e-07
1825,2.0631153319072837e-06,7.044354433105582e-09
1826,1.993246868892129e-06,3.963593053768477e-08
1827,1.562327788917628e-06,1.2904182611350734e-08
1828,1.6647727107965693e-06,5.870272801189458e-08
1829,1.741212111383561e-06,1.0116347742838983e-07
1830,2.5538937720170907e-06,3.1310507520032616e-08
1831,2.5070658722370354e-06,2.0268567268999504e-08
1832,2.193207976119993e-06,2.30009471469117e-08
1833,2.7626954448578545e-06,1.9692167896323554e-08
1834,2.1226722708433954e-06,3.267085713076767e-08
1835,2.2863214894641715e-06,9.832014313815307e-09
1836,2.3482300122168454e-06,5.242185102671826e-08
1837,2.193823000595785e-06,6.818733311320102e-08
1838,1.887336459560629e-06,6.375283678750066e-08
1839,1.6381026350931194e-06,1.1326189586213786e-07
1840,1.7185420091436754e-06,1.1815772040790762e-06
1841,2.119423008650756e-06,4.494383842867933e-08
1842,1.7394530757997018e-06,4.0249589616792036e-07
1843,2.0875023309940843e-06,7.519497700059219e-07
1844,2.1279153159525777e-06,2.859540462196719e-07
1845,1.7387989998951525e-06,3.521123943528437e-07
1846,1.910909261937377e-06,9.133022338403407e-08
1847,1.4313615253058742e-06,1.736618031600301e-07
1848,1.9123492508987816e-06,5.94541887721789e-07
1849,1.7236456315572468e-06,5.756658296718342e-07
1850,2.0815061008150337e-06,4.799820203515992e-07
1851,1.963209101063512e-06,4.0631463349427577e-07
1852,1.9245172566684232e-06,6.21757088481445e-07
1853,2.14093754968836e-06,6.00776367321032e-07
1854,1.8907022720782152e-06,5.476230242607016e-07
1855,2.0431708414037075e-06,1.7067109610025e-06
1856,2.0284227450484416e-06,5.063290942075582e-07
1857,2.111740727173128e-06,1.2984814468097738e-07
1858,1.819958143300937e-06,2.9410993107603645e-07
1859,1.924332281078023e-06,9.369599212050161e-07
1860,2.041424053800256e-06,6.865776143172297e-07
1861,2.067006960260187e-06,5.880806739355648e-07
1862,2.0290276268597474e-06,8.575137826483115e-07
1863,2.1277085693327535e-06,7.067388523296358e-07
1864,1.9490568559099586e-06,4.679654352912621e-07
1865,2.0408877428601535e-06,7.719224868196761e-07
1866,1.992468554590232e-06,5.37163657554629e-07
1867,1.9537419291282276e-06,4.3432663687781314e-07
1868,1.8776461274683243e-06,1.6533758468995075e-06
1869,1.949500823328343e-06,1.5397735353417374e-06
1870,1.984554232947744e-06,6.238645084977179e-07
1871,1.7747987668403908e-06,4.832635553952969e-07
1872,2.1407580770294032e-06,1.0564701540261012e-06
1873,1.937071015756242e-06,2.4075709745829954e-06
1874,1.8413745439538332e-06,1.8700526815962348e-07
1875,2.113532076464253e-06,5.692919273769803e-07
1876,2.020578051542543e-06,3.6941150938218925e-06
1877,2.4819666186726153e-06,1.3853988178880172e-06
1878,2.605866774585408e-06,1.2301623542043671e-06
1879,2.468167373592678e-06,6.818006852427061e-07
1880,1.950383444526693e-06,6.912020467098046e-07
1881,2.162174604913858e-06,9.566280567696595e-07
1882,2.112419275723809e-06,3.4741109899982803e-07
