year,vastes_ADJ ondes_NOUN
1800,5.345079756580162e-08
1801,9.524730337773235e-09
1802,5.594600338554301e-08
1803,0.0
1804,5.19088700912107e-08
1805,5.401467717547348e-08
1806,2.305335300434308e-08
1807,1.1387820464392462e-08
1808,3.172503681980743e-08
1809,4.518061036407062e-09
1810,4.212228077449254e-08
1811,0.0
1812,5.3344164641089264e-09
1813,2.0130190847567064e-08
1814,3.1466771410748606e-09
1815,2.966945977789237e-08
1816,0.0
1817,1.0898113522728181e-08
1818,1.668964877410417e-08
1819,9.315945348475907e-09
1820,7.119888678630559e-09
1821,6.903041693817613e-09
1822,1.5038423839541792e-08
1823,3.9530747564242574e-09
1824,1.6000115010683658e-08
1825,7.924898959288385e-09
1826,2.1139161532346407e-08
1827,1.1060727445055818e-08
1828,9.172301140836225e-09
1829,1.2859763920403111e-08
1830,5.218417697960831e-09
1831,6.236482441579483e-09
1832,1.352996914505411e-08
1833,1.3900354645102198e-08
1834,7.467624740797874e-09
1835,1.663879345414898e-08
1836,2.419469957715137e-08
1837,8.349468672008697e-09
1838,1.7674054220151447e-08
1839,6.9914751765765e-10
1840,1.3376346252869098e-08
1841,5.778493683550323e-09
1842,6.708265054555795e-09
1843,7.678984559333912e-09
1844,3.841992946007622e-09
1845,1.6182660544927785e-08
1846,2.9272506640865004e-09
1847,1.0786447290911383e-09
1848,8.04522137798358e-09
1849,4.1897072478036534e-09
1850,3.394498016007219e-09
1851,5.8044946626978344e-09
1852,7.161600201754936e-09
1853,1.1943863675867306e-08
1854,9.871762074453727e-09
1855,4.776243400783642e-09
1856,1.8120163147727908e-08
1857,6.345961978126979e-09
1858,4.404308473482388e-09
1859,9.675129142294736e-09
1860,1.1900677776566226e-08
1861,8.488735048217677e-09
1862,2.2589932147099034e-09
1863,6.493007020935693e-09
1864,1.6302074357099627e-08
1865,6.589582213223366e-09
1866,6.811858188626729e-09
1867,2.91168689159349e-09
1868,6.915823469455518e-09
1869,1.953407657850903e-09
1870,1.0321287824410774e-08
1871,8.496941816815706e-09
1872,2.4794090336399677e-08
1873,9.577607151811662e-09
1874,7.766991494406739e-09
1875,2.2886108563824337e-09
1876,1.3905833817773328e-08
1877,4.329371083855449e-09
1878,5.435179861734696e-09
1879,1.5273313280772527e-08
1880,5.134277003548959e-09
1881,5.5780060570498335e-09
1882,7.320923423037584e-09
1883,4.423537092179686e-09
1884,2.6406787867472303e-09
1885,1.933690763067375e-09
1886,3.2267319927115068e-09
1887,5.876032105334161e-09
1888,4.4384300679212174e-09
1889,1.8795409673089125e-09
1890,0.0
1891,4.461953917456185e-09
1892,3.761107425503951e-09
1893,0.0
1894,5.671385139294216e-09
1895,2.4074457982692365e-09
1896,3.5382172747233653e-09
1897,2.330685422435863e-09
1898,7.355861253444118e-09
1899,3.8693048765026106e-09
1900,1.038210628578895e-09
1901,2.235495566438317e-09
1902,1.4730852093691738e-09
1903,1.1340462791054051e-08
1904,6.449550227216605e-09
1905,3.6125313851442797e-09
1906,3.600929110447737e-09
1907,7.199980611716228e-09
1908,4.911389073214423e-09
1909,0.0
1910,2.137660271017694e-09
1911,1.0640748282497725e-09
1912,2.0837684910901544e-09
1913,2.6514948014977335e-09
1914,8.036092680185902e-09
1915,1.1780761921542648e-09
1916,1.0987462051303964e-09
1917,7.676496771580332e-09
1918,5.743188147278033e-09
1919,9.207848372660976e-10
1920,1.1358347151713133e-08
1921,4.543648568500203e-09
1922,6.640141769764796e-09
1923,8.492758496458919e-09
1924,6.445812328337297e-09
1925,3.299453377181294e-09
1926,2.229227691330493e-09
1927,0.0
1928,1.2568645679778001e-08
1929,3.342121912552898e-09
1930,2.100720708497761e-09
1931,6.843213995466613e-09
1932,3.287861094491973e-09
1933,6.882397318719313e-09
1934,2.3963160344919743e-09
1935,4.787313656606784e-09
1936,1.2124714565686645e-09
1937,3.777335333410292e-09
1938,1.2965214457594243e-09
1939,0.0
1940,0.0
1941,5.9030051957620344e-09
1942,3.034211770724937e-09
1943,5.806470415592457e-09
1944,3.2131861615880553e-09
1945,2.178504043826024e-09
1946,2.7842208538686464e-09
1947,2.3841741914054637e-09
1948,3.2615663503321457e-09
1949,9.817008317369869e-10
1950,2.1270722960764488e-09
1951,3.1984206394497505e-09
1952,2.1089607837865287e-09
