year,pouvions_VERB avoir_VERB,pouvions_VERB savoir_VERB
1800,1.760732146749433e-07,3.144164484325529e-09
1801,1.5953922627431893e-07,1.4287095950749062e-08
1802,4.923248297927785e-08,0.0
1803,6.436119548425268e-08,7.801356893821776e-09
1804,6.921182915675672e-08,0.0
1805,5.1171799242411e-08,0.0
1806,1.9019016406218725e-07,0.0
1807,1.9359295322374237e-07,0.0
1808,5.6651849433819734e-08,0.0
1809,7.454800510231507e-08,0.0
1810,5.148278958699848e-08,0.0
1811,1.0780430415024966e-07,3.008491944456182e-08
1812,6.934741492159446e-08,2.400487453257938e-08
1813,4.026038169513413e-08,0.0
1814,1.258670891957081e-07,4.72001566720337e-08
1815,9.440282155992463e-08,8.091670444798638e-09
1816,4.4034472068688046e-08,0.0
1817,1.370048607896024e-07,1.5568733857662664e-08
1818,1.1563542301473717e-07,1.1921176934492905e-08
1819,7.24573467891787e-08,3.1053151161586356e-09
1820,5.814575843032799e-08,2.3732962262101864e-09
1821,1.1636556251914953e-07,2.465372084259343e-08
1822,1.7544827812798758e-07,6.015369535816717e-09
1823,3.0932810091144347e-07,5.435477845594505e-08
1824,1.6673803315825353e-07,1.51580028528997e-08
1825,1.4969252504215547e-07,8.805443485471187e-09
1826,1.0745741008122422e-07,1.145037931138404e-08
1827,6.452091128039683e-08,1.8434546333878643e-08
1828,1.9078386515047896e-07,3.668920500743411e-09
1829,8.916103411138465e-08,9.430493719264632e-09
1830,1.356788601469816e-07,6.262101504006523e-09
1831,2.0424479885150504e-07,3.1182412207897414e-09
1832,1.420646782435142e-07,1.352996914505411e-08
1833,1.8997150164068444e-07,2.3167256557599103e-08
1834,8.867804268675172e-08,2.14694217959277e-08
1835,1.3613558280667348e-07,4.4622218808854086e-08
1836,1.290383977448073e-07,9.409050427677812e-09
1837,9.253994903701823e-08,1.6003149028165353e-08
1838,1.420236372950967e-07,1.8936486156917454e-08
1839,1.566090475080273e-07,1.1885507689157748e-08
1840,1.1274349276391149e-07,8.280594876453051e-09
1841,1.373997378095737e-07,1.0914932957462042e-08
1842,1.1269885646925104e-07,1.609983613093391e-08
1843,9.864541539172933e-08,1.6539351221922516e-08
1844,1.2074835353814706e-07,1.6465683927435748e-08
1845,9.430585379277545e-08,6.138250796539069e-09
1846,9.542836920672926e-08,1.2294452567118697e-08
1847,9.492073616002017e-08,2.6966118227278457e-09
1848,7.723412664972784e-08,3.218088684420195e-09
1849,5.9493846293889874e-08,1.005529792763582e-08
1850,1.0862393651223101e-07,8.82569484161877e-09
1851,1.1415506406819986e-07,8.384270167027807e-09
1852,8.528814277042329e-08,2.6042181744401205e-09
1853,8.420423824873069e-08,4.777545470346922e-09
1854,1.1378504893855279e-07,1.2469595134234623e-08
1855,1.2524371584277105e-07,1.4859423913549108e-08
1856,1.1441588299021532e-07,5.694908100650764e-09
1857,1.3717040303617978e-07,1.0739319655783675e-08
1858,9.444794812907276e-08,1.2723557318849998e-08
1859,1.2221215683894116e-07,8.656694916453489e-09
1860,1.0893698032532484e-07,1.4189270203246451e-08
1861,1.61285953481638e-07,8.488735048217677e-09
1862,1.4005757975610322e-07,1.8975542914745347e-08
1863,1.1587520276634677e-07,2.5472566278494924e-08
1864,1.0020981733305234e-07,6.233146443435089e-09
1865,9.272483225686301e-08,7.530950973944073e-09
1866,1.8148736558032397e-07,1.751620715140234e-08
1867,1.111293812527947e-07,7.76449837758264e-09
1868,1.2794274084626522e-07,2.5687345583946808e-08
1869,1.157394038386883e-07,1.4650557211837167e-08
1870,1.3016290267842123e-07,1.1468097582678638e-08
1871,2.3472802013202454e-07,1.5931766128574054e-08
1872,2.443125026729831e-07,1.9956219787786722e-08
1873,1.6102352162761235e-07,2.993002112816612e-08
1874,1.3741600923822261e-07,8.364453130127458e-09
1875,1.350280456335895e-07,1.94531928343622e-08
1876,1.1850188741391321e-07,8.464420275799966e-09
1877,1.1503757946229598e-07,1.608052180301911e-08
1878,1.1172313918450527e-07,4.831270938865373e-09
1879,1.5090033400610992e-07,9.774920428640144e-09
1880,1.1552123169167317e-07,1.0910338410496934e-08
1881,1.1365187191358928e-07,6.9725074602899895e-09
1882,1.124760089510346e-07,1.8635077481121698e-08
1883,1.308103207975364e-07,7.58320695126713e-09
1884,9.704494630113913e-08,9.902545450302114e-09
1885,1.205333859388702e-07,8.379326565943757e-09
1886,9.873799911019887e-08,1.097088819790315e-08
1887,1.2404956351019791e-07,7.834709769838355e-09
1888,1.369572828480159e-07,8.242799331981132e-09
1889,1.108929197357611e-07,6.891650361495749e-09
1890,1.2322246334406373e-07,1.5075089621063853e-08
1891,1.1091142937402765e-07,1.0198752065093686e-08
1892,9.716194426800939e-08,1.8805537127519756e-09
1893,9.730297989563041e-08,5.542574843531156e-09
1894,1.2098955437522818e-07,6.301539290376468e-09
1895,1.0773320013868215e-07,1.9259566386153892e-08
1896,1.409389938089589e-07,1.1204354777305525e-08
