year,pourrais_VERB avoir_VERB,pourrais_VERB savoir_VERB
1800,6.288328791015374e-08,0.0
1801,9.762848662830947e-08,0.0
1802,7.384872446891677e-08,2.2378401354217203e-09
1803,1.1311967540450496e-07,0.0
1804,5.19088700912107e-08,0.0
1805,7.391481915419718e-08,0.0
1806,6.051504897186533e-08,2.5935023018064385e-08
1807,7.971474502710407e-08,2.8469551160981155e-09
1808,8.157866204783204e-08,0.0
1809,1.0843346842648316e-07,0.0
1810,5.3822915901946544e-08,0.0
1811,7.52123057168319e-08,0.0
1812,1.226915742336132e-07,0.0
1813,8.052076339026826e-08,8.627225156487839e-09
1814,1.195737269199526e-07,0.0
1815,6.74305908887618e-08,0.0
1816,1.2515060632267705e-07,2.3176038865813098e-09
1817,1.4478922594207688e-07,1.556873407970727e-09
1818,9.894576891156248e-08,1.1921176934492905e-08
1819,7.24573467891787e-08,4.140420006848444e-09
1820,1.7206397728841694e-07,0.0
1821,2.0807740952477616e-07,0.0
1822,1.45371430448904e-07,0.0
1823,1.2847492314449482e-07,9.882686891060644e-10
1824,1.364220310051678e-07,8.421112696055388e-10
1825,1.8139212443202268e-07,8.805443485471187e-09
1826,1.2155018680459762e-07,8.807984341885344e-10
1827,1.0784209791836474e-07,2.5808365222701468e-08
1828,1.2841221064263664e-07,7.337841001486822e-09
1829,1.4574399642697244e-07,3.429270423183084e-09
1830,2.0873672212928795e-07,1.0436835840010872e-09
1831,1.6682589887295762e-07,7.795603274018958e-09
1832,2.0159654923190828e-07,4.058990921151917e-09
1833,1.9460496503143077e-07,1.1583628278799551e-08
1834,1.9322479261063563e-07,2.8003592777992026e-09
1835,1.777325735474733e-07,4.5378527602224494e-09
1836,1.6062593033439043e-07,2.016224964762614e-09
1837,1.822967448106283e-07,1.3915781860163179e-09
1838,9.783850885014544e-08,6.312161904276081e-10
1839,1.4122780100933596e-07,6.9914749545318955e-09
1840,1.4204405829332245e-07,1.7198159341091923e-08
1841,1.4767262257464608e-07,1.7977535904378783e-08
1842,1.4691100602703955e-07,8.049918065466954e-09
1843,1.447193227477328e-07,1.1813822142769936e-09
1844,9.220782715146925e-08,4.9397050894128824e-09
1845,1.2220699829867954e-07,2.7901139176833567e-09
1846,1.1943183153562131e-07,8.196302303531411e-09
1847,1.493922923145874e-07,5.393223645455691e-10
1848,1.1424214818589462e-07,0.0
1849,1.0725651122811541e-07,8.379414939696517e-10
1850,1.1880742789571741e-07,2.7155984128057753e-09
1851,1.2705393714895763e-07,6.449438760824933e-09
1852,1.0937716155012822e-07,2.6042181744401205e-09
1853,1.409375869343421e-07,4.180352064508952e-09
1854,1.2105898861136666e-07,2.0782657816909023e-09
1855,1.4700215444918285e-07,2.1227748447927297e-09
1856,1.113095677851561e-07,1.5531567143511893e-09
1857,1.4156375982565805e-07,2.4407544874094356e-09
1858,1.497464836575091e-07,1.9574704079872163e-09
1859,1.37997901106246e-07,8.656694916453489e-09
1860,1.4235041589927278e-07,2.746310290291376e-09
1861,1.2167186014266917e-07,8.960331143725853e-09
1862,1.246964274059792e-07,5.421583626485926e-09
1863,1.1337789374010754e-07,6.99246927027275e-09
1864,1.6973336869341438e-07,4.315255264231155e-09
1865,1.4685353733057127e-07,9.41368871743009e-10
1866,1.3526404529784486e-07,1.6056523222118813e-08
1867,1.780981762067313e-07,4.367530337390235e-09
1868,9.929146926879184e-08,3.457911734727759e-09
1869,1.6359788901354477e-07,1.4650557433881772e-09
1870,1.2672248317358026e-07,1.1468097582678638e-09
1871,1.635661277532563e-07,1.0621177271019633e-09
1872,1.342509392543434e-07,6.652073114565837e-09
1873,1.4785430835217994e-07,2.9930022904522957e-09
1874,1.0455566012979034e-07,2.3898436563030145e-09
1875,1.7793949780298135e-07,5.721527140956084e-10
1876,1.1608348415848013e-07,3.627608879952504e-09
1877,1.5400192410197633e-07,6.80329748092845e-09
1878,1.1474268291067347e-07,6.039088784604019e-09
1879,1.5090033400610992e-07,2.443730107160036e-09
1880,1.3734191384173755e-07,2.5671385017744797e-09
1881,1.1713812853031413e-07,9.761510710859511e-09
1882,1.4508739809571125e-07,6.655385131892899e-09
1883,1.4724059838044923e-07,7.58320695126713e-09
1884,1.1751020423389491e-07,7.2618666635548834e-09
1885,1.3471378679241752e-07,1.933690763067375e-09
1886,1.251972037152882e-07,2.5813855497602844e-09
1887,1.1752064210668323e-07,0.0
1888,1.0652232873553658e-07,1.268122939990235e-09
1889,1.1026640578393199e-07,6.891650361495749e-09
1890,7.013193226157455e-08,4.5880703680722945e-09
1891,9.68881437302116e-08,0.0
1892,8.211750923692307e-08,4.387958441043338e-09
1893,1.1454654469389425e-07,2.463366621796581e-09
1894,1.4808617265771318e-07,6.301539290376468e-10
1895,1.4324302810564404e-07,3.0093072478365457e-09
1896,1.0378771264640818e-07,5.89702897624278e-10
1897,8.856604694074122e-08,1.7480140668268973e-09
1898,9.506036491302439e-08,5.092519295146758e-09
1899,8.236091986191241e-08,6.080336234504102e-09
1900,1.256234867241801e-07,5.710158568206225e-09
1901,8.830207320897898e-08,3.912117296778206e-09
1902,9.624156405152462e-08,4.419255628107521e-09
1903,1.0044409748388716e-07,7.020286574288548e-09
1904,8.599400302955473e-08,8.061937784020756e-09
1905,9.4957968599374e-08,3.6125313851442797e-09
1906,9.310974036225161e-08,1.2860461140462576e-08
1907,7.354265818548811e-08,8.228549397415463e-09
