year,ces_DET ombres_NOUN,ces_DET sombres_ADJ
1800,3.898764049381498e-07,2.7983064265768576e-07
1801,6.524440028243816e-07,4.809988780607455e-07
1802,3.423895407195232e-07,3.088219386881974e-07
1803,4.485780165097708e-07,2.301400332527237e-07
1804,4.622361244877027e-07,3.485309765238753e-07
1805,5.99847195914549e-07,3.0418790242237037e-07
1806,3.688536365231698e-07,2.4782355012575863e-07
1807,4.982171404321889e-07,2.448381426489732e-07
1808,4.3055407106251664e-07,2.288734717303953e-07
1809,3.3885458261551094e-07,3.0271008144566736e-07
1810,6.131132330722266e-07,3.5335914905232357e-07
1811,8.173070042971631e-07,2.0808737133393151e-07
1812,6.588004097807243e-07,2.053750307595692e-07
1813,8.886041911182474e-07,3.077043686516845e-07
1814,5.506684743750156e-07,4.090680256751966e-07
1815,2.778140224535264e-07,3.749140855546784e-07
1816,2.8738288726515293e-07,2.3639559287857992e-07
1817,4.779601447957305e-07,2.0395041655518753e-07
1818,2.8968461318612526e-07,1.9431519326928992e-07
1819,3.726377979518247e-07,2.898294084729969e-07
1820,5.066987593949079e-07,3.393813585716998e-07
1821,3.9248723027185406e-07,2.0610510809149218e-07
1822,3.8598621188157267e-07,3.2783762549115636e-07
1823,3.458940451839254e-07,2.6189120738706606e-07
1824,3.91581751912895e-07,2.5347549570398087e-07
1825,2.747298366578832e-07,2.650438428730695e-07
1826,2.9242507082472e-07,2.3253079006746447e-07
1827,2.5716192197933196e-07,2.802051142225537e-07
1828,3.2469944954982566e-07,2.88010264526406e-07
1829,2.957745621756658e-07,2.7091235477172404e-07
1830,3.90337659084139e-07,3.245855850764201e-07
1831,3.180606071850889e-07,3.1182410964447627e-07
1832,3.598971841656251e-07,3.4636722567871203e-07
1833,3.845764565690857e-07,3.9036826660066026e-07
1834,4.424567652261402e-07,2.716348515008349e-07
1835,3.1235553876740596e-07,3.1613707562883064e-07
1836,3.380537378916415e-07,3.17219400969293e-07
1837,2.664872338353774e-07,3.0545141882498683e-07
1838,2.991964720422402e-07,2.7836635219102845e-07
1839,2.6917178541641107e-07,3.111206465788996e-07
1840,4.0447522309250417e-07,2.5478754217544974e-07
1841,4.603533212410582e-07,3.17817163697498e-07
1842,3.253508555900453e-07,3.635879526342478e-07
1843,3.0775006010230754e-07,3.390566885030921e-07
1844,3.238251223280919e-07,3.765153167023527e-07
1845,4.1740105349852286e-07,3.2253716764074625e-07
1846,3.8405528357543517e-07,3.155576191460341e-07
1847,3.5109886553641445e-07,3.133462911364404e-07
1848,3.354857542881007e-07,2.4457474179229166e-07
1849,4.935475317324745e-07,3.3769041851705595e-07
1850,3.3198190152461393e-07,3.9579848198911805e-07
1851,2.62492150682192e-07,2.676516999144951e-07
1852,3.014382434773921e-07,3.0859986566156294e-07
1853,3.935502976837313e-07,2.8486113601289276e-07
1854,4.3851409192718904e-07,3.4655080671797123e-07
1855,4.988520956317188e-07,4.1500248215697866e-07
1856,4.457559933390698e-07,3.7741709313365845e-07
1857,4.778997482191016e-07,3.465871483143701e-07
1858,4.1351561197444653e-07,3.4647225533035453e-07
1859,5.020882942741167e-07,4.4556517941884977e-07
1860,4.989130595323132e-07,3.7578680966987577e-07
1861,3.4426536493770143e-07,4.74425954521962e-07
1862,5.159540386323602e-07,3.9667920592734163e-07
1863,5.164437911209241e-07,3.511218471530242e-07
1864,4.420739088129011e-07,4.2673078937127684e-07
1865,4.4856227099376866e-07,3.548960645360921e-07
1866,4.422842104223612e-07,2.977755180211261e-07
1867,4.212240476419993e-07,3.358145423959513e-07
1868,4.900354979575638e-07,3.205978336140447e-07
1869,4.1265736694384714e-07,3.9703012078007305e-07
1870,4.4553559463977876e-07,2.9415670255161785e-07
1871,2.952687232493645e-07,3.2182167508665316e-07
1872,3.223231971327678e-07,3.332083995388757e-07
1873,3.992664918683886e-07,2.4363037987029657e-07
1874,3.2143398476236484e-07,2.7423455417618925e-07
1875,3.530182185462749e-07,2.9122572708928374e-07
1876,3.379722208762814e-07,2.4849120450198825e-07
1877,2.8883091607312394e-07,3.5562690658963447e-07
1878,3.8831339432832124e-07,2.844410911251316e-07
1879,3.3173635705097126e-07,2.608682017068986e-07
1880,3.439965468032824e-07,2.843105981753524e-07
1881,2.8168929283589605e-07,2.76808547639007e-07
1882,3.2811049166525663e-07,2.988267926440358e-07
1883,3.090156690532808e-07,2.2812813149641897e-07
1884,3.010373923473253e-07,2.79251771928557e-07
1885,2.990775009870106e-07,2.185070568927472e-07
1886,2.4135954290738226e-07,2.7427222271114715e-07
1887,2.74214841056164e-07,2.3699995654880013e-07
1888,2.8659579198730967e-07,2.3270055216073615e-07
1889,3.264136116953864e-07,2.199062949514996e-07
1890,2.451340526121726e-07,2.56931945941119e-07
1891,2.4923200747650753e-07,1.937762830195311e-07
1892,2.7268028857108106e-07,2.0686090840271731e-07
1893,2.5988518537189975e-07,2.1246536707764108e-07
1894,2.6718526280333776e-07,2.2370464147769553e-07
1895,3.47274067280523e-07,1.8236402143934072e-07
1896,2.771603551110502e-07,1.7573146848803844e-07
1897,2.5404470527234935e-07,1.7946278152436435e-07
