year,deux_DET hommes_NOUN,deux_DET sommes_NOUN
1800,8.369765964744147e-06,6.91716168788048e-08
1801,7.262606857239007e-06,4.7623650800687756e-08
1802,6.706806743750349e-06,9.398928568771225e-08
1803,6.732571137035848e-06,7.411289004721766e-08
1804,7.741836952845915e-06,1.2359254242255702e-07
1805,8.304045991280873e-06,5.970043304159844e-08
1806,6.008280138303235e-06,5.4751712497136396e-08
1807,5.528787028197257e-06,1.1387820109121094e-07
1808,8.805963716440601e-06,8.83768831450027e-08
1809,7.167903788740659e-06,1.0165637576164954e-07
1810,8.592945732743829e-06,1.942305232205399e-07
1811,7.278043710812199e-06,1.429033700262039e-07
1812,7.094773991411785e-06,1.9203899759290266e-07
1813,7.790384074723988e-06,4.888760685162197e-08
1814,6.715008851188031e-06,1.4160047667743925e-07
1815,6.02020298856587e-06,1.0249449644561537e-07
1816,5.6109190040842805e-06,5.7940098940889584e-08
1817,6.310007734100509e-06,7.940054302935096e-08
1818,8.104016330889863e-06,1.0848271125851738e-07
1819,7.251945646657987e-06,1.6147638004504472e-07
1820,7.501989387037611e-06,1.198514629763281e-07
1821,7.5726366617345775e-06,1.4200542519660075e-07
1822,6.946749238068151e-06,1.5038423839541792e-07
1823,7.296387707356189e-06,1.2353358480599042e-07
1824,6.808469834140851e-06,7.915846289563433e-08
1825,7.216941185106407e-06,8.012953278679902e-08
1826,7.315911830119148e-06,1.3123896791533696e-07
1827,6.276041403907584e-06,1.7789337469764632e-07
1828,6.474727456406981e-06,1.1006761485576888e-07
1829,7.292343468634499e-06,8.144517088526371e-08
1830,7.393454495741025e-06,1.4089728006538849e-07
1831,7.870440754231822e-06,8.107427351689012e-08
1832,7.694493433518801e-06,9.470978590275791e-08
1833,7.766823102883791e-06,5.5601415582806624e-08
1834,7.688853315812594e-06,6.534171603789218e-08
1835,7.640231217465043e-06,8.092504089063368e-08
1836,6.967401589008659e-06,6.048674910941187e-08
1837,7.291173915291438e-06,6.053364920433069e-08
1838,6.905505244958476e-06,8.142688678880461e-08
1839,6.560800159149949e-06,9.508406340064113e-08
1840,7.437885585659387e-06,7.64362637073468e-08
1841,6.966294961330277e-06,8.282507568679875e-08
1842,6.9115255314500246e-06,1.0733223820835747e-07
1843,7.123734974356921e-06,8.387813688059964e-08
1844,7.071462277963292e-06,1.344697572736031e-07
1845,6.847497729722818e-06,1.462019760811728e-07
1846,7.1354664328282524e-06,1.200172761173235e-07
1847,6.33541975503249e-06,1.2242617497548736e-07
1848,6.202061172189133e-06,1.6090443466509896e-07
1849,5.9158667795600195e-06,1.5585711032883864e-07
1850,6.1732340554954135e-06,1.1541293343242387e-07
1851,6.021840988523763e-06,1.683303547661552e-07
1852,5.923945423091936e-06,1.210961499964469e-07
1853,6.3947446165002475e-06,1.1525828358394108e-07
1854,6.2514235992239264e-06,6.702407484571182e-08
1855,6.621465672651539e-06,1.0401597094755743e-07
1856,5.726489007429336e-06,1.346069162799779e-07
1857,6.984951369304326e-06,6.834112487030808e-08
1858,6.5345254256499175e-06,6.55752567801926e-08
1859,6.6203344886162085e-06,7.129042822739962e-08
1860,7.028723587154673e-06,1.0115576673519477e-07
1861,6.642906669185322e-06,8.866011774744109e-08
1862,6.553791081387317e-06,1.3237700413615272e-07
1863,6.579913588211639e-06,9.339940820751735e-08
1864,6.430688927139272e-06,6.32904075814622e-08
1865,6.367419075559155e-06,9.507825637911083e-08
1866,6.0547687326106825e-06,1.0120475169017595e-07
1867,6.2911848317526164e-06,6.79393608038481e-08
1868,6.213867777660198e-06,9.33636172817387e-08
1869,6.390084706708876e-06,8.985675559181061e-08
1870,6.593009345579048e-06,8.88777589302947e-08
1871,6.094431398651068e-06,1.370131836875288e-07
1872,6.210617584656575e-06,1.4211247012507755e-07
1873,5.753747359449335e-06,1.0355788049309922e-07
1874,6.085736970362632e-06,1.3920839192493872e-07
1875,5.819937427986588e-06,9.898241887240644e-08
1876,6.215303358203528e-06,1.2454790576654773e-07
1877,5.3374961908048135e-06,1.391583648313599e-07
1878,5.605481987913663e-06,1.2561304835179143e-07
1879,6.194855927788012e-06,9.469454109733988e-08
1880,5.56170562049374e-06,1.450433257943473e-07
1881,5.419730371158948e-06,1.4223915867361825e-07
1882,5.531956333015842e-06,1.13807086643547e-07
1883,5.334154081992892e-06,1.169077701312915e-07
1884,5.341432938621438e-06,1.1552969780836975e-07
1885,5.127503413859813e-06,1.0635298874905885e-07
1886,5.153736253760144e-06,1.7811560981684238e-07
1887,5.083420774099068e-06,2.1088425855575466e-07
1888,5.48590003290883e-06,1.38859456155771e-07
1889,5.438138884983346e-06,1.1527851651038645e-07
1890,5.071784357824072e-06,1.1208000927354078e-07
1891,4.989739522898162e-06,1.2620955569531134e-07
1892,4.886932401859667e-06,1.291313491691426e-07
1893,4.676085893606796e-06,1.2747922550904178e-07
1894,4.86100725538563e-06,1.0964678498481817e-07
1895,4.8961429115479405e-06,1.1074250405584962e-07
1896,4.889816523245827e-06,9.73009798843627e-08
1897,4.646221498205705e-06,1.252743396795708e-07
1898,4.6098618327050644e-06,1.0015288387510424e-07
1899,4.582362578275934e-06,8.954676999906042e-08
1900,4.419662730015261e-06,1.0849301190773986e-07
1901,4.400014290695253e-06,1.5201370501261025e-07
1902,3.891399927624661e-06,1.7284199604894468e-07
1903,4.200831369871594e-06,1.0152413931763249e-07
1904,4.317436321343848e-06,1.5102696515612024e-07
1905,4.00165265546093e-06,1.2179391140065832e-07
1906,4.101972820080846e-06,1.0597020150271419e-07
1907,4.183188707429508e-06,1.4348533089458826e-07
1908,4.382923577850306e-06,1.0166575203918171e-07
1909,4.26271208198159e-06,1.0836937364144816e-07
1910,4.555353882551572e-06,1.0367652425458118e-07
1911,4.1206298533325025e-06,1.0374729331186217e-07
