year,voulez_VERB aider_VERB,voulez_VERB céder_VERB
1800,1.5720821977538435e-08,0.0
1801,4.7623651688866175e-09,4.7623651688866175e-09
1802,0.0,2.2378401354217203e-09
1803,9.751696339321825e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,5.693910232196231e-09
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,1.8721014072298203e-08
1811,0.0,0.0
1812,1.600324850414836e-08,0.0
1813,0.0,8.627225156487839e-09
1814,3.1466772298927026e-08,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,1.035105001712111e-09
1820,0.0,2.3732962262101864e-09
1821,0.0,1.97229765852569e-09
1822,0.0,6.015369535816717e-09
1823,1.9765373782121287e-09,1.581229902569703e-08
1824,8.421112696055388e-10,8.421112696055388e-10
1825,1.8491430608946757e-08,2.641632912414593e-09
1826,1.5854372037438225e-08,4.403992281964975e-09
1827,0.0,1.8434546111834038e-09
1828,0.0,1.1006761724274838e-08
1829,0.0,1.714635211591542e-09
1830,5.218417697960831e-09,2.0873671680021744e-09
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,1.1583628500844156e-09
1834,6.534171426153534e-09,3.733812370398937e-09
1835,1.0588323107185715e-08,1.2100940693926532e-08
1836,2.016224964762614e-09,1.3441500135158435e-09
1837,6.957890930081589e-10,5.5663127440652715e-09
1838,2.019891809368346e-08,3.787297142565649e-09
1839,0.0,1.8876983531868063e-08
1840,6.3696887764308485e-09,2.5478754661634184e-09
1841,3.852329122366882e-09,1.926164561183441e-09
1842,1.341653010911159e-08,4.024959032733477e-09
1843,0.0,8.860366662588604e-09
1844,0.0,8.232841963717874e-09
1845,0.0,1.1718478631905782e-08
1846,5.854501328173001e-10,5.854501328173001e-09
1847,5.393223645455691e-10,0.0
1848,8.04522137798358e-09,5.63165514222419e-09
1849,0.0,0.0
1850,3.394498016007219e-09,2.0366988096043315e-09
1851,6.449438760824933e-09,6.449438760824933e-10
1852,3.906327261660181e-09,7.161600201754936e-09
1853,3.5831591027601917e-09,1.1943863675867306e-09
1854,3.63696517347023e-09,4.1565315633818045e-09
1855,1.5920811335945473e-09,6.368324534378189e-09
1856,7.248064815001953e-09,3.1063134287023786e-09
1857,8.298565390418844e-09,2.9289055625270066e-09
1858,1.9574704079872163e-09,4.404308473482388e-09
1859,0.0,5.092173349652285e-10
1860,5.950338888283113e-09,0.0
1861,1.0375120318428799e-08,1.8863854922557266e-09
1862,4.9697850279528666e-09,4.517986262886353e-10
1863,4.994620717013731e-09,8.490855130105501e-09
1864,3.835782358407869e-09,4.794727948009836e-10
1865,9.41368871743009e-10,1.882737743486018e-09
1866,8.271541673821048e-09,2.432806400776144e-09
1867,2.426405742994575e-09,3.88224918879132e-09
