year,les_DET orties_NOUN,les_DET sorties_NOUN
1800,4.93633813380967e-07,4.653363490092488e-07
1801,2.428806240573067e-07,6.762558655282191e-07
1802,2.9315705774024536e-07,4.0281122437590966e-07
1803,5.968038094827932e-07,5.519460266611986e-07
1804,3.3864358073287804e-07,3.435872795165551e-07
1805,4.1790302018895886e-07,1.225280286121233e-06
1806,2.42060210098316e-07,1.0258742264568355e-06
1807,1.9928685768277887e-07,6.206362286320655e-07
1808,2.7192888074623056e-07,4.7134338387877506e-07
1809,2.3493917433725642e-07,8.064738903357238e-07
1810,1.0764582958344704e-07,3.884610499937935e-07
1811,1.1783260678299712e-07,8.173070327188725e-07
1812,6.134579066952028e-08,1.2589222677661382e-06
1813,7.476928454153153e-08,4.831245981051779e-07
1814,5.664018720707986e-08,9.88056619632971e-07
1815,2.2656678000387842e-07,4.585280133362346e-07
1816,2.479836140878433e-07,4.7279119996801455e-07
1817,1.6502857969058482e-07,3.985595924405061e-07
1818,2.5153683491652146e-07,6.294381940108451e-07
1819,1.707923287241897e-07,7.473458136786348e-07
1820,1.2341140465110811e-07,8.009874861159005e-07
1821,1.2326860410194485e-07,4.7137912595474063e-07
1822,1.373509377344817e-07,7.759826701203565e-07
1823,9.783859866718814e-08,7.402132560230257e-07
1824,1.0947446327236321e-07,7.941109103626331e-07
1825,2.3598587040041252e-07,6.410362587416785e-07
1826,1.4357014199717355e-07,6.799763880849241e-07
1827,1.5853709695035079e-07,5.650188175110316e-07
1828,1.0548146589517415e-07,6.099580289742335e-07
1829,7.887322217570159e-08,7.861602355774266e-07
1830,2.014309352649235e-07,5.510649572215698e-07
1831,1.5747118720099706e-07,5.815519585894435e-07
1832,1.907725730720955e-07,7.238533363818078e-07
1833,1.320533606907759e-07,6.000319494603445e-07
1834,1.4748559440391773e-07,4.611258184183953e-07
1835,1.27816186079599e-07,4.825250172757478e-07
1836,1.3508707058518254e-07,7.8901604538828e-07
1837,1.301125588382135e-07,7.577143072978743e-07
1838,1.5717282875193916e-07,8.527730450680338e-07
1839,1.0836786590306957e-07,7.564776360879932e-07
1840,1.0382592652291578e-07,8.815649152893457e-07
1841,9.438206660661308e-08,6.728734796013214e-07
1842,9.391571209604876e-08,5.963647708995268e-07
1843,2.1383017667631066e-07,6.397184719730831e-07
1844,1.075758020441242e-07,8.918911831301557e-07
1845,1.2778722169315415e-07,8.002047096056231e-07
1846,1.276281287321268e-07,9.829707536823662e-07
1847,6.040410571728216e-08,7.394109786673653e-07
1848,8.447482485740565e-08,5.406389220752317e-07
1849,9.301150338814068e-08,7.273331981139108e-07
1850,1.1473403027650875e-07,6.490280028970119e-07
1851,1.3801798903756435e-07,8.461663654202312e-07
1852,1.1523665088830626e-07,6.347781678073261e-07
1853,1.242161837833322e-07,5.643475518013474e-07
1854,1.7041779526438816e-07,8.416976484681982e-07
1855,1.6080019804576295e-07,8.040009760179601e-07
1856,1.2528797954658444e-07,7.470684089128099e-07
1857,2.4261099573763545e-07,6.365488047777035e-07
1858,1.355548264747597e-07,7.604772420677364e-07
1859,1.5887581206186496e-07,9.598746615324671e-07
1860,1.6294774826675074e-07,6.247856099150795e-07
1861,1.7307587407699998e-07,6.559905472158789e-07
1862,1.3418419225752487e-07,6.365842857292137e-07
1863,1.478407725130637e-07,8.725602640424768e-07
1864,7.767459331287085e-08,5.859157603538279e-07
1865,1.1390563658952857e-07,6.340119327319371e-07
1866,1.46941512291221e-07,7.410328173307335e-07
1867,1.1743803440822376e-07,6.085425354740437e-07
1868,1.5363008054603e-07,4.944813838392292e-07
1869,1.1232094232482837e-07,7.403415160922577e-07
1870,1.2385545566928613e-07,7.127422918529192e-07
1871,1.3064047887922925e-07,1.1502734764690103e-06
1872,1.342509302615369e-07,9.808784255938008e-07
1873,1.586291227262393e-07,7.668071546618194e-07
1874,1.3442870550051111e-07,8.179239685546236e-07
1875,1.0985332288271366e-07,7.151909038327631e-07
1876,1.451043614153491e-07,7.351954067758015e-07
1877,1.9234778336763014e-07,6.203370261914642e-07
1878,1.4433421302584293e-07,6.141752990629357e-07
1879,1.1790997889171706e-07,7.630547003145693e-07
1880,9.883482987582681e-08,5.93009019667079e-07
1881,8.36700927986378e-08,8.541321747657094e-07
1882,1.690467850146149e-07,6.948222122105108e-07
1883,2.1296172081353149e-07,7.343072070398193e-07
1884,1.5051869084459213e-07,9.01791807450536e-07
1885,1.7983323963299824e-07,7.354470099585342e-07
1886,1.8779580512884309e-07,8.112004366012115e-07
1887,1.2600824855768522e-07,8.259089625539673e-07
1888,1.4520007529661427e-07,8.141349496781913e-07
1889,1.1402549038308507e-07,7.536959358844797e-07
1890,2.4251230579253047e-07,9.182695208664882e-07
1891,1.319463565074841e-07,9.01314734846892e-07
1892,1.6611558351087297e-07,8.66308383251635e-07
1893,9.853466398368482e-08,8.81885242165481e-07
1894,1.2414032224405958e-07,9.931226259141113e-07
1895,1.3120579733794102e-07,9.461262209242705e-07
1896,1.197096888283511e-07,1.2525289605491707e-06
1897,1.5557325738768668e-07,1.0091867892469963e-06
1898,9.845537141117688e-08,1.072824090897484e-06
1899,9.83908918783527e-08,9.783813794683738e-07
1900,1.1108853836816479e-07,1.1306113236742021e-06
1901,1.1401027522062179e-07,9.841769355034558e-07
1902,1.0606213285413446e-07,1.0129915466450257e-06
1903,1.1664476007311464e-07,1.155107113959275e-06
1904,8.545653873426318e-08,1.1039480369845478e-06
1905,8.566860032477308e-08,1.0987255905092752e-06
1906,1.584408797494774e-07,1.2382052148041112e-06
1907,1.0697114455338053e-07,1.0198258308946606e-06
1908,1.4439483897454863e-07,1.109482809624751e-06
1909,1.2212183753135264e-07,1.2833794755806593e-06
1910,1.474985554805741e-07,1.263891576286369e-06
1911,1.4152194938166218e-07,1.2321986559982179e-06
1912,1.156491482579014e-07,1.2695359572489906e-06
1913,1.0818098961085099e-07,1.1284762280183713e-06
1914,1.0647822401566032e-07,1.2583181785430497e-06
1915,1.0602685962535219e-07,1.364212181442781e-06
1916,1.109733691606607e-07,1.4393575611393317e-06
1917,1.502400192032738e-07,1.4212486121323309e-06
1918,1.7918747374778832e-07,1.404783859015879e-06
1919,1.4272164666762066e-07,1.1693967394421634e-06
1920,1.3554294930884225e-07,1.1933836674415943e-06
