year,deux_DET orties_NOUN,deux_DET sorties_NOUN
1800,0.0,1.0375742665047483e-07
1801,0.0,1.142967676059925e-07
1802,0.0,4.699464284385613e-08
1803,0.0,4.4857802805609026e-08
1804,0.0,4.449331569844617e-08
1805,2.842877711017877e-09,4.264316522117895e-08
1806,0.0,1.729001475325731e-08
1807,0.0,2.2775640928784924e-08
1808,0.0,2.945896238060186e-08
1809,0.0,7.90660692473466e-08
1810,0.0,3.7442029476864036e-08
1811,2.5070767684098882e-09,2.2563691359778204e-08
1812,0.0,6.401299401659344e-08
1813,0.0,2.0130190847567064e-08
1814,0.0,2.8320094713762956e-08
1815,0.0,1.3486118000116676e-08
1816,0.0,3.0128852301913867e-08
1817,0.0,1.1365176144639833e-07
1818,4.768470951432846e-09,1.263644797688812e-07
1819,0.0,3.105315049545254e-08
1820,0.0,1.18664814863223e-07
1821,0.0,2.6626019167252934e-08
1822,1.0025615893027862e-09,3.308453244699194e-08
1823,0.0,6.522573414713406e-08
1824,0.0,7.073734487050842e-08
1825,8.805443041381977e-10,1.162318481462421e-07
1826,8.807984341885344e-10,8.191425138193154e-08
1827,0.0,6.175572764277604e-08
1828,9.172301251858528e-10,8.80540890202397e-08
1829,0.0,5.572564321099094e-08
1830,3.1310507520032616e-09,5.9489964066017365e-08
1831,1.5591206103948707e-09,5.14509785887185e-08
1832,0.0,3.788391467196561e-08
1833,0.0,6.83434114856496e-08
1834,0.0,5.4140278038516954e-08
1835,3.025235173481633e-09,5.7479468296151026e-08
1836,1.3441500135158435e-09,5.847052725327373e-08
1837,0.0,7.375364274864182e-08
1838,6.312161904276081e-10,1.5086066529335085e-07
1839,6.9914751765765e-10,5.103776956616457e-08
1840,6.369688665408546e-10,7.83471678644787e-08
1841,1.2841097074556274e-09,7.255219802715374e-08
1842,6.708265054555795e-10,2.884554017867913e-08
1843,0.0,1.594865928211675e-08
1844,1.097712254427563e-09,3.622450439610958e-08
1845,0.0,3.7387527573873314e-08
1846,5.854501328173001e-10,4.390875929516369e-08
1847,1.0786447290911383e-09,3.883121024728098e-08
1848,0.0,7.160247150750365e-08
1849,0.0,4.273501463814e-08
1850,6.788996032014438e-10,5.4311968256115506e-08
1851,6.449438760824933e-10,5.159550831024262e-08
1852,0.0,2.278690880430645e-08
1853,0.0,4.120632990378681e-08
1854,1.558699391779328e-09,5.923057333490078e-08
1855,0.0,5.678422709820552e-08
1856,0.0,4.5559266359518347e-08
1857,1.4644527812635033e-09,5.3208447869934616e-08
1858,4.893676019968041e-10,8.074565105431475e-08
1859,1.018434669930457e-09,6.925355755527107e-08
1860,4.577183909670879e-10,3.7532908503390416e-08
1861,4.715963730639317e-10,1.4147891136406798e-08
1862,0.0,2.8011514940917692e-08
1863,0.0,4.395266217649407e-08
1864,4.794727948009836e-10,3.452204211384924e-08
1865,4.706844358715045e-10,3.341859655670021e-08
1866,2.919367858567057e-09,4.5736762377401874e-08
1867,1.94112459439566e-09,4.949867538073249e-08
1868,9.87974813071446e-10,2.222943384921905e-08
1869,4.883519144627257e-10,3.0277818252599786e-08
1870,5.734048791339319e-10,5.045963025196443e-08
1871,0.0,8.072095014632907e-08
1872,0.0,5.382131884612562e-08
1873,5.986004469882289e-10,5.8662843471779524e-08
1874,0.0,4.839433520587022e-08
1875,5.721527140956084e-10,4.2339299621829696e-08
