year,petits_ADJ cils_NOUN
1800,1.5720821977538435e-08
1801,2.1430643926123594e-08
1802,3.1329761895904085e-08
1803,1.5602713787643552e-08
1804,2.4718509461507665e-09
1805,1.449867568226182e-07
1806,3.458002950651462e-08
1807,0.0
1808,1.5862518409903714e-08
1809,1.3554183553310395e-08
1810,4.212228077449254e-08
1811,6.267691787797958e-08
1812,2.6672082320544632e-09
1813,0.0
1814,0.0
1815,8.091670622434322e-08
1816,2.5493642752394408e-08
1817,5.4490570278176165e-08
1818,1.7881765401739358e-08
1819,2.070209959015301e-08
1820,0.0
1821,1.8736827200882544e-08
1822,2.90742860897808e-08
1823,1.680056804787e-08
1824,2.0210670470532932e-08
1825,1.8491430608946757e-08
1826,3.6112734136395375e-08
1827,2.2121454890111636e-08
1828,5.319934714975716e-08
1829,5.401101077495696e-08
1830,6.679574937606958e-08
1831,4.365537620287796e-08
1832,2.705993829010822e-08
1833,1.3900354645102198e-08
1834,1.6802156110884425e-08
1835,3.2521278114927554e-08
1836,6.51912728244497e-08
1837,5.4967337348443834e-08
1838,2.0830134062066463e-08
1839,2.516931019158619e-08
1840,4.8409635411417185e-08
1841,2.5040138851295524e-08
1842,6.708265054555795e-09
1843,2.2446261738195972e-08
1844,2.5247381074677833e-08
1845,2.3436957263811564e-08
1846,1.8734404250153602e-08
1847,2.3190860787281053e-08
1848,8.84974404868899e-09
1849,1.8434713311421547e-08
1850,1.6972489191857676e-08
1851,1.5478653025979838e-08
1852,3.971432604998881e-08
1853,6.389966955566706e-08
1854,2.7017454939937124e-08
1855,2.2819829581521844e-08
1856,1.8120163147727908e-08
1857,3.9540225316159194e-08
1858,6.361778659424999e-09
1859,1.2221216039165483e-08
1860,2.9293977021893625e-08
1861,2.6409397335669382e-08
1862,1.1294965851504912e-08
1863,2.097740825490746e-08
1864,8.63051052846231e-09
1865,1.2237795665726026e-08
1866,1.1190909532388105e-08
1867,1.8925964795357686e-08
1868,2.420538258718352e-08
1869,1.7580669364747337e-08
1870,5.390005952676802e-08
1871,1.6993883633631413e-08
1872,1.0885210954825197e-08
1873,2.454261860407314e-08
1874,2.1508592240593316e-08
1875,8.353429592489192e-08
1876,1.3422152278508293e-07
1877,6.49405649255641e-08
1878,1.9325083755461492e-08
1879,1.8938909107646396e-08
1880,2.3746030919369332e-08
1881,1.8128519130300447e-08
1882,2.5956001792337702e-08
1883,9.479008689083912e-09
1884,2.178559910248623e-08
1885,9.023890079618013e-09
1886,1.0325542199041138e-08
1887,2.3504128421336645e-08
1888,1.9021843655764314e-08
1889,9.397704836544563e-09
1890,2.2940351840361473e-08
1891,3.7607897240832244e-08
1892,5.140180192597654e-08
1893,2.586534897375259e-08
1894,1.2603078580752936e-08
1895,1.2037228991346183e-08
1896,2.240870955461105e-08
1897,1.3401440845939305e-08
1898,1.810673566637888e-08
1899,1.3818945987509323e-08
1900,1.9206897405865675e-08
1901,1.4530721514915967e-08
1902,1.4730852093691738e-09
1903,5.940242076007962e-09
1904,1.5048950530172078e-08
1905,1.4450125540577119e-08
1906,1.4918134283448126e-08
1907,2.5199932807140613e-08
1908,2.2101250607420297e-08
1909,2.53045246978445e-08
1910,2.7255168788542505e-08
1911,1.702519725199636e-08
1912,2.6047105805560022e-08
1913,4.8787505591008085e-08
1914,1.2054139020278853e-08
1915,7.068456930880984e-09
1916,2.4172416956957932e-08
1917,2.9609346086090227e-08
1918,2.067547733020092e-08
1919,2.2098836538475553e-08
1920,1.514446346106979e-08
1921,1.6660044011018726e-08
1922,1.623145884366295e-08
1923,1.8047112249064412e-08
1924,3.867487219366694e-09
1925,2.969508017258704e-08
1926,1.89484357093761e-08
1927,2.0068604555945058e-08
1928,1.82816659588525e-08
1929,1.2254447234738564e-08
1930,2.941009036305786e-08
1931,1.710803587684495e-08
1932,1.4247397928102146e-08
1933,1.1470662641954732e-08
1934,9.585264137967897e-09
1935,2.752705441366743e-08
1936,3.031178508194898e-08
1937,7.176937089070634e-08
1938,2.3337385357535823e-08
1939,1.2235240376412548e-08
1940,0.0
1941,1.1806010391524069e-08
1942,5.461581054078124e-08
1943,1.1612940831184915e-08
1944,1.2852744646352221e-08
1945,0.0
1946,4.1763312808029696e-09
1947,9.536696765621855e-09
1948,3.370285384107774e-08
1949,9.817008539414473e-09
1950,4.1477910883713776e-08
1951,3.1984206394497505e-09
1952,4.323369751091377e-08
1953,9.69644453618912e-09
1954,3.9090146231046674e-08
1955,2.7218263198847126e-08
1956,1.2209598665435806e-08
1957,1.4136060322300636e-08
1958,1.4062814024384807e-08
1959,6.975672928177801e-09
1960,8.997083078554624e-09
1961,5.55852741612739e-09
1962,2.5367825617905737e-09
1963,2.0691370394843034e-08
1964,9.125952438182594e-09
1965,1.6963333848707407e-08
1966,2.769537488234164e-09
1967,2.9582012395223956e-09
1968,4.042274071025531e-09
1969,9.537691525451919e-09
1970,1.103694025061941e-08
1971,2.0553589941130213e-09
1972,1.0773308467548759e-08
1973,4.410563025913916e-09
1974,0.0
1975,1.1422960355389478e-09
1976,3.4281160132820787e-09
1977,7.052138428775834e-09
1978,5.940591352171509e-10
1979,3.5111840102075575e-09
1980,2.2740602734216964e-09
1981,1.2651099057237047e-09
1982,1.8622506869903077e-09
1983,1.2630632095778083e-09
1984,5.219107812592938e-09
1985,8.421781494405423e-09
1986,3.5966913891627428e-09
1987,1.2221633705067347e-09
1988,5.396898483667201e-09
1989,3.2928733073589456e-09
1990,1.3076762783725826e-08
1991,3.5168792322792797e-09
1992,0.0
1993,2.2156829704300662e-09
1994,4.2199412852994556e-09
1995,2.1689803286761844e-09
1996,1.6014276571496566e-09
1997,3.3564262480467733e-09
1998,4.768129224785866e-10
1999,1.8280804647829996e-09
2000,4.4180314962005696e-10
2001,4.381211837767296e-09
2002,1.752488598683044e-09
2003,2.083461403401543e-09
2004,1.7619165015858584e-09
2005,9.007499190971657e-10
2006,2.8825228870488218e-09
2007,3.994479469415779e-10
2008,5.108927503272298e-09
2009,5.245011536203492e-09
2010,2.3618964561933353e-09
2011,2.2943831279320648e-09
2012,5.7872298064864935e-09
2013,5.29933741333366e-09
