year,ayez_VERB eu_VERB,ayez_VERB su_VERB
1800,5.0306631749208464e-08,3.144164484325529e-09
1801,1.3334621939975477e-07,2.8574191901498125e-08
1802,1.1860552717735118e-07,2.2378401354217203e-09
1803,7.216254971353919e-08,9.751696339321825e-09
1804,9.39303390623536e-08,9.887403784603066e-09
1805,1.4214388954769674e-07,5.685755422035754e-09
1806,2.2765186713513685e-07,6.627838899930794e-08
1807,7.117387923472052e-08,5.693910232196231e-09
1808,8.611080914988634e-08,3.6257183921861724e-08
1809,1.3102376783535874e-07,1.8072244145628247e-08
1810,1.942305232205399e-07,1.1700633351097167e-08
1811,8.273353557797236e-08,5.0141535368197765e-09
1812,9.068507722531649e-08,5.3344166417446104e-08
1813,1.2653262615458516e-07,1.7254450312975678e-08
1814,9.125363931161701e-08,1.5733386149463513e-08
1815,7.821948599939788e-08,8.091670444798638e-09
1816,1.367386346373678e-07,4.6352077731626196e-09
1817,1.3389110620209976e-07,2.6466848268569265e-08
1818,1.513989502655022e-07,3.457141417584353e-08
1819,1.2524770909294602e-07,2.4842520929269085e-08
1820,1.4358441546846734e-07,3.797273961936298e-08
1821,1.9821591479285416e-07,4.339054981983281e-08
1822,1.303330066093622e-07,1.2030739071633434e-08
1823,1.7294702558956487e-07,3.063632902922109e-08
1824,1.4905369027928828e-07,2.3579115548955087e-08
1825,1.3736490700466675e-07,1.6730341556581152e-08
1826,1.2243097557984584e-07,1.6735169694470642e-08
1827,2.037017310385636e-07,1.1982455028203276e-08
1828,1.1098484264948638e-07,2.935136400594729e-08
1829,9.087566610332942e-08,2.743416338546467e-08
1830,1.49246758951449e-07,2.922314124020886e-08
1831,6.392394169552063e-08,1.7150327380477393e-08
1832,1.1229874274931717e-07,3.2471927369215337e-08
1833,1.2973663388038403e-07,1.9692167896323554e-08
1834,1.1761508744712046e-07,2.0535967593104942e-08
1835,1.4899282518854307e-07,2.949604294144592e-08
1836,1.290383977448073e-07,2.5538851033957144e-08
1837,1.0436836106464398e-07,1.6698937344017395e-08
1838,8.458297173774554e-08,1.1361890983607736e-08
1839,1.3913034990764572e-07,6.9914749545318955e-09
1840,1.2038711361128662e-07,1.7835128929277744e-08
1841,1.3097918838411715e-07,1.2841097074556274e-08
1842,1.395319202401879e-07,1.0062397137744483e-08
1843,1.0455232768435962e-07,1.8902115428431898e-08
1844,1.2074835353814706e-07,1.3172547497219966e-08
1845,1.0379223880363497e-07,1.674068350610014e-08
1846,1.0538102657164927e-07,5.269050973311096e-09
1847,9.761734531821276e-08,9.168480197274675e-09
1848,7.321151684891447e-08,8.04522137798358e-09
1849,8.798385664476882e-08,6.703531951757213e-09
1850,1.2966982865236787e-07,1.9009188889640427e-08
1851,8.126292527776968e-08,7.739326512989919e-09
1852,1.0481978307552708e-07,1.0416872697760482e-08
