year,quels_PRON ont_VERB,quels_DET sons_NOUN
1800,5.973912564627426e-07,5.973912209356058e-08
1801,8.000773732419475e-07,1.0000966810252976e-07
1802,5.102275508761522e-07,4.0281122437590966e-08
1803,4.5637936807452206e-07,5.070882025393075e-08
1804,5.413353534322596e-07,7.909923027682453e-08
1805,4.0368863096773566e-07,4.548604315424143e-08
1806,6.426122070024576e-07,1.2391177506287931e-07
1807,5.01064093327841e-07,5.4092145873596564e-08
1808,4.940041264944739e-07,3.6257183921861724e-08
1809,4.7439640837865227e-07,9.03612189517844e-08
1810,6.996979351470145e-07,1.0764582825117941e-07
1811,4.613021360455605e-07,1.1031137958639192e-07
1812,5.147711874542438e-07,2.6672083208723052e-08
1813,4.6011867027573317e-07,4.3136123117903935e-08
1814,6.38775475181319e-07,1.5733385261285093e-08
1815,4.693168875746778e-07,3.236668311146218e-08
1816,5.029200593753558e-07,1.3905623319487859e-08
1817,4.7017577031738256e-07,1.0431051933323943e-07
1818,5.722165212773689e-07,1.9073883805731384e-08
1819,5.154822915187651e-07,8.073818946741085e-08
1820,5.363649577816432e-07,4.9839222526770754e-08
1821,6.429690273535016e-07,8.382264837791809e-08
1822,5.734652290811937e-07,6.015369535816717e-08
1823,6.937646332971781e-07,1.0772128788971713e-07
1824,5.498986723750932e-07,9.347435003803639e-08
1825,5.071935262890293e-07,4.6668848341369085e-08
1826,5.205518789352936e-07,5.5490302131033786e-08
1827,6.45209127014823e-07,7.281645864054553e-08
1828,5.118144059679253e-07,3.3020283396467676e-08
1829,6.146967166387185e-07,4.115124596637543e-08
1830,6.710885571692415e-07,7.514521627172144e-08
1831,5.753154965759677e-07,2.6505050598757407e-08
1832,5.006088770187489e-07,6.629684801140456e-08
1833,4.587117032883725e-07,7.645195054806209e-08
1834,5.992768663531933e-07,2.8003593222081236e-08
1835,6.753837240580651e-07,4.9916380362446944e-08
1836,5.746241313886458e-07,4.435695100113435e-08
1837,6.679575363932599e-07,1.5307359824134892e-08
1838,5.863998566724149e-07,3.219202682203104e-08
1839,6.348259660171607e-07,4.1249702320556025e-08
