year,quelques_DET sentiers_NOUN
1800,8.489244152087849e-08
1801,4.7623650800687756e-08
1802,6.265952379180817e-08
1803,1.5602713565598947e-08
1804,7.66273813290752e-08
1805,6.822906595260747e-08
1806,2.305335211616466e-08
1807,3.131650672116848e-08
1808,2.7192887941396293e-08
1809,6.777091243748146e-08
1810,5.8503168531842675e-08
1811,4.011322829455821e-08
1812,3.200649700829672e-08
1813,1.0927818294703684e-07
1814,3.4613449884091096e-08
1815,2.4275012222574333e-08
1816,2.7811246638975717e-08
1817,3.7364961791297446e-08
1818,3.337929754820834e-08
1819,2.277231081482256e-08
1820,6.40789963313182e-08
1821,3.648750634965836e-08
1822,1.604098542884458e-08
1823,7.115534828017189e-08
1824,2.947389532437228e-08
1825,5.371320099811783e-08
1826,4.492072136486058e-08
1827,7.373818444733615e-09
1828,2.7516903422508676e-08
1829,1.2859763920403111e-08
1830,2.7135772739939057e-08
1831,7.951515179627222e-08
1832,1.0823975493678972e-08
1833,4.40177885252524e-08
1834,3.080395316601425e-08
1835,6.579886502322552e-08
1836,3.7636200267421316e-08
1837,3.6181031504156635e-08
1838,6.18591871059948e-08
1839,4.264799935427277e-08
1840,4.840963252483732e-08
1841,5.4574660790507323e-08
1842,2.2137274680034125e-08
1843,4.371114181722646e-08
1844,1.866110915793584e-08
1845,4.798996089405705e-08
1846,4.3323311160747835e-08
1847,7.442648719546696e-08
1848,3.620349886546137e-08
1849,4.1897074254393374e-08
1850,4.3449573716713985e-08
1851,1.7413484876271923e-08
1852,2.5391127644880385e-08
1853,1.8512988253505114e-08
1854,3.688921879074769e-08
1855,2.812676669350367e-08
1856,2.4850508650864356e-08
1857,3.905207135446176e-08
1858,1.8595969208945462e-08
1859,2.9025387426884208e-08
1860,2.2428201851276697e-08
1861,4.102888395696169e-08
1862,3.34330999551824e-08
1863,1.6981711370434027e-08
1864,1.7261019946701595e-08
1865,3.1535857258901956e-08
1866,3.503241186031403e-08
1867,3.54255238477208e-08
1868,1.9759496372451224e-08
1869,3.1742873662921056e-08
1870,2.5229814681893004e-08
1871,6.478918201935358e-08
1872,3.08414298544335e-08
1873,2.1549616757710055e-08
1874,2.3898436118940936e-08
1875,3.833423178889461e-08
1876,1.4510435075720807e-08
1877,2.4739263415618495e-08
1878,3.9254077210948424e-08
1879,3.054662733870117e-08
1880,3.273101567558001e-08
1881,3.2073533162702006e-08
1882,3.7270157626778655e-08
1883,2.2749619632556062e-08
1884,3.49889939244008e-08
1885,4.383032337074155e-08
1886,2.8395241213896583e-08
1887,1.9586773092328258e-08
1888,1.8387782851903012e-08
1889,3.007265680921023e-08
1890,4.5880703680722945e-09
1891,1.3385862196457765e-08
1892,1.817868611198037e-08
1893,2.5249507484836897e-08
1894,2.961723422068019e-08
1895,3.5509827078783474e-08
1896,2.6536630670648265e-08
1897,2.680288169187861e-08
1898,2.4330925274540505e-08
1899,3.979856622038369e-08
1900,1.7130475704618675e-08
1901,1.5089594906925186e-08
1902,2.7497589760727692e-08
1903,3.402138815111755e-08
1904,1.9886114088762952e-08
1905,4.335037573355294e-08
1906,2.0576737980171345e-08
1907,2.1599941391059474e-08
1908,2.4556944921982904e-08
1909,2.970531087775896e-08
1910,3.7409054742809644e-08
1911,2.553779543390533e-08
1912,2.135862686714063e-08
1913,2.8636144788762863e-08
1914,2.4777952134513725e-08
1915,3.534228554258334e-08
1916,2.7468654018036887e-08
1917,1.8642921539857582e-08
1918,4.020231614276781e-08
1919,1.9336482248721865e-08
1920,1.741613253614105e-08
1921,2.196096815509918e-08
1922,1.4018077365562931e-08
1923,1.5923921736771263e-08
1924,1.1602462102189293e-08
1925,3.189471442510694e-08
1926,2.675073285107743e-08
1927,1.6723836537835268e-08
1928,1.3711249802206282e-08
1929,2.3394852943781075e-08
1930,3.151081173768944e-08
1931,2.5091784650044247e-08
1932,1.8631212128639163e-08
1933,1.4911860191091364e-08
1934,1.677421224144382e-08
1935,1.555876849579363e-08
1936,1.091224310911798e-08
1937,8.813782814698357e-09
1938,5.186085783037697e-09
1939,6.117620188206274e-09
1940,2.5357829169792012e-09
1941,5.9030051957620344e-09
1942,1.517105907566929e-08
1943,8.709705845433291e-09
1944,2.8918675454292497e-08
1945,1.742803235060819e-08
1946,6.960552134671616e-09
1947,1.4305045592521992e-08
1948,1.7395020535104777e-08
1949,1.2762111145647737e-08
1950,1.1698897628420468e-08
1951,1.2793682557799002e-08
1952,1.2653764258629963e-08
1953,1.0773827274768166e-08
1954,1.7590565448699635e-08
1955,1.5016972998438405e-08
1956,1.831439710997529e-08
1957,7.951533931294108e-09
1958,2.233505791426893e-08
1959,1.8601794327111065e-08
1960,2.3530832615747954e-08
1961,1.3201502280235644e-08
1962,1.1415521694591035e-08
1963,1.8104949095487655e-08
1964,1.5818317267157767e-08
1965,1.5321721225092233e-08
1966,1.3293779743683842e-08
1967,1.331190557785078e-08
1968,2.470278670507753e-08
1969,1.4079448940051975e-08
1970,1.1036940084085956e-08
1971,1.1818314327172175e-08
1972,1.4364410771960934e-08
1973,2.0398854161385316e-08
1974,1.3501371631807757e-08
1975,1.3707551982378163e-08
1976,1.4283816740512378e-08
1977,1.2341242250357709e-08
1978,1.1287123902192775e-08
1979,1.404473604083023e-08
1980,1.4212877152974812e-08
1981,1.0753434365184944e-08
1982,1.1794254461960918e-08
1983,1.0736036948344463e-08
1984,1.9136728035551442e-08
1985,8.421781494405423e-09
1986,1.3787316233138114e-08
1987,1.588812426067676e-08
1988,1.8589316697070757e-08
1989,1.4269117887266702e-08
1990,9.807571754727462e-09
1991,1.64121027879105e-08
1992,6.060938473329003e-09
1993,1.2740176913439427e-08
1994,1.1604838645595805e-08
1995,1.138714633697191e-08
1996,1.601427590536275e-08
1997,1.1028257640433026e-08
1998,1.4304387896402204e-08
1999,1.8280805091919206e-08
2000,1.281229122795935e-08
2001,1.1391150911421732e-08
2002,1.8839252602376177e-08
2003,1.0417307572119228e-08
2004,1.717868658435151e-08
2005,9.457874483587148e-09
2006,1.5647981355115803e-08
2007,1.1184542181297275e-08
2008,1.958422268799609e-08
2009,2.0980047921170808e-08
2010,2.267420651236307e-08
2011,4.5887665223176555e-08
2012,4.119145957659498e-08
2013,4.685730026210422e-08
2014,3.2265132787756556e-08
2015,4.4996480319525745e-08
2016,5.095496646845277e-08
2017,3.64763632632048e-08
2018,3.484980126700066e-08
2019,4.693817601264527e-08
