year,dois_VERB avoir_VERB,dois_VERB savoir_VERB
1800,4.5904801027063513e-07,1.2576657582030748e-07
1801,4.262316792846832e-07,1.5477687043130572e-07
1802,3.535787413966318e-07,7.832440473976021e-08
1803,3.101039283137652e-07,5.460949736857401e-08
1804,5.017857347411336e-07,1.0134588990240445e-07
1805,3.6673122849606443e-07,4.8328921309348516e-08
1806,4.0919701405073283e-07,4.8988376022407465e-08
1807,2.790015969367232e-07,6.547996633798903e-08
1808,3.285807395059237e-07,7.704651494577774e-08
1809,4.4954705913369253e-07,1.0617443280125372e-07
1810,5.499297799360647e-07,7.956430891908894e-08
1811,4.1868182165671897e-07,1.42903374467096e-07
1812,4.1341726841892523e-07,5.067695596494559e-08
1813,2.501895153272926e-07,7.764502640839055e-08
1814,3.2410775929747615e-07,1.6992056828257773e-07
1815,3.074834751259914e-07,8.631115377966125e-08
1816,3.6386381907504983e-07,4.4034472068688046e-08
1817,3.3939841159735806e-07,1.7748357095115352e-07
1818,2.944530876902718e-07,1.096748292184202e-07
1819,3.384793387795071e-07,1.594061700416205e-07
1820,4.4261975062909187e-07,6.051905643289501e-08
1821,5.157558575774601e-07,1.9525747063653398e-07
1822,4.922577545585227e-07,1.2732532184145384e-07
1823,6.651048352068756e-07,1.3341627891350072e-07
1824,4.833718776353635e-07,2.0463303940232436e-07
1825,4.6052466018409177e-07,9.333769668273817e-08
1826,3.7169692745919747e-07,8.984144272972117e-08
1827,4.0371656950810575e-07,1.2258972503786936e-07
1828,4.310981580601947e-07,1.0915038473058303e-07
1829,2.6748310233415395e-07,1.2431105744781235e-07
1830,4.393907886424131e-07,1.2628571255390852e-07
1831,3.2585620601821574e-07,1.5747117743103445e-07
1832,4.559599631193123e-07,1.4071167697693454e-07
1833,3.7878464809182333e-07,9.846084481068829e-08
1834,3.6964743799217104e-07,1.157481861469023e-07
1835,4.825250243811752e-07,1.9058981592934288e-07
1836,4.18030651871959e-07,1.4718442287176003e-07
1837,4.80790276924381e-07,1.6559781101932458e-07
1838,4.6457512326014694e-07,9.468242723187359e-08
1839,4.048063999562146e-07,1.6779540601419285e-07
1840,3.5033286849284195e-07,9.108654808187566e-08
1841,3.9293757936320617e-07,1.1749603601174385e-07
1842,4.668952442443697e-07,1.737440697979764e-07
1843,4.3770211277660565e-07,1.2050098519011954e-07
1844,3.858458512695506e-07,1.0318495213823553e-07
1845,3.643888817350671e-07,1.7968334020679322e-07
1846,3.863970903239533e-07,1.7563503718065476e-07
1847,2.675038786037476e-07,1.2188685616365547e-07
1848,2.831918095580477e-07,1.247009322469239e-07
1849,2.2289243872819497e-07,4.357295679824347e-08
1850,2.878534246519848e-07,6.177986477950981e-08
1851,3.115079039162083e-07,6.320450296470881e-08
1852,3.391994312096358e-07,1.2695564066689258e-07
1853,3.4696924444688193e-07,1.0152284346531815e-07
1854,4.1825097696346347e-07,1.0651112347659364e-07
1855,3.9536681128993223e-07,1.204674759947011e-07
1856,4.240118016696215e-07,9.422484481547144e-08
1857,4.032126525999047e-07,1.4498081668534724e-07
1858,4.5511185930990905e-07,7.09583005686909e-08
1859,4.2468724359423504e-07,1.3239650797913782e-07
1860,4.471908710002026e-07,1.3136518361989147e-07
1861,4.975341880708584e-07,1.1176834391335433e-07
1862,5.127914164404501e-07,1.1566044832989064e-07
1863,6.028507186783827e-07,9.389886912458678e-08
1864,5.561884677263151e-07,8.438721010861627e-08
1865,4.5938801918055105e-07,1.162590521630591e-07
1866,4.627197824902396e-07,1.3039841917361628e-07
1867,4.0812145130075805e-07,1.0239432413072791e-07
1868,4.0852759752851853e-07,9.731552097491658e-08
1869,4.673527769227803e-07,1.3576183732766367e-07
1870,3.8188764506230655e-07,1.3302992840635852e-07
1871,3.1226261398842325e-07,1.8056000783417403e-07
1872,4.063811900323344e-07,1.2759885237301205e-07
1873,3.645476738256548e-07,1.1732569049627273e-07
1874,3.811800581843272e-07,1.027632805516987e-07
1875,4.4284621480983333e-07,1.1957992285260843e-07
1876,3.282985971964081e-07,1.1547888334462186e-07
1877,3.8964341797509405e-07,1.6637154942600318e-07
1878,3.2188341947403387e-07,1.3346385685508722e-07
1879,3.8244377265073126e-07,1.1241158404118323e-07
1880,3.8699613469361793e-07,1.0589446475250952e-07
1881,3.590841402001388e-07,6.763332294212887e-08
1882,3.2677939998393413e-07,1.1979693681496428e-07
1883,4.1138895312542445e-07,9.794975142085605e-08
1884,3.3734670523699606e-07,1.0628732383111128e-07
1885,3.139024613574293e-07,8.250413685573221e-08
1886,3.646207176188909e-07,1.0002869288427974e-07
