year,mais_CONJ en_ADP,mais_CONJ sans_ADP
1800,4.232988521835068e-05,1.7585312320989033e-05
1801,4.335419271228602e-05,1.675876274020993e-05
1802,4.3935514440818224e-05,1.6186298125830945e-05
1803,4.2263849536539055e-05,1.647841588692245e-05
1804,4.4184334910823964e-05,1.7468570263190486e-05
1805,4.080950839124853e-05,1.6551233670725196e-05
1806,3.795734482991975e-05,1.6641638808323478e-05
1807,3.95726756323711e-05,1.6808422515168786e-05
1808,3.978999302489683e-05,1.818297789668577e-05
1809,4.24855870733154e-05,1.869799473297462e-05
1810,3.9676850065006875e-05,1.6984640410555585e-05
1811,3.8027340451662894e-05,1.7599679381419264e-05
1812,4.065092252858449e-05,1.7811616316976142e-05
1813,4.166374492342584e-05,2.052991908385593e-05
1814,4.03057883886504e-05,1.6447681446152274e-05
1815,3.842734349746024e-05,1.599183872258436e-05
1816,4.1480472646071576e-05,1.7871043837658362e-05
1817,3.943248975701863e-05,1.9516964130161796e-05
1818,4.172650460532168e-05,1.88747993661309e-05
1819,3.858560921798926e-05,1.9144266502735263e-05
1820,4.1307219362352043e-05,1.7891093079924758e-05
1821,4.260951664036838e-05,1.6421350665041246e-05
1822,3.9572107198182493e-05,1.6685632544977125e-05
1823,4.1117907130683307e-05,1.6518911820639914e-05
1824,3.748742483367096e-05,1.740728237109579e-05
1825,3.9875450056570116e-05,1.767340438618703e-05
1826,4.002612331532873e-05,1.7213444607477868e-05
1827,3.9010265027172863e-05,1.8369102747328725e-05
1828,4.048470327688847e-05,1.8443662497702462e-05
1829,4.123269172850996e-05,2.170813888824341e-05
1830,4.313335648475913e-05,2.0867410398750508e-05
1831,3.981838290201267e-05,1.8799876329467224e-05
1832,4.1164931644743774e-05,1.8964957803291327e-05
1833,4.251307382219238e-05,2.0743961385960574e-05
1834,4.029810406791512e-05,1.934488170718396e-05
1835,4.2000095163530204e-05,1.901738545484477e-05
1836,4.420573441166198e-05,1.9142712176289933e-05
1837,4.3028990148741286e-05,1.9044443092752772e-05
1838,4.235460528434487e-05,1.876984538284887e-05
1839,4.155453189014224e-05,1.9208378887469735e-05
1840,4.2324670175730716e-05,1.889504449081869e-05
1841,4.269600594852818e-05,1.8606750018079765e-05
1842,4.0267702388518956e-05,1.833368833104032e-05
1843,4.3151755562576e-05,1.9074596821155865e-05
1844,4.4739457734976895e-05,1.9276375837762316e-05
1845,4.234611969877733e-05,1.8767980122902372e-05
1846,4.182455722911982e-05,1.9263651665824e-05
1847,3.999560613010544e-05,1.802523183869198e-05
1848,4.016576986032305e-05,1.7906250150190317e-05
1849,3.961033235100331e-05,1.89751851848996e-05
1850,3.901907621184364e-05,1.8926363281934755e-05
1851,4.003940466645872e-05,1.8861383523471886e-05
1852,3.894673500326462e-05,1.8842169708932488e-05
