year,six_DET yeux_NOUN,six_DET cieux_NOUN
1800,9.746909768182377e-08,0.0
1801,1.6906395927662743e-07,2.3811825844433088e-09
1802,4.4756802708434407e-08,0.0
1803,3.179053027491108e-07,0.0
1804,1.433673482154063e-07,0.0
1805,2.2743021688143017e-08,0.0
1806,4.8988376022407465e-08,0.0
1807,0.0,0.0
1808,3.85232588051565e-08,0.0
1809,1.1746958428204834e-07,0.0
1810,3.042164919975221e-08,0.0
1811,2.5070768572277302e-08,0.0
1812,2.6672082320544632e-09,1.0668832928217853e-08
1813,1.4378708446116661e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,1.5296186006708012e-07,0.0
1817,1.1987924608547473e-07,0.0
1818,2.8610825708597076e-08,0.0
1819,2.7637302579819334e-07,0.0
1820,1.3053129244156025e-08,0.0
1821,3.747365440176509e-08,0.0
1822,3.8097340393505874e-08,0.0
1823,2.8659792761231984e-08,0.0
1824,3.3684450784221553e-09,0.0
1825,1.717061319794766e-07,0.0
1826,2.1139162420524826e-08,8.80798456392995e-09
1827,8.479891278057039e-08,0.0
1828,2.2013523448549677e-08,0.0
1829,1.3459886494260331e-07,6.858540846366168e-09
1830,5.4271546368056534e-08,0.0
1831,4.8332740476553226e-08,0.0
1832,6.900284432731496e-08,0.0
1833,5.791814139399776e-08,1.1583628500844156e-09
1834,7.934351486937885e-08,7.467624740797874e-09
1835,4.0084366048631637e-08,0.0
1836,6.183090306421946e-08,0.0
1837,6.192522761239161e-08,0.0
1838,3.471689069556305e-08,6.312161904276081e-10
1839,4.47454411300896e-08,0.0
1840,8.917564464638872e-09,3.1848443882154243e-09
1841,1.8619591202195807e-08,6.420548537278137e-10
1842,1.6770663080478698e-08,6.708265054555795e-10
1843,4.075768533784441e-08,0.0
1844,2.7991662321369404e-08,5.488561272137815e-10
1845,4.073566373108406e-08,0.0
1846,5.151961035565478e-08,0.0
1847,1.833696039454935e-08,0.0
1848,3.298540818263973e-08,1.6090443422100975e-09
1849,3.100383594301093e-08,0.0
1850,1.5614691761811628e-08,6.788996032014438e-09
1851,1.5478653025979838e-08,0.0
1852,3.5156944022674e-08,0.0
