year,aux_ADP airs_NOUN,aux_ADP cerfs_NOUN
1800,1.5720823043352539e-07,1.0375742576229641e-07
1801,1.7620750725200196e-07,2.4764299411117463e-07
1802,2.0364345232337655e-07,2.752543366568716e-07
1803,2.262393496987869e-07,2.437924031539751e-07
1804,1.6808586700278738e-07,8.404292906050159e-08
1805,1.478296409729296e-07,4.5486042488107614e-08
1806,2.4494187300660997e-07,1.9019016406218725e-07
1807,8.54086508184082e-08,1.451947113650931e-07
1808,7.931259204951857e-08,9.970725756147658e-08
1809,1.3102376783535874e-07,1.4683697990847122e-07
1810,1.8721014161116045e-07,1.4040760376587968e-07
1811,1.1783261077980001e-07,1.930449116116506e-07
1812,9.601949813031752e-08,1.973734100602087e-07
1813,1.35159851311073e-07,5.176334849643638e-08
1814,1.384537871018665e-07,6.922689443911167e-08
1815,4.855002422310406e-08,9.979726822706425e-08
1816,9.270415368689555e-08,1.089273844456784e-07
1817,1.4945985393755024e-07,1.385617374172199e-07
1818,1.1563542035020191e-07,7.033494364705462e-08
1819,1.8528379808202544e-07,9.315945170840223e-08
1820,1.6257079860082513e-07,1.1154492618459244e-07
1821,1.3608853222102368e-07,1.0551792495316903e-07
1822,1.5639960793123464e-07,1.162971443591232e-07
1823,9.388552868472289e-08,1.1859224358090614e-07
1824,1.2800091475639874e-07,1.212640228231976e-07
1825,1.1799293964109836e-07,1.4881198495686476e-07
1826,1.2595417842042878e-07,1.0745741008122422e-07
1827,6.267745611410191e-08,9.217273344575005e-08
1828,1.0823315454988602e-07,8.346794067026764e-08
1829,9.51622528555518e-08,1.3288423161839091e-07
1830,1.7533884189013804e-07,1.555088502414037e-07
1831,1.309661297188569e-07,1.0602020239502963e-07
1832,3.125422969318947e-07,2.1242052028469516e-07
1833,1.3089500561225265e-07,1.1351955819804971e-07
1834,1.1388127951761362e-07,1.1014746270632259e-07
1835,1.459675971204888e-07,1.505054569861386e-07
1836,1.196293524241554e-07,1.1223652851555244e-07
1837,1.0715152298779174e-07,1.468115016223237e-07
1838,1.205622943700746e-07,1.1803742516747207e-07
1839,1.3703291867894762e-07,8.739344004027316e-08
