year,vos_DET sentiers_NOUN
1887,5.223139754040318e-09
1888,1.0779045211961602e-08
1889,1.1903759755682586e-08
1890,1.6385966361553983e-08
1891,9.561330394092238e-09
1892,1.56712811616444e-08
1893,1.6627724974682678e-08
1894,5.671385139294216e-09
1895,7.824198844375019e-09
1896,1.2973463581200662e-08
1897,1.2236098356765979e-08
1898,1.3580051749784161e-08
1899,8.844125432005967e-09
1900,5.19105292084987e-09
1901,1.2295225282343836e-08
1902,1.276673788908056e-08
1903,8.100330184390714e-09
1904,1.2361637935498493e-08
1905,4.644683138099737e-09
1906,6.6874399351490865e-09
1907,8.228549397415463e-09
1908,1.964555629285769e-09
1909,6.0510818578052294e-09
1910,1.5498036631811374e-08
1911,1.3300935464144459e-08
1912,1.40654377034366e-08
1913,1.484837142129436e-08
1914,8.036092680185902e-09
1915,2.3561523843085297e-09
1916,5.493730803607377e-09
1917,1.4256351654751143e-08
1918,4.594550517822427e-09
1919,2.2098836538475553e-08
1920,1.0601124422748853e-08
1921,3.0290989716519334e-09
1922,4.426761179843197e-09
1923,0.0
1924,3.0939897754933554e-08
1925,1.5397448649423495e-08
1926,4.458455382660986e-09
1927,1.7838759802657478e-08
1928,9.14083297942625e-09
1929,1.3368487872256196e-08
1930,1.05036033204442e-08
1931,3.4216069977333063e-09
1932,5.4797681947604815e-09
1933,5.735331320977366e-09
1934,2.3963160344919743e-09
1935,1.6755597798123745e-08
1936,3.6374143697059935e-09
1937,1.3850230184964119e-08
1938,2.5930428915188486e-09
1939,1.5294050470515685e-09
1940,1.0143131667916805e-08
1941,2.9515025978810172e-09
1942,1.2136847082899749e-08
1943,8.709705845433291e-09
1944,6.4263723231761105e-09
1945,6.535512131478072e-09
1946,2.7842208538686464e-09
1947,9.536696765621855e-09
1948,6.523132700664291e-09
1949,9.817008539414473e-09
1950,3.190608444114673e-09
1951,2.1322803522849654e-09
1952,2.1089607837865287e-09
1953,2.1547654771580937e-09
1954,5.863521668203475e-09
1955,9.385607846468247e-09
1956,2.616342476002842e-09
1957,6.184526224473075e-09
1958,9.099467845885556e-09
1959,3.8753737996444215e-09
1960,4.844583401109048e-09
1961,4.16889545107324e-09
1962,8.878739188311613e-09
1963,3.2330267352165265e-09
1964,6.083968440151466e-09
1965,7.660860945613024e-09
1966,4.985167167959048e-09
1967,6.409436092980059e-09
1968,1.5270813474854705e-08
1969,2.2708788183223305e-09
1970,6.438214850135182e-09
1971,6.679916619845017e-09
1972,2.0520587451500205e-09
1973,1.6539611902288698e-09
1974,2.812785782069227e-09
1975,1.1422960355389478e-09
1976,3.999468700666142e-09
1977,1.1753563677885381e-09
1978,1.1881182704343018e-09
1979,2.9259866751729646e-09
1980,5.6851505725319385e-09
1981,3.795329828193417e-09
1982,3.7245013739806154e-09
1983,1.89459470334441e-09
1984,1.739702604197646e-09
1985,0.0
1986,2.3977941854269602e-09
1987,3.0554083707556856e-09
1988,2.99827696004229e-09
1989,2.744061089465788e-09
1990,2.1794604454505873e-09
1991,2.344586136349136e-09
1992,2.7549720282848966e-09
1993,3.323524566667402e-09
1994,3.164955852952289e-09
1995,4.880205572987961e-09
1996,2.135236876199542e-09
1997,1.917957792585412e-09
1998,4.768129224785866e-10
1999,3.656160929565999e-09
2000,2.6508188977203417e-09
2001,4.8193329327261836e-09
2002,4.819343757400674e-09
2003,3.333538334260311e-09
2004,3.523833003171717e-09
2005,3.1526246058177776e-09
2006,3.7061009261485367e-09
2007,2.396687653893892e-09
