year,mêmes_ADJ herbes_NOUN
1800,6.288328791015374e-08
1801,2.3811825400343878e-08
1802,2.2378401354217203e-08
1803,3.510610468993036e-08
1804,7.4155526164076946e-09
1805,1.421438877713399e-08
1806,8.645007376628655e-09
1807,1.4234775136401367e-08
1808,6.118399653587403e-08
1809,2.4849335034105025e-08
1810,5.8503168531842675e-08
1811,2.5070767684098882e-09
1812,2.6672082320544632e-09
1813,2.8757416004054903e-08
1814,4.72001566720337e-08
1815,8.091670444798638e-09
1816,1.1356259221884102e-07
1817,5.293369653713853e-08
1818,6.437435473571895e-08
1819,3.1053151161586356e-09
1820,2.1359666035891678e-08
1821,8.875339574387908e-09
1822,0.0
1823,3.9530747564242574e-09
1824,2.5263338088166165e-09
1825,4.4027217427355936e-09
1826,1.3211976401805714e-08
1827,8.295545583791863e-09
1828,4.586150570418113e-09
1829,1.0287811491593857e-08
1830,2.400472176589119e-08
1831,3.897801548191637e-08
1832,5.411987746839486e-09
1833,1.1583628278799551e-08
1834,1.0267983796552471e-08
1835,8.31939672707449e-09
1836,1.2097349788575684e-08
1837,7.653680356156656e-09
1838,9.468243078458727e-09
1839,3.4957374772659477e-09
1840,4.458782232319436e-09
1841,8.346713542550788e-09
1842,7.379091560011375e-09
1843,1.063243981747064e-08
1844,7.1351298203126134e-09
1845,2.2320911785556063e-09
1846,4.6836010625384006e-09
1847,1.6179670936367074e-09
1848,7.24069959545659e-09
1849,5.865590679832167e-09
1850,2.1045888587423178e-08
1851,1.3543821175687754e-08
1852,7.161600201754936e-09
1853,4.777545470346922e-09
1854,2.5978321716024766e-09
1855,5.837630823180007e-09
1856,3.1063134287023786e-09
1857,1.0251168802710708e-08
1858,7.829881631948865e-09
1859,4.073738679721828e-09
1860,3.661747127736703e-09
1861,2.357981809808507e-09
1862,6.325180823552046e-09
1863,8.990317823531768e-09
1864,8.63051052846231e-09
1865,8.001635798393636e-09
1866,1.1677471434268227e-08
1867,2.426405742994575e-09
1868,2.9639244392143382e-09
1869,4.883519366671862e-09
1870,1.490852596930381e-08
1871,7.434824311758348e-09
1872,2.237515595027162e-08
1873,9.577607151811662e-09
1874,3.5847653734322193e-09
1875,1.0298748520654044e-08
1876,2.418405919968336e-09
1877,7.421779191219002e-09
1878,1.2078177347163432e-09
1879,1.1607718342077078e-08
1880,7.059631101924424e-09
1881,2.091752326904839e-09
1882,1.9966155395678697e-09
1883,5.0554711528150165e-09
1884,1.5183903911974994e-08
1885,8.379326565943757e-09
1886,3.2267319927115068e-09
1887,4.570247291724172e-09
1888,7.60873763994141e-09
1889,2.5060546970934183e-09
1890,2.6217545912032847e-09
1891,7.649063604731055e-09
1892,2.5074049503359674e-09
1893,1.3548516086814288e-08
1894,1.0082462864602348e-08
1895,1.2037228991346183e-08
1896,1.0024948871034667e-08
1897,5.2440420894583895e-09
1898,9.05336783318944e-09
1899,3.8693048765026106e-09
1900,1.142031713641245e-08
1901,4.470991132876634e-09
1902,2.455141867585553e-09
1903,3.2401321625741275e-09
1904,5.374625189347171e-09
1905,4.1286072338664326e-09
1906,9.259531807970234e-09
1907,2.5714217422034835e-09
1908,1.1296195090437777e-08
1909,5.5009836685826485e-09
1910,4.809735720812114e-09
1911,3.1922244847493175e-09
1912,8.856016364688912e-09
1913,3.71209285532359e-09
1914,1.4063162190325329e-08
1915,1.0602685840410686e-08
1916,7.69122365795738e-09
1917,7.676496771580332e-09
1918,4.594550517822427e-09
1919,1.1049418269237776e-08
1920,7.572231730534895e-10
1921,1.060184651180407e-08
1922,5.164555005876537e-09
1923,1.0615948120573648e-09
1924,1.0313299547703991e-08
1925,2.1996355847875293e-09
1926,0.0
1927,1.8953683067479687e-08
1928,7.998228745975666e-09
1929,1.6710609784809094e-08
1930,2.100720708497761e-09
1931,2.0529641986399838e-08
1932,6.575722188983946e-09
1933,8.02946331646126e-09
1934,1.1981580172459871e-09
1935,5.98414207075848e-09
1936,8.487299751891442e-09
1937,6.295559185076627e-09
1938,0.0
1939,9.176430282309411e-09
1940,5.0715658339584024e-09
1941,2.9515025978810172e-09
1942,3.034211770724937e-09
1943,1.4516175816936538e-08
1944,9.639558484764166e-09
1945,4.357008087652048e-09
1946,5.568441707737293e-09
1947,7.152522574216391e-09
1948,7.610321262063735e-09
1949,4.908504269707237e-09
1950,2.1270722960764488e-09
1951,1.0661401539380222e-08
1952,6.326882129314981e-09
1953,1.6160740301529586e-08
1954,1.9545072227344917e-09
1955,9.385607846468247e-10
1956,6.104799332717903e-09
1957,3.534015080575159e-09
1958,6.617794756635931e-09
1959,3.100299128533379e-09
1960,6.2287499602575735e-09
1961,5.55852741612739e-09
1962,7.610347907416326e-09
1963,8.405868889838075e-09
1964,2.4335873316516654e-09
1965,2.73602163147757e-09
1966,9.970334780007306e-09
1967,8.874604162656397e-09
1968,4.491415683816058e-09
1969,4.087581828571274e-09
1970,3.219107425067591e-09
1971,2.0553589941130213e-09
1972,5.643161493651405e-09
1973,2.7566018356850464e-09
1974,6.750686232237513e-09
1975,7.996072248772634e-09
1976,4.570821499072508e-09
1977,4.11374712072643e-09
1978,4.158414057542359e-09
1979,5.851973128301324e-09
1980,3.411090521154847e-09
1981,3.795329828193417e-09
1982,5.586751949948621e-09
1983,3.157658134966823e-09
1984,2.3196033982486597e-09
1985,4.812446441349039e-09
1986,3.5966913891627428e-09
1987,6.721898593298192e-09
1988,5.396898483667201e-09
1989,6.585746614717891e-09
1990,6.538381391862913e-09
1991,4.68917216167597e-09
1992,2.7549720282848966e-09
1993,3.877445031719162e-09
1994,4.2199412852994556e-09
1995,3.253470381991974e-09
1996,5.871901187504136e-09
1997,3.3564262480467733e-09
1998,4.7681290027412615e-09
1999,2.7421207526856506e-09
2000,4.4180314962005696e-10
2001,2.190605918883648e-09
2002,5.257465574004527e-09
2003,4.166922806803086e-09
2004,3.523833003171717e-09
2005,5.404499514582994e-09
2006,5.353256948836815e-09
2007,1.997239706952314e-09
2008,4.6831836186811415e-09
2009,5.721831008997924e-09
2010,4.723792912386671e-09
2011,6.500752380844688e-09
2012,4.425528388196653e-09
2013,8.646287241731443e-09
2014,5.413613113347537e-09
2015,5.763096222466402e-09
2016,7.2496901815100045e-09
2017,5.0312225496895735e-09
2018,7.228107001822082e-09
2019,7.652963596171958e-09
