year,très_ADV eu_VERB,très_ADV su_VERB
1800,0.0,3.144164484325529e-09
1801,2.3811825844433088e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,3.900678446910888e-09
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,8.645007376628655e-09,0.0
1807,8.540865348294346e-09,0.0
1808,9.064295980465431e-09,1.3596443970698147e-08
1809,2.0331274441787173e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,5.0141535368197765e-09,2.5070767684098882e-09
1812,1.600324850414836e-08,0.0
1813,1.4378708002027452e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,4.670620334934483e-09,0.0
1818,3.5763532135746345e-09,5.960588467246453e-09
1819,7.24573512300708e-09,1.035105001712111e-09
1820,7.119888678630559e-09,1.1866481131050932e-09
1821,7.88919063410276e-09,0.0
1822,5.012807946513931e-09,5.012807946513931e-09
1823,5.929612356680991e-09,1.087095569118901e-08
1824,4.210556348027694e-09,4.210556348027694e-09
1825,7.044354433105582e-09,1.7610886082763955e-09
1826,3.5231937367541377e-09,3.5231937367541377e-09
1827,1.3825909306319772e-08,9.217273055917019e-10
1828,9.172301251858528e-10,2.7516904310687096e-09
1829,3.429270423183084e-09,1.1145129263923081e-08
1830,6.262101504006523e-09,1.1480519646056564e-08
1831,6.236482441579483e-09,1.2472964883158966e-08
1832,6.764984572527055e-09,2.705993873419743e-09
1833,6.950177322551099e-09,1.0425265983826648e-08
1834,4.667265462998671e-09,9.334531370086552e-09
1835,1.3613558280667348e-08,3.025235173481633e-09
1836,1.1425274948351216e-08,9.409050427677812e-09
1837,2.7831563720326358e-09,6.957891152126194e-09
1838,2.5248647617104325e-09,6.312161904276081e-10
1839,6.9914749545318955e-09,2.0974426639952526e-09
1840,5.732719632334238e-09,6.369688665408546e-10
1841,2.5682194149112547e-09,1.2841097074556274e-09
1842,4.024959032733477e-09,1.341653010911159e-09
1843,9.451057714215949e-09,5.31621990873532e-09
1844,7.1351298203126134e-09,1.097712254427563e-09
1845,8.37034175305007e-09,1.674068439427856e-09
1846,5.854501106128396e-09,5.854501328173001e-10
1847,5.3932236454556914e-09,0.0
1848,7.24069959545659e-09,7.24069959545659e-09
1849,8.379414939696517e-10,3.3517659758786067e-09
1850,6.1100964288129944e-09,2.0366988096043315e-09
1851,3.8696632564949596e-09,6.449438760824933e-10
1852,4.557382027314816e-09,1.9531636308300904e-09
1853,2.388772735173461e-09,2.9859659189668264e-09
1854,3.117398783558656e-09,2.0782657816909023e-09
1855,2.653468555990912e-09,1.5920811335945473e-09
1856,4.141751386299575e-09,2.0708756931497874e-09
1857,2.4407544874094356e-09,4.881508974818871e-09
1858,2.936205500958522e-09,0.0
1859,1.5276520048956854e-09,1.018434669930457e-09
1860,5.950338888283113e-09,9.154367819341758e-10
1861,2.8295783494058924e-09,9.431927461278633e-10
1862,4.066187636597718e-09,9.035972525772706e-10
1863,3.995696662428827e-09,9.989241656072068e-10
1864,2.3973640850272204e-09,4.794727948009836e-10
1865,4.23615986733239e-09,4.706844358715045e-10
1866,4.865612801552288e-09,1.9462451650298362e-09
1867,6.308654931785895e-09,4.85281148598915e-10
1868,1.4819622196071691e-09,4.93987406535723e-10
1869,2.441759683335931e-09,4.883519144627257e-10
1870,2.2936195165357276e-09,1.7202146374017957e-09
1871,2.1242354542039266e-09,0.0
1872,3.0236697590169115e-09,0.0
1873,5.38740402289406e-09,0.0
1874,5.974609140757536e-09,5.974609140757536e-10
1875,2.8607636259891933e-09,0.0
1876,1.209202959984168e-09,2.418405919968336e-09
1877,1.2369631985365004e-09,0.0
1878,3.6234530931267273e-09,1.8117265465633636e-09
1879,1.832797580370027e-09,5.498392852132383e-09
1880,7.701415505323439e-09,5.134277003548959e-09
1881,1.1853263259808955e-08,5.5780060570498335e-09
1882,5.989846840748214e-09,1.9966155395678697e-09
1883,6.319338829996468e-09,2.5277355764075082e-09
1884,1.1222884843675729e-08,2.6406787867472303e-09
1885,1.2246707647989297e-08,6.445635580831777e-09
1886,1.936039190075789e-08,5.808117542471791e-09
1887,1.3057849523878673e-08,8.48760173255414e-09
1888,1.2681229177857745e-08,6.974675947901687e-09
1889,1.3783300722991498e-08,6.891650361495749e-09
1890,1.3108773011527575e-08,7.865263995654459e-09
1891,2.039750413018737e-08,1.1473596295275001e-08
1892,1.5044429702015805e-08,9.402768341715273e-09
1893,7.390100087434348e-09,9.23762488724833e-09
1894,1.2603078580752936e-08,5.671385139294216e-09
1895,1.745398225949657e-08,8.426059849853118e-09
1896,1.7101383420481397e-08,1.7691087705884456e-08
1897,1.2236098356765979e-08,1.1653426668090106e-08
1898,1.4711722617910539e-08,3.960848538042683e-09
1899,1.1607914629507832e-08,9.949641111006713e-09
1900,9.34389543516545e-09,6.748368974740515e-09
1901,1.2854099118442264e-08,1.0618603774048552e-08
1902,1.4730851927158284e-08,8.838511256215043e-09
1903,1.1340462791054051e-08,7.020286574288548e-09
1904,1.2361637935498493e-08,1.2361637935498493e-08
