year,pas_ADV ôté_VERB,pas_ADV oté_VERB,pas_ADV sauté_VERB
1800,1.6978488304175698e-07,0.0,6.288328968651058e-09
1801,2.09544069207368e-07,9.524730337773235e-09,2.1430643926123594e-08
1802,9.622712582313397e-08,2.2378401354217203e-09,1.5664880947952042e-08
1803,1.2092102963379148e-07,0.0,2.5354410126965377e-08
1804,2.4224138428508013e-07,0.0,4.943701892301533e-09
1805,3.439882050315646e-07,0.0,1.421438877713399e-08
1806,1.181484350354367e-07,0.0,1.152667650217154e-08
1807,1.5942949005420815e-07,0.0,4.839823830593559e-08
1808,1.450287356874469e-07,0.0,1.1330369531492579e-08
1809,1.965356517530381e-07,2.259030518203531e-09,2.259030518203531e-09
1810,2.7145469516653975e-07,0.0,4.680253518074551e-09
1811,1.6797415014480066e-07,2.5070767684098882e-09,0.0
1812,2.0004061695999553e-07,0.0,0.0
1813,1.581657897986588e-07,0.0,0.0
1814,1.9194730782601255e-07,3.1466771410748606e-09,6.293354282149721e-09
1815,1.4565007688815967e-07,2.697223555614414e-09,5.394447111228828e-09
1816,9.502176112619054e-08,4.6352077731626196e-09,2.3176038865813098e-09
1817,1.4478922594207688e-07,1.556873407970727e-09,0.0
1818,1.8000977775045612e-07,1.1921177378582115e-09,7.152706427149269e-09
1819,1.9149442209709377e-07,0.0,6.210630232317271e-09
1820,2.1478331291291397e-07,1.1866481131050932e-09,1.3053129244156025e-08
1821,3.0077538326622744e-07,0.0,2.9584463767662328e-09
1822,2.817197923832282e-07,2.0051231786055723e-09,1.2030739071633434e-08
1823,2.67820809085606e-07,1.9765373782121287e-09,0.0
1824,1.6000113589598186e-07,8.421112696055388e-10,1.6842225392110777e-09
1825,1.9988355859368312e-07,8.805443041381977e-10,3.522177216552791e-09
1826,2.30769188647173e-07,7.927186018719112e-09,1.0569580766173203e-08
1827,1.9448445698344585e-07,1.8434546111834038e-09,1.566936447261469e-08
1828,2.5040381501639786e-07,9.172301251858528e-10,2.2930752408001354e-08
1829,1.7489279002802505e-07,1.714635211591542e-09,8.573175946935407e-09
1830,2.066493465235908e-07,0.0,9.39315203396518e-09
1831,1.5903030714525812e-07,7.795603051974354e-09,1.7150327380477393e-08
1832,1.5559464827674674e-07,0.0,2.705993829010822e-08
1833,2.1777221093088883e-07,0.0,2.4325620628928846e-08
1834,1.978920494138947e-07,9.334530925997342e-10,2.9870498963191494e-08
1835,1.6033746419452655e-07,7.563087933704082e-10,1.5126175867408165e-08
1836,1.276942498407152e-07,1.3441500135158435e-09,1.0753200108126748e-08
1837,1.1550098832913136e-07,6.957890930081589e-10,1.461157062010443e-08
1838,1.3318661729044834e-07,4.418513332993257e-09,1.4517972601879592e-08
1839,1.6080393550055305e-07,2.0974426639952526e-09,1.4682098203877558e-08
1840,1.2611982924681797e-07,1.2739377330817092e-09,8.917564464638872e-09
1841,1.1171754721317484e-07,6.420548537278137e-10,2.3756030032018316e-08
1842,1.0599058697380315e-07,6.708265054555795e-10,8.720745015011744e-09
1843,1.281799768548808e-07,1.1813822142769936e-09,1.1813821920725331e-08
1844,1.2733461574043758e-07,5.488561272137815e-10,4.390849017710252e-09
1845,1.3950570121323835e-07,1.674068439427856e-09,1.0602432709561072e-08
1846,1.3933713205460663e-07,2.3418005312692003e-09,1.2879903366069811e-08
1847,1.5478552484182728e-07,1.6179670936367074e-09,6.47186837454683e-09
1848,1.198738033281188e-07,4.02261068899179e-09,4.02261068899179e-09
1849,1.1563592750007956e-07,5.027648741773305e-09,2.011059585527164e-08
1850,1.3645882290802547e-07,2.0366988096043315e-09,1.6972489191857676e-08
1851,1.0577079478935048e-07,5.8044946626978344e-09,1.2253933867611977e-08
1852,1.3476828542025032e-07,1.9531636308300904e-09,4.557382027314816e-09
1853,1.4392355751624564e-07,2.9859659189668264e-09,2.5679307569248522e-08
1854,1.1170678249072807e-07,1.0391328908454511e-09,1.7665259477439577e-08
1855,1.422259146011129e-07,1.0613874223963649e-09,1.963566731433275e-08
1856,1.0147290652184893e-07,5.177189232874468e-10,1.6049286344355096e-08
1857,1.2740738952743413e-07,1.9526036343364694e-09,1.3180074809326925e-08
1858,1.2283126693546365e-07,1.468102750479261e-09,2.3489644007668176e-08
1859,9.67512931993042e-08,1.018434669930457e-09,2.2914779407301467e-08
1860,1.6157459015175846e-07,6.408057362516928e-09,1.6020143434047895e-08
1861,1.3016060051995737e-07,4.715963730639317e-10,8.960331143725853e-09
1862,1.3870217685507669e-07,3.162590411776023e-09,3.5240294238292336e-08
1863,1.238665987557397e-07,4.994620828036034e-10,1.548332484446746e-08
1864,1.2753976363910624e-07,1.4384183844029508e-09,5.274200631788517e-09
1865,1.25672741546623e-07,2.353422234868674e-09,1.835669216632141e-08
1866,9.536601197623895e-08,9.731225825149181e-10,2.2868380966656332e-08
1867,1.1937916610804677e-07,1.455843445796745e-09,2.2808213984149006e-08
1868,7.903798859842937e-08,1.4819622196071691e-09,1.9265508299781686e-08
1869,1.1671610877783678e-07,0.0,2.24641887314192e-08
1870,8.658413719331293e-08,1.7202146374017957e-09,1.834895613228582e-08
1871,7.222400455475508e-08,1.0621177271019633e-09,1.911811864374613e-08
1872,9.131482414659331e-08,6.047339295989218e-10,2.7817760539505798e-08
1873,8.919146665675726e-08,1.7958013409646867e-09,3.052862140862089e-08
1874,7.229277088072195e-08,3.5847653734322193e-09,1.9716210886144836e-08
1875,6.350894921069994e-08,5.1493745933939294e-09,4.005068987567029e-08
1876,1.1185127135604489e-07,1.209202959984168e-09,4.957732002708326e-08
1877,9.091679231687522e-08,3.7108897066318036e-09,2.288381928394756e-08
1878,7.911206267863236e-08,1.2078177347163432e-09,1.5701630218245555e-08
1879,6.720257772485638e-08,4.887460214320072e-09,3.4823152361695975e-08
1880,7.508879917850209e-08,0.0,1.9895322722618403e-08
1881,1.1295462343241525e-07,3.486253785656146e-09,2.1614773970668466e-08
1882,1.3843201429608598e-07,3.3276925659464496e-09,3.660461800336634e-08
1883,9.289428248848708e-08,1.8958017378167824e-09,2.401348808689363e-08
1884,6.271611852071146e-08,1.3203393933736152e-09,3.1688145440966764e-08
1885,6.574548194748786e-08,2.5782542767416317e-09,1.9981470700258797e-08
1886,5.420909587883216e-08,2.5813854942491332e-09,2.5813855941692054e-08
