year,sans_ADP avoir_VERB,sans_ADP savoir_VERB
1800,2.886971861926213e-05,4.4112627364256696e-06
1801,3.281983913439035e-05,4.738553144534308e-06
1802,3.089114557042194e-05,3.2202518696067273e-06
1803,3.1769076940690866e-05,4.054755336824201e-06
1804,3.4976689050836285e-05,4.7311228854596266e-06
1805,3.2983065693770186e-05,4.736234458846411e-06
1806,3.401234039301926e-05,4.048744948192962e-06
1807,3.822606498715686e-05,3.3821826974644864e-06
1808,3.4559893890673266e-05,3.435368270743311e-06
1809,3.554584338871791e-05,3.948785170848623e-06
1810,3.779070783593852e-05,5.24422398484603e-06
1811,3.415891978875152e-05,3.7029522701459427e-06
1812,3.398023102363368e-05,3.971473169883666e-06
1813,3.6113562941864075e-05,3.6550677151581112e-06
1814,3.282298820295182e-05,3.631265450110277e-06
1815,3.306526491542172e-05,3.2987045130994375e-06
1816,3.218920051040186e-05,3.6826725420269213e-06
1817,3.188476586046818e-05,5.168819768641697e-06
1818,3.600433899464406e-05,5.087958300009632e-06
1819,3.444415335707163e-05,5.0264700348634506e-06
1820,3.5915092098548485e-05,4.594701636051468e-06
1821,3.507830115268007e-05,5.21869966974009e-06
1822,3.420038251533697e-05,5.15316662585974e-06
1823,3.485524939605966e-05,4.815833534621561e-06
1824,3.4614142066402565e-05,4.502768874203866e-06
1825,3.3001920712649735e-05,4.881737602602243e-06
1826,3.6935403159077396e-05,4.315031638668643e-06
1827,3.67077900023105e-05,3.859272318607054e-06
1828,3.677542486002494e-05,4.201831131922518e-06
1829,3.642056634589608e-05,4.440905271962947e-06
1830,3.434762737697383e-05,4.195607786527944e-06
1831,3.0897093211024185e-05,4.468439570359806e-06
1832,3.3778921647353854e-05,4.816669274987362e-06
1833,3.2783985204787314e-05,3.992876777658694e-06
1834,3.102891452044787e-05,4.421767187068326e-06
1835,3.1963123319656006e-05,4.804829885074469e-06
1836,3.355267114102389e-05,4.461233686470223e-06
1837,3.2219903971508757e-05,4.248488210123469e-06
1838,3.315967967409961e-05,4.215261512285906e-06
1839,3.320321548017091e-05,3.964166410241887e-06
1840,3.413070135138696e-05,3.7542945960922225e-06
1841,3.258620876067653e-05,3.859391767946363e-06
1842,3.3202559052369907e-05,4.237611193502744e-06
1843,3.078859174365789e-05,4.336263209836488e-06
1844,3.2248041463844856e-05,3.6614192495676434e-06
1845,3.174480036705063e-05,4.357042129754518e-06
1846,3.185492869306472e-05,3.892072484745768e-06
1847,3.294936044540009e-05,3.1944064673439243e-06
1848,3.0398065803183272e-05,3.5205891251166577e-06
1849,3.195489955487574e-05,3.5905793325241575e-06
1850,3.071273840760114e-05,3.708149655778925e-06
1851,3.0807678399469296e-05,3.5297779277243535e-06
1852,3.160349081099412e-05,3.989011347016458e-06
1853,3.019468414322546e-05,3.6595999191035844e-06
1854,3.248121436172369e-05,3.4587538166874765e-06
1855,3.132950416784297e-05,4.100670210505086e-06
1856,3.097357017622926e-05,3.90981335840479e-06
1857,3.220526957647962e-05,4.581784352808427e-06
1858,3.097403305218904e-05,4.097475084563484e-06
1859,3.0364628969437035e-05,4.064572536321975e-06
1860,3.0159522225403634e-05,4.278751490005561e-06
1861,3.094945509474201e-05,3.948204934545174e-06
1862,3.059625475998473e-05,4.16332420627441e-06
1863,3.0186987942215637e-05,4.188489128864603e-06
1864,3.0137262228890904e-05,3.864071260295532e-06
1865,3.013745401858614e-05,4.46820730815034e-06
1866,2.9096850994392298e-05,3.958175959439814e-06
1867,2.7787683904989535e-05,3.7289002534635074e-06
1868,2.8932348016041942e-05,3.5720229334401665e-06
1869,2.890896791996056e-05,4.073343092159121e-06
1870,3.0281512522378762e-05,3.630226181883245e-06
1871,2.9822142096236348e-05,3.8469903387294835e-06
1872,2.875570260130189e-05,3.7765632967534657e-06
1873,2.915663026215043e-05,3.549101940336641e-06
1874,2.9559976724158332e-05,3.7920844135896914e-06
1875,2.9159190148675407e-05,4.097185779983192e-06
1876,2.8377575119975518e-05,3.752761401187854e-06
1877,2.7473570526126423e-05,3.3725800676620565e-06
1878,2.699351932733407e-05,3.3764544440373356e-06
1879,2.9055339609840303e-05,4.071865191690449e-06
1880,2.8690340059256414e-05,3.465636950750195e-06
1881,2.6778611925237783e-05,3.4053727375749077e-06
1882,2.798190075736784e-05,3.563293205388618e-06
1883,2.6702998013661272e-05,3.3100696725796297e-06
1884,2.7426750250469922e-05,3.6216909791164653e-06
1885,2.6795151541136875e-05,3.2266852727502737e-06
1886,2.7536285188034526e-05,3.4042022321045806e-06
1887,2.696707093718942e-05,3.173057358196729e-06
1888,2.727225171383907e-05,3.2673187178033913e-06
1889,2.6326105114549136e-05,3.2522325810191433e-06
1890,2.6469890201497037e-05,3.2326233281310124e-06
1891,2.6324891166495945e-05,3.0392280265800764e-06
1892,2.5249567556784314e-05,2.8239647278383018e-06
1893,2.547860009372016e-05,3.0330201141737234e-06
1894,2.592138156387591e-05,3.1400569540096512e-06
1895,2.6129815296371817e-05,3.2000972325363364e-06
1896,2.628954570127462e-05,3.076480027175421e-06
1897,2.448559911272241e-05,2.8312001418839827e-06
1898,2.531944045358614e-05,2.892551044908487e-06
1899,2.5440126535158925e-05,3.075544675823494e-06
1900,2.4871373000223684e-05,2.71128698159373e-06
1901,2.5182858223615767e-05,2.754689376160968e-06
1902,2.4519010594303836e-05,2.350552854579746e-06
1903,2.455912192544929e-05,2.765452776998245e-06
1904,2.3091001878583484e-05,2.7281596501893546e-06
1905,2.4749452791184012e-05,2.754813102967546e-06
1906,2.3995048081815185e-05,2.9399014067621465e-06
1907,2.4043821213126648e-05,2.937077795195364e-06
1908,2.3890961642791808e-05,3.0101904400225976e-06
1909,2.4156469180525164e-05,3.1196078538187066e-06
1910,2.3997374967166252e-05,3.1145710011060146e-06
1911,2.358894226972552e-05,2.992710491867001e-06
1912,2.360753330776788e-05,3.0990846511258496e-06
1913,2.2785356520671485e-05,2.886417249214901e-06
1914,2.389264210478359e-05,2.843437400201765e-06
1915,2.2997225983090175e-05,2.4280151151856444e-06
1916,2.2372670912318426e-05,2.7875191079829165e-06
1917,2.2571094007162174e-05,2.970804374058389e-06
1918,2.153580675212652e-05,3.003687353952955e-06
1919,2.3063819355684245e-05,3.040431565182189e-06
1920,2.1992032316120458e-05,2.835800856360038e-06
1921,2.1030276286637672e-05,3.0601473355318376e-06
1922,2.183131067567956e-05,3.0175756506878315e-06
1923,2.1900700801325e-05,3.1189656368724172e-06
1924,2.1523856219118898e-05,3.3299065336223066e-06
1925,2.184458156762048e-05,3.353344510514944e-06
1926,2.061478267023631e-05,3.263589448465609e-06
1927,2.1600507636776456e-05,3.826414030072556e-06
1928,2.0932508391524607e-05,3.1718690962634355e-06
1929,2.1443053924485866e-05,3.2652531842813914e-06
1930,2.105237319938169e-05,2.862232022948774e-06
1931,2.0310659579081403e-05,2.6996479931540307e-06
1932,1.9813746462205017e-05,2.571107181381649e-06
1933,1.9683656375946157e-05,2.4237508569058264e-06
1934,1.9737257900942495e-05,2.683873873365883e-06
1935,1.9606442208441877e-05,2.7550989756264244e-06
1936,1.8419866364638438e-05,2.6528875949338726e-06
1937,1.8978593175233982e-05,2.4615635254576773e-06
1938,1.9206668866900145e-05,2.5606299374203445e-06
1939,1.883309420236401e-05,2.378224834842513e-06
1940,1.8343854264912807e-05,1.9703033302675976e-06
1941,1.87184299988985e-05,2.7448973156651846e-06
1942,1.9519083934937953e-05,3.1677170255761666e-06
1943,1.9660708801438886e-05,3.1500102366521787e-06
1944,1.942049806302748e-05,3.0557399384179007e-06
1945,1.895952124186806e-05,3.3723243006988923e-06
1946,2.0081193042642553e-05,3.157306480261468e-06
1947,2.0762581300459715e-05,3.638249808091132e-06
1948,1.8423500591779884e-05,3.116970177075018e-06
1949,1.7430097955184465e-05,2.8547859329819403e-06
1950,1.8510847496600036e-05,3.2586747664709037e-06
1951,1.851032493505045e-05,3.2591905352319372e-06
1952,1.7262898552417028e-05,2.920910645798358e-06
1953,1.8282107021150296e-05,2.9218620198889766e-06
1954,1.808114598134125e-05,3.0705309654877055e-06
1955,1.7150321241388156e-05,2.912354091222369e-06
1956,1.7376874836827483e-05,3.2425204921082695e-06
1957,1.6705289397123124e-05,2.745046231211745e-06
1958,1.6487407663134945e-05,2.815044425119595e-06
1959,1.7166356997222465e-05,3.0305424019161364e-06
1960,1.694219946557496e-05,3.2700937282470477e-06
1961,1.6818019446418475e-05,3.2301991410577102e-06
1962,1.7186067623242707e-05,3.2350320111618203e-06
1963,1.6278935333957634e-05,3.0927132428359982e-06
1964,1.7187209891744715e-05,3.326713780893442e-06
1965,1.7454723149512574e-05,3.1409529412940174e-06
1966,1.7370539069361257e-05,3.2686080118082828e-06
1967,1.6759690311118902e-05,3.342274538908896e-06
1968,1.7867300698526378e-05,3.3366729184081123e-06
