year,les_DET îles_NOUN,les_DET iles_NOUN,les_DET cils_NOUN
1800,1.8465677726453578e-05,1.3016840654245243e-06,3.1756061424914606e-07
1801,1.7735047549649607e-05,1.776362196892478e-06,1.1905912700171939e-07
1802,1.946249471984629e-05,1.4322177150916104e-06,6.109303285484202e-07
1803,2.0076791088285972e-05,1.2930749153650112e-06,6.085058608107374e-07
1804,2.2081043880461948e-05,1.5696252999575222e-06,4.844827792283013e-07
1805,1.2394947134453105e-05,9.324638874375069e-07,1.3731099208769137e-06
1806,1.2587130754582176e-05,9.653591570568665e-07,4.120786734063131e-07
1807,1.6791341977295815e-05,1.5601314018454104e-06,4.61206742130571e-07
1808,1.982588059945556e-05,1.2259460362429309e-06,5.121327149026911e-07
1809,1.7371945205013617e-05,1.2447258184167254e-06,2.100898353063485e-07
1810,1.1915925824723672e-05,1.2355869429825361e-06,1.9891076696865184e-07
1811,1.6220787074416876e-05,1.7975740078668423e-06,4.437525955580668e-07
1812,1.4306904859040515e-05,9.415245187938126e-07,5.601137047506199e-07
1813,1.7734697848936776e-05,1.4234921295042113e-06,3.5084048022326897e-07
1814,1.1123503782073385e-05,1.0446967912969285e-06,4.248014100483033e-07
1815,1.7143553122878075e-05,1.1544116735873189e-06,4.0458353467442976e-07
1816,1.8726239318311855e-05,9.919344758912985e-07,7.81032525765113e-07
1817,1.6057592688412115e-05,1.0804701418010154e-06,3.8921833933613925e-07
1818,1.4238653989195882e-05,9.250833867824326e-07,6.497041411535065e-07
1819,1.261482447034723e-05,7.701181243824351e-07,3.591814299319651e-07
1820,1.7993146002481808e-05,1.1427421213738853e-06,4.497396286495814e-07
1821,1.2167103932370082e-05,8.332957381895767e-07,4.0530715672559836e-07
1822,1.2964123982328601e-05,1.1990636892278417e-06,2.897402993085052e-07
1823,1.3094560358695162e-05,1.305502955517568e-06,2.273017933873689e-07
1824,1.1698610023813671e-05,1.0374810957003433e-06,4.0337129547651784e-07
1825,1.5953702131810132e-05,1.7276279447031584e-06,3.1347378026680417e-07
1826,1.8236931737192208e-05,1.7334113504574589e-06,4.888431277549898e-07
1827,1.584817891853163e-05,1.2931834527663e-06,5.0141966312367e-07
1828,1.4728881751580047e-05,1.4629820253020398e-06,6.301370731875977e-07
1829,1.460097655581194e-05,2.082424478189182e-06,4.4237588525675164e-07
1830,1.4773341490581515e-05,1.3463518362399896e-06,4.195608021007047e-07
1831,1.2505706195042876e-05,1.0025145353864673e-06,3.414474107898968e-07
