year,suis_VERB au_ADP,suis_VERB sot_ADJ
1800,8.17482771253708e-07,3.144164484325529e-09
1801,1.4953826621422195e-06,0.0
1802,7.742926868559152e-07,2.2378401354217203e-09
1803,8.932553896556783e-07,5.851017448321727e-09
1804,2.1455666683323216e-06,2.4718509461507665e-09
1805,1.2195945373605355e-06,0.0
1806,1.6339064359272015e-06,0.0
1807,8.512395766047121e-07,0.0
1808,7.070150900290173e-07,0.0
1809,1.0504492138352362e-06,0.0
1810,1.6825511011120398e-06,0.0
1811,1.2410030194587307e-06,2.5070767684098882e-09
1812,1.1895748457391164e-06,0.0
1813,1.1675510904751718e-06,2.8757416448144113e-09
1814,8.873629440131481e-07,0.0
1815,9.763949719854281e-07,2.697223555614414e-09
1816,7.972557227731158e-07,0.0
1817,1.3716054354517837e-06,0.0
1818,1.6379697171942098e-06,2.384235475716423e-09
1819,9.440157668905158e-07,0.0
1820,1.5485758240174619e-06,9.493184904840746e-09
1821,1.876641249509703e-06,0.0
1822,1.5389319969472126e-06,0.0
1823,1.5535583770542871e-06,4.941343334508019e-09
1824,1.3069567330603604e-06,4.210556348027694e-09
1825,1.4159152215142967e-06,7.044354433105582e-09
1826,7.909570172159874e-07,0.0
1827,9.291011338063981e-07,1.8434546111834038e-09
1828,9.851052027443075e-07,0.0
1829,9.216164471581578e-07,0.0
1830,1.1637072248049662e-06,0.0
1831,1.3268116845210898e-06,0.0
1832,1.2758761158693233e-06,0.0
1833,1.0958112852677004e-06,0.0
1834,9.334530659543816e-07,0.0
1835,1.1208496744075092e-06,7.563087933704082e-10
1836,1.0901056839429657e-06,6.720750067579218e-10
1837,9.379236871609464e-07,6.957890930081589e-10
1838,8.849651180753426e-07,6.312161904276081e-10
1839,7.704605877734139e-07,0.0
1840,7.611777732563496e-07,6.369688665408546e-10
1841,7.878012979745108e-07,4.494383976094696e-09
1842,9.042741453413328e-07,4.695785538189057e-09
1843,9.492405865785258e-07,5.906911071384968e-10
1844,7.497374667764234e-07,5.488561272137815e-10
1845,8.152712780429283e-07,1.1160455892778032e-09
1846,7.429362085531466e-07,0.0
1847,6.196813728820416e-07,1.0786447290911383e-09
1848,8.600342198405997e-07,0.0
1849,6.728670314259944e-07,0.0
1850,7.780189434924978e-07,0.0
1851,6.907349074936064e-07,1.096404567135778e-08
1852,8.053544888753095e-07,1.3021090872200602e-09
1853,8.127799446810968e-07,2.388772735173461e-09
1854,7.996127351361793e-07,5.7152309551611324e-09
1855,1.0937596925941762e-06,0.0
1856,9.298231589127681e-07,7.765783571755946e-09
1857,9.489653507444018e-07,4.881509085841174e-10
1858,1.0076079206555733e-06,4.893676019968041e-10
1859,1.0128333087777719e-06,5.092173349652285e-09
1860,9.927912287821528e-07,0.0
1861,1.0040287179435836e-06,1.8863854922557266e-09
1862,1.147568468695681e-06,9.035972525772706e-10
1863,1.034885485751147e-06,9.989241656072068e-10
1864,1.0874442750719027e-06,0.0
1865,1.1442339200584684e-06,9.41368871743009e-10
1866,1.002316253106983e-06,4.865612912574591e-10
1867,1.0685890856620972e-06,4.367530337390235e-09
1868,9.75131115410477e-07,9.87974813071446e-10
1869,1.0587469887468615e-06,4.883519366671862e-09
1870,9.317829494648322e-07,0.0
1871,9.006758432406059e-07,0.0
1872,1.0105103456226061e-06,6.047339295989218e-10
1873,8.146952268361929e-07,1.7958012854535355e-09
1874,8.537716666978667e-07,0.0
1875,1.171768758467806e-06,2.2886108563824337e-09
1876,9.818728585742065e-07,4.232210137899983e-09
1877,1.0767764706542948e-06,1.2369631985365004e-09
1878,8.406411211581144e-07,0.0
1879,1.0538585684116697e-06,3.0546627449723474e-09
1880,1.0153032690141117e-06,6.417846254436199e-10
1881,1.084224891201302e-06,0.0
1882,1.0289224974258104e-06,0.0
1883,1.073023781827942e-06,1.2638677882037541e-09
1884,9.5460541160719e-07,6.601696966868076e-10
1885,6.806591272834339e-07,1.933690763067375e-09
1886,6.685788775939727e-07,4.5174246565693466e-09
1887,8.494130838698766e-07,0.0
1888,7.538990871580609e-07,3.1703073499755874e-09
1889,8.382752980651276e-07,6.265136742733546e-10
1890,7.537544206570601e-07,1.3108772956016423e-09
1891,7.311230660889123e-07,1.2748440081367107e-09
1892,8.055038165366568e-07,0.0
1893,6.718832423757704e-07,6.158416554491453e-10
1894,6.881280683046498e-07,0.0
1895,7.992720156835276e-07,6.018614495673091e-10
1896,7.477432859559485e-07,0.0
1897,7.353312412305968e-07,2.9133566670225264e-09
1898,8.634649475425249e-07,5.6583548957434e-10
1899,8.567746476728644e-07,5.527578395003729e-10
1900,6.561490977219364e-07,2.595526460424935e-09
1901,7.052988735267718e-07,5.588738916095792e-10
1902,5.813776056129427e-07,0.0
1903,5.972643748464179e-07,5.400220270956879e-10
1904,7.169750233515515e-07,0.0
1905,7.895961289250408e-07,4.1286072338664326e-09
1906,7.561951065326866e-07,5.144184522798412e-10
1907,8.177120776053926e-07,1.5428529565042481e-09
1908,8.089057814686385e-07,2.4556945366072114e-09
1909,8.62554202285537e-07,1.6502950117569526e-09
1910,1.0330243185308063e-06,9.619471441624228e-09
1911,8.273181606455182e-07,1.0640748282497725e-09
1912,9.694732625575853e-07,0.0
1913,7.609790486640122e-07,0.0
1914,8.431200058112154e-07,6.696743715117748e-10
1915,7.645714390491776e-07,0.0
1916,9.70192900240363e-07,0.0
1917,8.455113515992707e-07,1.0966424435210342e-09
1918,7.925599447844434e-07,0.0
1919,8.342310593434377e-07,0.0
1920,8.162865583472012e-07,0.0
1921,8.640504916002101e-07,4.543648568500203e-09
1922,9.163395588984713e-07,0.0
1923,8.874932859725959e-07,2.1231896241147297e-09
1924,1.0919205806203536e-06,5.156649773851996e-09
1925,1.0019340379585628e-06,1.0998177923937646e-09
1926,9.730579222377855e-07,0.0
1927,1.138335846917471e-06,1.1149224876660924e-09
1928,8.672365083839395e-07,5.713020723163709e-09
1929,1.0449700766912429e-06,4.4561625500705304e-09
1930,1.0398567837910377e-06,1.0503603542488804e-09
1931,8.759313914197264e-07,0.0
1932,8.581317274547473e-07,0.0
1933,9.199471264764725e-07,0.0
1934,8.530885224899976e-07,0.0
1935,8.413703653786797e-07,2.393656828303392e-09
1936,7.226329898912809e-07,1.2124714565686645e-09
1937,7.353212936322961e-07,1.2591118148108649e-09
1938,9.231232525053201e-07,3.8895642262559704e-09
1939,7.203497602858988e-07,0.0
1940,5.781585059594363e-07,0.0
1941,9.710443009680603e-07,0.0
1942,8.829556463751942e-07,0.0
1943,8.216155720219831e-07,1.4516175816936538e-08
1944,1.0892700856857118e-06,0.0
1945,9.45470731039677e-07,4.357008087652048e-09
1946,1.0649645219018566e-06,0.0
1947,1.1193698128408869e-06,2.3841741914054637e-09
