year,ses_DET airs_NOUN,ses_DET serres_NOUN
1800,3.018397904952508e-07,4.6848050416770093e-07
1801,4.143257559263702e-07,3.643209371961831e-07
1802,2.4616241489638924e-07,3.3343818017783633e-07
1803,4.21273259831878e-07,4.856344588688444e-07
1804,7.464990119387949e-07,4.993138986719714e-07
1805,3.098736751638853e-07,2.1605870492713564e-07
1806,5.503988118604752e-07,3.313919592073944e-07
1807,2.4768510797912313e-07,1.9074599322266295e-07
1808,3.512414803452657e-07,2.4700205392136354e-07
1809,2.868968715930009e-07,4.179206598564633e-07
1810,4.422839516848853e-07,4.212228077449254e-07
1811,5.114436874009698e-07,4.1116058469015115e-07
1812,6.134579066952028e-07,2.107094458914105e-07
1813,7.620715223310981e-07,3.2495880919469755e-07
1814,2.832009533548785e-07,1.3530711839848664e-07
1815,1.7531953111493692e-07,2.0229176178609976e-07
1816,3.569109896517375e-07,4.078982840383105e-07
1817,3.3939841515007174e-07,4.405951870012359e-07
1818,3.6598014663269396e-07,3.4452204022983324e-07
1819,3.0949639295840825e-07,2.753379249043064e-07
1820,3.548077778248171e-07,2.5275606052588273e-07
1821,2.504818059634317e-07,2.8006627417198615e-07
1822,4.661911532366503e-07,2.817198065940829e-07
1823,5.297120146963152e-07,2.4904371154210736e-07
1824,2.5937027459121964e-07,2.467386082116718e-07
1825,3.2492083512636327e-07,2.747298140093335e-07
1826,2.1051082210732375e-07,2.6335874281357974e-07
1827,2.2213627737244224e-07,2.433360180020827e-07
1828,2.5315550056248526e-07,2.705828923699194e-07
1829,2.9491725683783443e-07,2.6662577212732685e-07
1830,4.039055490068222e-07,2.70314039596542e-07
1831,2.8064169654840043e-07,3.5080213933724735e-07
1832,2.273034804822771e-07,3.08483314892527e-07
1833,2.8495726667188137e-07,4.4365296503201535e-07
1834,2.174945723520949e-07,3.3230929030736434e-07
1835,2.8134687113379186e-07,3.4638942736364697e-07
1836,3.461186359743351e-07,3.7232956362487357e-07
1837,2.1847777098571441e-07,2.4143881560689806e-07
1838,2.3165634388533363e-07,3.629493097179193e-07
1839,2.929428202236295e-07,2.880487708356583e-07
1840,2.3695241679888568e-07,3.375935108129724e-07
1841,3.017657759230019e-07,3.8908525246128534e-07
1842,3.474881253850981e-07,3.474881249410089e-07
1843,3.904468250937043e-07,3.0243385507056075e-07
1844,3.534633599144854e-07,2.8869832580102894e-07
1845,2.812434836130251e-07,2.9407802415448714e-07
1846,2.8452876144058337e-07,3.454155752535826e-07
1847,1.9361672976003774e-07,2.6264999064551375e-07
1848,2.856053598065955e-07,2.7434204641352267e-07
1849,3.0584863974780774e-07,4.089154437281195e-07
1850,2.0910107512150944e-07,3.048259102911288e-07
1851,2.1154158513780885e-07,3.108629538228769e-07
1852,2.975319315368097e-07,3.489652380395114e-07
1853,3.3084501804836464e-07,4.7536576452955615e-07
1854,3.205725054300501e-07,2.5822452354162806e-07
1855,4.24554979616687e-07,3.974895932401523e-07
1856,3.6861587382475136e-07,3.0441874032671734e-07
1857,3.6220798094177553e-07,3.470753013878891e-07
1858,3.9002598661852517e-07,4.1400500355726066e-07
1859,3.890420323671151e-07,2.9789212807607157e-07
1860,3.972995692436143e-07,2.9980554927533376e-07
1861,3.2634468283276874e-07,3.933113665866017e-07
1862,3.117410560804501e-07,3.492403239935271e-07
1863,3.6310894024893514e-07,2.791993152229111e-07
1864,3.605635559011944e-07,3.083010184923296e-07
1865,3.652511124663249e-07,3.261843151136645e-07
1866,3.14805156165221e-07,2.802592960482464e-07
1867,3.799751358002368e-07,3.8385737788360075e-07
1868,3.5171902101893693e-07,2.9738041784632685e-07
1869,3.731008497709354e-07,3.14498642683958e-07
1870,3.635387013645186e-07,3.228269478405821e-07
1871,3.2500803737178785e-07,2.8995813750043453e-07
1872,3.2837051566758646e-07,2.6668767438842167e-07
1873,4.477531332369722e-07,2.442289783743945e-07
1874,3.172517573091227e-07,2.5033612266467387e-07
1875,3.341371748177835e-07,3.1010678469556296e-07
1876,3.766667333593432e-07,2.8355809633673346e-07
1877,3.3892790440859244e-07,2.906863392215797e-07
1878,4.1971667208429153e-07,2.4881045024294224e-07
1879,3.8366562193914433e-07,2.5414793625166965e-07
1880,3.529815550962212e-07,2.9137021595460055e-07
1881,4.0440544069042517e-07,2.5658828406438516e-07
1882,3.4009017646496886e-07,2.6621539928051163e-07
1883,3.444039791133946e-07,3.222862856588904e-07
1884,4.152467312223962e-07,2.7463058405174934e-07
1885,3.7706968569750643e-07,2.546025986149836e-07
1886,3.9753338043624353e-07,3.007314148817386e-07
1887,3.6627267441247113e-07,2.6964458599287866e-07
1888,3.734621962792062e-07,2.5362459155076067e-07
1889,3.35811327190072e-07,2.6438875949663654e-07
1890,3.480379096032493e-07,2.503775586859547e-07
1891,3.2189810639238203e-07,2.6453012136329335e-07
1892,2.9336638940336e-07,2.4823308897303775e-07
1893,2.6542775843907407e-07,2.438733024412443e-07
1894,2.671852543656428e-07,2.7852805062345e-07
1895,3.3403309451784935e-07,2.3051293762677005e-07
1896,2.8836471965831834e-07,2.2172828284539037e-07
1897,2.3656457681653364e-07,2.9366636844496696e-07
1898,2.6028431676650143e-07,2.2293918200411156e-07
1899,2.758261761215408e-07,2.1612832235007318e-07
1900,2.797977547430719e-07,1.848014872241066e-07
1901,2.425512741766056e-07,2.0231234298950795e-07
1902,2.587719691860002e-07,2.12615291428353e-07
1903,2.5381036650173883e-07,3.375137778149906e-07
1904,2.98829173850379e-07,2.397082869975975e-07
1905,2.332663022741599e-07,2.2449301151361567e-07
1906,2.9270411161519405e-07,2.2737295013453007e-07
1907,3.162848578597277e-07,2.5199931152908306e-07
1908,4.066630143739758e-07,1.861416405457561e-07
1909,3.762672777796183e-07,2.0683698281898089e-07
1910,3.270620183570827e-07,2.613289726838275e-07
1911,2.803837286791122e-07,2.670827770057116e-07
1912,2.906857154982845e-07,2.3494489820308218e-07
1913,3.399216428334739e-07,2.5136170211936815e-07
1914,3.127379333278668e-07,2.451008092596574e-07
1915,2.155879403886729e-07,3.0629981351282254e-07
1916,1.8678684909900767e-07,2.615016028162387e-07
1917,1.9849227905766043e-07,2.43454631787543e-07
1918,2.802675931334875e-07,2.4695708589206333e-07
1919,3.020174208501203e-07,2.1730522803409258e-07
1920,3.150048288880214e-07,1.9006301954505034e-07
1921,3.5819095334233e-07,1.6584316814283184e-07
1922,4.124265977623054e-07,2.5822774318839947e-07
1923,3.290944050604594e-07,2.2399651244953134e-07
1924,3.3518223752082577e-07,2.3204924559649953e-07
1925,3.4534278370301763e-07,1.770706687942436e-07
1926,3.1655033794208975e-07,1.7833821142065887e-07
1927,4.5934807424430346e-07,2.2521434162037224e-07
1928,3.462090392147843e-07,2.0909655518153158e-07
1929,4.3558989482050947e-07,1.6042184824982542e-07
1930,3.256117029337702e-07,1.680576531271072e-07
1931,3.0110142468231516e-07,1.6765874111257517e-07
1932,3.1015487511609763e-07,1.9617570501395676e-07
1933,3.131490657892755e-07,1.3764794459802943e-07
1934,3.6783452550537277e-07,1.7732739188147661e-07
1935,3.0638806425287157e-07,1.7713061062352153e-07
1936,4.510393734058482e-07,1.5398387898102328e-07
1937,2.8455927836290584e-07,1.4353874178141268e-07
1938,2.917173134164841e-07,2.048503826568293e-07
1939,2.309401638811437e-07,2.294107579459137e-07
1940,2.535782828161359e-07,2.3582780839248585e-07
1941,3.128592642731576e-07,1.5052663115966425e-07
1942,3.0948960283438964e-07,1.69915864489667e-07
1943,3.01936453617202e-07,1.9741999346400974e-07
1944,3.148922420592726e-07,2.0564391434163554e-07
1945,3.2895411239408645e-07,1.5903079875201342e-07
1946,4.051041377906017e-07,1.475637114722872e-07
1947,3.540498747511833e-07,1.6808427960590677e-07
1948,4.163933002843123e-07,2.1091462087952095e-07
1949,3.1218087470641365e-07,1.2467600796206568e-07
1950,2.690746514488751e-07,1.5953041709870774e-07
1951,2.825271465667356e-07,1.5032575917395263e-07
1952,2.0878712359007068e-07,1.096659610899664e-07
1953,3.2429219665175424e-07,1.088156551531938e-07
1954,3.1369841035910895e-07,1.6808761427178354e-07
1955,2.778139780446054e-07,1.3515275121278592e-07
1956,3.4622931632810605e-07,1.639574602751992e-07
1957,2.783037000853028e-07,1.8288527603438354e-07
1958,3.217902624363944e-07,1.1746585554250899e-07
1959,2.8212721403519936e-07,1.1858644199946866e-07
1960,3.335841540774709e-07,1.5364250316451944e-07
1961,2.4596482628425065e-07,1.6884027198571516e-07
1962,3.0060874589565856e-07,1.4840177797736942e-07
1963,2.7933350033038096e-07,1.564784868346436e-07
1964,2.895968895799683e-07,1.4540683657138231e-07
1965,2.746965828137604e-07,1.5157559829503953e-07
1966,2.980022166809704e-07,1.473393922424293e-07
1967,3.2096484048338425e-07,1.5875679948429422e-07
1968,3.876091945187454e-07,1.428270203773785e-07
1969,2.529759104419327e-07,1.3988613373205894e-07
1970,2.441923028229098e-07,1.301439247480829e-07
1971,3.088176994126002e-07,1.1458626447691245e-07
1972,4.022035220430098e-07,1.4210506832368353e-07
1973,2.558126541707395e-07,1.5822894283701316e-07
1974,2.0533337030670396e-07,1.3670139376031898e-07
1975,1.7591359346980084e-07,1.2336796739731426e-07
1976,2.2968377733079137e-07,1.5940740438757928e-07
