year,premières_ADJ herbes_NOUN
1800,0.0
1801,2.8574191901498125e-08
1802,1.1189200677108602e-08
1803,9.751696339321825e-09
1804,6.673997887673977e-08
1805,1.421438877713399e-08
1806,7.492339904047185e-08
1807,2.8469551160981155e-09
1808,5.6651849433819734e-08
1809,2.0331274441787173e-08
1810,2.106114038724627e-08
1811,3.5099073869560016e-08
1812,1.0668832928217853e-08
1813,5.751483289628823e-09
1814,1.8880061958270744e-08
1815,0.0
1816,5.7940098940889584e-08
1817,9.341240669868967e-09
1818,1.1921177378582115e-09
1819,7.24573512300708e-09
1820,5.933240565525466e-09
1821,9.861488514673056e-09
1822,8.02049271442229e-09
1823,2.4706716672540097e-08
1824,1.3473780313688621e-08
1825,2.1133063299316746e-08
1826,8.631824499616414e-08
1827,4.7008093417844066e-08
1828,3.66892045633449e-08
1829,6.001223074036943e-09
1830,3.652892388572582e-08
1831,1.091384405071949e-08
1832,6.764984572527055e-09
1833,2.20088942626262e-08
1834,3.547121707470069e-08
1835,1.8907719834260206e-08
1836,1.5457725766054864e-08
1837,2.922314124020886e-08
1838,3.787297142565649e-09
1839,1.5381244722334486e-08
1840,2.4204817705708592e-08
1841,1.7977535904378783e-08
1842,1.8783142152756227e-08
1843,1.3585895075607368e-08
1844,2.25031016043431e-08
1845,2.0646844234306627e-08
1846,8.723206690319785e-08
1847,4.853901280910122e-09
1848,1.367687652020777e-08
1849,1.0893239199560867e-08
1850,8.146795238417326e-09
1851,1.4188765717904062e-08
1852,2.408901877970493e-08
1853,1.1346670270029335e-08
1854,5.195664343204953e-09
1855,6.8990182455763716e-09
1856,1.501384794266869e-08
1857,2.6848299583548396e-08
1858,1.0766087576996597e-08
1859,1.3748867822016564e-08
1860,1.327383358784573e-08
1861,6.6023493339173456e-09
1862,9.939570055905733e-09
1863,1.5982786649715308e-08
1864,1.1986819536957682e-08
1865,6.589582213223366e-09
1866,8.271541673821048e-09
1867,1.649955905236311e-08
1868,9.87974857480367e-09
1869,2.0999133099053324e-08
1870,9.17447806614291e-09
1871,8.496941816815706e-09
1872,6.047339518033823e-09
1873,6.584604861359367e-09
