year,aurais_VERB eu_VERB,aurais_VERB su_VERB
1800,1.0690159513160324e-07,1.8864987794131594e-08
1801,5.714838380299625e-08,7.143547975374531e-09
1802,2.9091921760482364e-08,6.713520406265161e-09
1803,4.290746247193056e-08,1.950339223455444e-09
1804,7.662737999680758e-08,4.943701892301533e-09
1805,4.5486043376286034e-08,1.1371510844071508e-08
1806,8.645007198992971e-08,2.0171682990621775e-08
1807,8.540865792383556e-09,5.693910232196231e-09
1808,4.985362878073829e-08,2.2660739951163578e-09
1809,1.581321384946932e-08,1.3554183553310395e-08
1810,8.190443878675069e-08,7.020380277111826e-09
1811,4.512738271955641e-08,1.504245972228091e-08
1812,1.1735716043403954e-07,8.801787032552966e-08
1813,5.7514832008109806e-08,2.5881675469463516e-08
1814,1.0069366851439554e-07,9.440030979135372e-09
1815,1.8880564667256294e-08,0.0
1816,5.3304887615013286e-08,0.0
1817,6.694555310104988e-08,3.113746815941454e-09
1818,5.364529798157491e-08,8.344824387052086e-09
1819,5.693077653745604e-08,1.449147024601416e-08
1820,9.137190204455692e-08,1.3053129244156025e-08
1821,1.7060374091215635e-07,2.465372084259343e-08
1822,8.521773509073682e-08,2.606660132187244e-08
1823,8.400284201570685e-08,1.087095569118901e-08
1824,6.736890156844311e-08,1.8526447931321854e-08
1825,5.987701001686219e-08,1.2327619813845558e-08
1826,8.543744911548856e-08,1.0569580766173203e-08
1827,9.032927295038462e-08,1.7512819638909605e-08
1828,7.521286704559316e-08,1.559291185060374e-08
1829,7.372931065674493e-08,6.858540757548326e-08
1830,1.231546633562175e-07,5.0096812032052185e-08
1831,7.795603096383275e-08,3.741889287312006e-08
1832,6.629684889958298e-08,4.329590197471589e-08
1833,1.2973663388038403e-07,3.938433579264711e-08
1834,1.0454674281845655e-07,1.3068342852307069e-08
1835,1.013453783116347e-07,4.5378527602224494e-08
1836,8.199315004731034e-08,2.1506400216253496e-08
1837,8.697363540477454e-08,2.0873672568200163e-08
1838,9.341999884782126e-08,8.2058102535143e-09
1839,7.341049013120937e-08,9.088918062616358e-09
1840,9.108654808187566e-08,1.0191501864653674e-08
1841,8.603534951134861e-08,1.6693427085101575e-08
1842,8.720744659740376e-08,8.049918065466954e-09
1843,1.0396163219184018e-07,2.1855571574747046e-08
1844,6.037417676907353e-08,1.3172547497219966e-08
1845,8.370341930685754e-08,1.674068350610014e-08
1846,6.381406336686268e-08,1.3465353276842507e-08
1847,5.069630049092666e-08,1.6179670936367074e-08
1848,5.068489628001771e-08,1.609044275596716e-08
1849,7.792856138166826e-08,1.4245005175439474e-08
1850,5.4311968256115506e-08,1.8330290174617403e-08
1851,9.41618054639548e-08,1.870337307252612e-08
1852,6.510545347282459e-08,1.9531636752390114e-08
1853,6.210809289086683e-08,7.763511611358354e-09
1854,6.130883889454708e-08,1.6626126253527218e-08
1855,6.209116065747367e-08,2.9188154115900034e-08
1856,6.316170697573398e-08,2.3815070804289462e-08
1857,6.492407322866711e-08,1.6597130780837688e-08
1858,8.417122643322728e-08,1.2723557318849998e-08
1859,6.517981887554924e-08,3.258990943777462e-08
1860,9.383226995396399e-08,2.654766717569146e-08
1861,1.1554111267741973e-07,2.5937801240161207e-08
1862,5.602302977081308e-08,2.801151488540654e-08
1863,1.0938219929812476e-07,2.8968800691586694e-08
1864,9.781245324802512e-08,1.6781548595190543e-08
1865,1.1390563514623864e-07,2.6829013677343028e-08
1866,7.055138695477581e-08,1.897589108068587e-08
1867,7.521857980918867e-08,1.358787216076962e-08
1868,7.014621417056333e-08,1.1855697756857353e-08
1869,1.1720445769469734e-07,2.8812763730456936e-08
1870,7.626285025708057e-08,1.6055336615750093e-08
1871,8.072094459521395e-08,2.442870794538976e-08
1872,8.466275147611668e-08,3.1446163006876304e-08
1873,8.14096594581315e-08,2.7535620006347017e-08
1874,1.0694550667267322e-07,3.943242177228967e-08
1875,1.0470394329331612e-07,2.4030413214859436e-08
1876,8.827181829929032e-08,1.3301232115736639e-08
1877,1.0390490956524445e-07,2.6594708657512456e-08
1878,8.515115013096874e-08,1.1474268646338714e-08
1879,9.774920783911512e-08,2.3826368433788048e-08
1880,9.11334154807264e-08,1.2193908105473383e-08
1881,9.203709794292081e-08,1.5339516323820135e-08
1882,8.984770261122321e-08,1.3310770263785798e-08
1883,9.226234709558412e-08,2.5277355319985872e-08
1884,9.836528391815591e-08,2.5086448474098688e-08
1885,7.734762874633816e-08,1.4824961702686323e-08
1886,6.582533274013258e-08,2.5168509054651622e-08
1887,7.377684596576728e-08,1.9586773092328258e-08
1888,8.179392807505792e-08,7.60873763994141e-09
1889,7.768769449967294e-08,1.0650732740202784e-08
1890,8.586246025288347e-08,3.2771932723107966e-08
1891,7.266611135037238e-08,8.92390783491237e-09
1892,7.334159590755007e-08,1.1283322720601063e-08
1893,9.237624709612646e-08,1.7243566574620672e-08
1894,7.939939195011902e-08,2.2685540557176864e-08
1895,9.990900196044095e-08,1.8055843042930064e-08
1896,7.84304887702092e-08,1.592197840238896e-08
1897,8.565268672100501e-08,2.155884004650943e-08
1898,6.111023509447477e-08,2.8857609635224435e-08
1899,7.572782578790793e-08,1.9899282222013426e-08
1900,9.188163829776386e-08,2.0245106924221545e-08
1901,7.712459648701042e-08,2.2913829056392387e-08
1902,7.365425602756659e-08,1.7677022512430085e-08
1903,6.75027536090056e-08,1.296052865029651e-08
1904,8.330668777034589e-08,1.7198800605910947e-08
1905,6.863809431933987e-08,1.857873321853276e-08
1906,5.2985100751357095e-08,1.9033482345776065e-08
1907,4.782844342798853e-08,6.1714118260169926e-09
1908,7.072399910157401e-08,1.620758460774141e-08
1909,7.646367095048845e-08,1.7603147384193107e-08
1910,1.2451870645691088e-07,1.7635697346918278e-08
1911,8.086968961151797e-08,1.1172785363555704e-08
1912,9.012298818333875e-08,1.927485904218429e-08
1913,6.999946577934679e-08,2.4924052155483878e-08
1914,7.768223042603495e-08,1.7411533548283842e-08
1915,6.597226587246041e-08,8.246533234057551e-09
1916,5.273981784625903e-08,1.538244731591476e-08
