year,six_DET eaux_NOUN,six_DET seaux_NOUN
1800,3.144164484325529e-09,9.432493897065797e-09
1801,0.0,9.524730337773235e-09
1802,0.0,4.475680270843441e-09
1803,0.0,1.5602713787643552e-08
1804,0.0,1.730295728918918e-08
1805,0.0,1.1371510844071508e-08
1806,5.76333825108577e-09,1.152667650217154e-08
1807,2.8469550272802735e-08,1.1387820464392462e-08
1808,4.5321479902327155e-09,9.064295980465431e-09
1809,2.259030518203531e-09,2.25903047379461e-08
1810,1.1700633351097167e-08,1.4040760554223652e-08
1811,2.5070767684098882e-09,0.0
1812,0.0,1.0668832928217853e-08
1813,0.0,1.7254450312975678e-08
1814,0.0,0.0
1815,0.0,1.6183340889597275e-08
1816,0.0,2.0858434979231788e-08
1817,7.784366928831332e-09,4.670620334934483e-09
1818,0.0,5.960588467246453e-09
1819,0.0,1.035105001712111e-09
1820,9.493184904840746e-09,3.5599443393152796e-09
1821,0.0,7.88919063410276e-09
1822,0.0,1.1028177482330648e-08
1823,0.0,2.174191138237802e-08
1824,1.6842225392110777e-09,1.9368560089105813e-08
1825,1.7610886082763955e-09,3.522177216552791e-09
1826,5.284790383086602e-09,7.0463874735082754e-09
1827,1.8434546111834038e-09,1.7512819638909605e-08
1828,0.0,1.559291185060374e-08
1829,0.0,1.3717081692732336e-08
1830,1.1480518979922749e-08,1.2524203008013046e-08
1831,3.1182412207897414e-09,2.494592976631793e-08
1832,1.2176972319366541e-08,2.705993873419743e-09
1833,4.6334514003376626e-09,3.4750886612755494e-09
1834,0.0,5.600718555598405e-09
1835,4.5378527602224494e-09,1.5126175867408165e-09
1836,0.0,7.392825018825988e-09
1837,1.3915781860163179e-09,9.74104708006962e-09
1838,0.0,5.049729523420865e-09
1839,2.7965900706306e-09,9.788065469251706e-09
1840,4.458782232319436e-09,5.095750932326837e-09
1841,6.420548537278137e-09,1.926164472365599e-08
1842,0.0,9.391571076378114e-09
1843,0.0,1.2995204023980023e-08
1844,0.0,2.7442805805577564e-09
1845,3.9061593959388574e-09,7.254296274794569e-09
1846,3.5127007969038004e-09,8.781752214304106e-09
1847,1.0786447290911383e-09,5.9325460100012606e-09
1848,3.218088684420195e-09,6.43617736884039e-09
1849,6.703531951757213e-09,1.508294644736452e-08
1850,2.7155984128057753e-09,2.7155984128057753e-09
1851,6.449438760824933e-10,7.739326512989919e-09
1852,1.9531636308300904e-09,1.3021090872200602e-08
1853,4.777545470346922e-09,1.3138249599364826e-08
1854,3.63696517347023e-09,3.117398783558656e-09
1855,3.714855978387277e-09,2.1227748447927297e-09
1856,4.1417513307884235e-09,3.1063134287023786e-09
1857,1.171562147295191e-08,2.4407544874094356e-09
1858,2.4468380654951716e-09,1.1255455234504552e-08
1859,4.582956236731661e-09,1.018434669930457e-08
1860,5.950338888283113e-09,6.865775947773045e-09
1861,2.8295783494058924e-09,1.3676294763342867e-08
1862,1.490935552794781e-08,1.8071945051545413e-09
1863,9.989241656072068e-10,1.9978483312144135e-09
1864,1.438418395505181e-08,8.63051052846231e-09
1865,6.118897832863013e-09,5.177528628053096e-09
1866,1.9462451650298362e-09,1.9462451650298362e-09
1867,2.91168689159349e-09,2.91168689159349e-09
1868,3.4579118457500613e-09,2.9639244392143382e-09
1869,6.836927024522765e-09,4.395167341186834e-09
1870,5.160643912205387e-09,4.013834153937523e-09
1871,1.3807530452325523e-08,6.37270636261178e-09
1872,1.2094678591978436e-09,1.5723081503438152e-08
1873,1.5563611288627044e-08,2.9930022904522957e-09
1874,1.1949218059470468e-08,7.169530746864439e-09
1875,3.4329162346136144e-08,4.005069165202713e-09
1876,3.023007311142578e-08,2.418405919968336e-09
1877,1.7935966489801558e-08,6.184815992682502e-10
1878,9.662542099775351e-09,2.4156354694326865e-09
1879,2.1993571408529533e-08,4.27652757650776e-09
1880,7.059630879879819e-09,3.2089231272180996e-09
1881,2.5101027978369217e-08,4.183504653809678e-09
1882,3.3276926103553706e-08,7.986462158271479e-09
1883,3.4756364897248204e-08,8.21514056781325e-09
1884,1.3203393933736152e-08,3.9610181801208455e-09
1885,3.158361505661844e-08,3.2228177904158883e-09
1886,3.355801270199521e-08,1.2906927748801422e-09
1887,2.350412819929204e-08,3.264462256069578e-09
1888,8.242799331981132e-09,1.268122939990235e-09
1889,2.568706025662948e-08,1.2530273485467092e-09
1890,1.507508856635198e-08,1.9663159989136147e-09
1891,1.5935549768641977e-08,5.736798147637501e-09
1892,9.402768785804483e-09,3.761107425503951e-09
1893,3.695049988206023e-09,6.158416554491453e-10
1894,6.9316934414587195e-09,2.520615716150587e-09
1895,1.023164486468886e-08,3.611168697403855e-09
1896,4.717623069971921e-09,2.358811590497112e-09
1897,1.0488084178916779e-08,5.826713556089658e-10
1898,1.5277557885440274e-08,6.224190496340043e-09
1899,4.9748205555033564e-09,4.4220627160029835e-09
1900,7.26747462209687e-09,2.595526460424935e-09
1901,1.2854099562531474e-08,0.0
1902,4.4192554615740676e-09,7.856454153909453e-09
1903,3.7801541896698154e-09,6.480264325148255e-09
1904,8.599400302955473e-09,3.7622376325430196e-09
1905,2.3223416079076742e-08,2.0643036169332163e-09
1906,7.716276506641861e-09,6.173021205313489e-09
1907,8.228549286393161e-09,2.057137349353866e-09
1908,9.331639239107403e-09,1.964555629285769e-09
1909,7.70137675853988e-09,1.6502950117569526e-09
1910,6.947395769785203e-09,4.275320542035388e-09
1911,1.4365010514438836e-08,1.0640748282497725e-09
1912,6.251305473270463e-09,0.0
1913,1.113627856597077e-08,1.590896969716482e-09
1914,5.357394972094198e-09,6.696743715117748e-10
1915,1.1780761921542648e-09,0.0
1916,0.0,0.0
1917,6.579854550103903e-09,7.676496771580332e-09
1918,9.189101035644853e-09,1.1486376294556067e-09
1919,5.524709134618888e-09,9.207848372660976e-10
1920,4.543339038320937e-09,1.514446346106979e-09
1921,7.572747429129834e-09,3.7863738810983705e-09
1922,2.21338064543275e-09,2.2133805899215986e-09
1923,5.307974060286824e-09,8.492758496458919e-09
1924,1.9337436318878076e-08,3.867487219366694e-09
