year,ses_DET iles_NOUN,ses_DET cils_NOUN
1800,2.2009150946189493e-08,9.432493897065797e-09
1801,1.6668277424969347e-08,2.6193008650921e-08
1802,1.7902721083373763e-08,8.951360541686881e-09
1803,5.070882092006457e-08,2.145373123596528e-08
1804,1.7302956623055366e-08,2.4718509461507665e-09
1805,1.1371510844071508e-08,2.2743021466098412e-08
1806,0.0,4.3225035994964855e-08
1807,2.562259648897225e-08,2.562259560079383e-08
1808,1.3596443970698147e-08,2.2660739951163578e-09
1809,6.7770915546105925e-09,2.0331274441787173e-08
1810,1.6380887313260928e-08,2.3401267590372754e-09
1811,2.2563691359778204e-08,1.0028307073639553e-08
1812,1.8670457180292033e-08,2.1337665856435706e-08
1813,1.1502966579257645e-08,4.601186631703058e-08
1814,1.8880061958270744e-08,3.1466771410748606e-09
1815,5.394447111228828e-09,1.6183340889597275e-08
1816,4.6352077731626196e-09,3.476405652236281e-08
1817,9.341240447824362e-09,1.8682481339737933e-08
1818,1.192117760062672e-08,8.344824387052086e-09
1819,2.0702100700376036e-08,1.7596784473994376e-08
1820,9.493184904840746e-09,2.610625848831205e-08
1821,1.676452932031225e-08,2.859831660373402e-08
1822,2.2056354964661296e-08,1.1028177482330648e-08
1823,2.2730180404550993e-08,3.360113609574e-08
1824,1.6842225392110777e-08,3.9579228783281906e-08
1825,1.6730341556581152e-08,3.522177394188475e-08
1826,2.025836387531399e-08,1.5854372037438225e-08
1827,1.0139000472531023e-08,1.566936447261469e-08
1828,1.742737271159811e-08,2.476521265837306e-08
1829,2.0575622650120806e-08,2.4004892296147773e-08
1830,3.5485241411947754e-08,7.097048637660919e-08
1831,1.2472964883158966e-08,5.6128342862393765e-08
1832,2.8412935226818092e-08,1.393586899212096e-07
1833,1.2162810070215357e-07,6.486831694019202e-08
1834,4.1071934298031465e-08,6.067445101898272e-08
1835,4.0084366048631637e-08,7.184933537018878e-08
1836,3.6964125316174545e-08,1.424799052074377e-07
1837,2.9223142350431885e-08,7.166627913335333e-08
1838,3.661053993297969e-08,9.531364497661343e-08
1839,3.07624906659143e-08,7.48087818358556e-08
1840,5.541628994576442e-08,7.325141648806266e-08
1841,2.760835826620678e-08,1.3675768428811352e-07
1842,2.951636535186708e-08,1.126988546928942e-07
1843,3.5441467149954775e-08,1.0573370717859021e-07
1844,4.1713065890292e-08,8.781698346282951e-08
1845,2.9017185987356697e-08,8.426144337825292e-08
1846,3.3956108591581824e-08,7.435216797802013e-08
1847,2.8584084432736745e-08,7.874106700000993e-08
1848,3.218088684420195e-08,1.1746023487191337e-07
1849,4.022119171054328e-08,9.971503800443315e-08
1850,2.5119284430275002e-08,9.97982398942554e-08
1851,2.8377531213763518e-08,1.0061124378069053e-07
1852,4.687592758401138e-08,7.617338115828431e-08
1853,3.1651238074914545e-08,1.283965325171721e-07
1854,4.000661590897181e-08,8.8845865442444e-08
1855,2.2819829581521844e-08,1.2259025083949382e-07
1856,3.2616293277332176e-08,1.4030182926560997e-07
1857,2.2943092981009272e-08,1.7378172767479327e-07
1858,2.3489644895846595e-08,1.3506545903929634e-07
1859,2.8006954311265986e-08,1.9655788996431056e-07
1860,1.876645416842848e-08,1.652363348370045e-07
1861,1.8863854756023812e-08,9.950683388382231e-08
1862,3.252950192544901e-08,1.3553959421486184e-07
1863,2.6970953470595305e-08,1.2936068216617969e-07
1864,2.6850476286810476e-08,9.349719576334792e-08
1865,1.7886008230050265e-08,1.0966947483481704e-07
1866,9.244664644914025e-09,1.3672372678463773e-07
1867,2.4749338578544666e-08,1.1452635284570079e-07
1868,1.877152078222366e-08,1.131231126549892e-07
1869,1.7092317228240006e-08,1.528541515583015e-07
1870,2.69500293192948e-08,1.3016291111611622e-07
1871,2.6552943621638292e-08,1.1046024184224734e-07
1872,1.5118348350995348e-08,1.1913258601836674e-07
1873,2.933142162486746e-08,1.5803052411111906e-07
1874,2.0911131548562167e-08,1.1232265473282155e-07
1875,2.5746871634702018e-08,1.1786346243436441e-07
1876,3.023007355551499e-08,1.9770468329127766e-07
1877,2.10283740420536e-08,2.2512729547230492e-07
1878,3.442280588350499e-08,1.570162999620095e-07
1879,1.0996785482220162e-08,1.7900323090458414e-07
1880,2.0537108236240442e-08,2.0922179166937838e-07
1881,2.9284530911333206e-08,1.6873468577927042e-07
1882,1.7304001120876933e-08,2.8950925123893967e-07
1883,1.4534479342298567e-08,1.8199695484000245e-07
1884,3.9610180913030035e-08,2.0069159134550318e-07
1885,3.6095559041715575e-08,1.9723645383606936e-07
1886,3.291266648108859e-08,1.6714471851031476e-07
1887,1.1752064210668323e-08,2.2394210752452182e-07
1888,3.4239319379736344e-08,2.1304464770111053e-07
1889,3.069916942877171e-08,1.716647486382783e-07
1890,3.86708803867819e-08,1.6123790880229194e-07
1891,2.1034926134255727e-08,2.2564738255681505e-07
1892,2.2566644553023707e-08,1.8178686511660658e-07
1893,2.5865349195797194e-08,1.465703154401865e-07
1894,1.9534771134033235e-08,2.2181418390943008e-07
1895,2.4074457094513946e-08,2.4917063434770625e-07
1896,3.656157909759372e-08,3.036970004366424e-07
1897,2.5637540090883704e-08,2.091790118896597e-07
1898,2.3199255072547942e-08,2.274658665868401e-07
1899,2.1004797901014172e-08,2.3713312025108735e-07
1900,1.9726001831976703e-08,2.4968965606220195e-07
1901,2.6825947019304408e-08,2.8446680122584667e-07
1902,2.5533476499806085e-08,1.9935752604283152e-07
1903,2.6461079549733313e-08,2.343695575390825e-07
1904,3.7622376325430196e-08,2.262717160306238e-07
1905,4.386645163778624e-08,1.3366366502509663e-07
1906,2.674975996264095e-08,1.929069197714739e-07
1907,2.5714217366523684e-08,2.05199443215065e-07
1908,2.504808449543816e-08,1.9743784296366584e-07
1909,1.650295078370334e-08,2.2719061831821818e-07
1910,1.1757131934686527e-08,2.5545041193453244e-07
1911,1.702519769608557e-08,1.8887327968286627e-07
1912,1.614920552839294e-08,1.6722242257571907e-07
1913,2.1742257327872494e-08,1.861349314680183e-07
1914,2.611730059998152e-08,1.660792507962583e-07
1915,1.7671142660269368e-08,1.7671142682473828e-07
1916,1.3184954017475548e-08,1.73601899078335e-07
1917,1.4256351654751143e-08,2.3358483369761984e-07
1918,1.378365155346728e-08,1.952683952310963e-07
1919,2.394040543585163e-08,1.7771147220457806e-07
1920,2.953170508135372e-08,2.370108482807609e-07
1921,4.240738565863822e-08,2.3626972023294002e-07
1922,4.795658092859867e-08,3.5118973862324765e-07
1923,2.1231896241147297e-08,3.556342695887338e-07
1924,4.383152218956354e-08,2.913507186619313e-07
1925,4.839198441963788e-08,3.0135006312548285e-07
1926,3.3438415592002e-08,2.909142065021797e-07
1927,3.12178303207844e-08,3.222125908308726e-07
1928,2.170947821511504e-08,3.085031021754503e-07
1929,1.7824650200282122e-08,3.3198410598345163e-07
1930,2.10072067519107e-08,2.2057567328204186e-07
1931,2.0529641986399838e-08,1.7792356121759667e-07
1932,2.0823119339929974e-08,2.0055951654995852e-07
1933,1.7205993296798283e-08,2.3170737151190224e-07
1934,1.677421224144382e-08,1.785255498987226e-07
1935,1.795242621227544e-08,1.8431157045029067e-07
1936,1.6974600391961303e-08,2.1581991305197334e-07
1937,2.5182235741105785e-08,2.618952432698052e-07
1938,1.9447822019458272e-08,2.813451516203713e-07
1939,1.6823455517567254e-08,2.3552837546958472e-07
1940,1.7750480196809804e-08,1.3693227707278766e-07
1941,3.836953510472085e-08,2.862957479976558e-07
1942,3.034211704111556e-08,2.5790799895730743e-07
1943,1.4516176261025748e-08,2.4387175479034795e-07
1944,1.2852744646352221e-08,2.9882631835675966e-07
