year,devrions_VERB avoir_VERB,devrions_VERB savoir_VERB
1800,4.4018303668735825e-08,0.0
1801,7.619784270218588e-08,2.3811825400343878e-08
1802,3.1329761895904085e-08,0.0
1803,5.460949736857401e-08,1.755305234496518e-08
1804,4.69651695311768e-08,0.0
1805,6.538618890772341e-08,0.0
1806,4.610670600868616e-08,4.3225035994964855e-08
1807,3.701041606518629e-08,0.0
1808,3.852325747288887e-08,0.0
1809,1.581321384946932e-08,2.0331274441787173e-08
1810,1.1700633351097167e-08,0.0
1811,3.5099073869560016e-08,1.0028307073639553e-08
1812,2.400487453257938e-08,0.0
1813,4.026038169513413e-08,0.0
1814,4.72001566720337e-08,0.0
1815,1.3486118000116676e-08,0.0
1816,1.622322720606917e-08,9.270415546325239e-09
1817,3.580808893843823e-08,6.227493631882908e-09
1818,2.8610825708597076e-08,0.0
1819,3.1053151161586356e-08,5.175524897538253e-09
1820,4.9839222526770754e-08,0.0
1821,3.8459806006585495e-08,3.94459531705138e-09
1822,3.408709403629473e-08,7.017931125119503e-09
1823,4.348382276475604e-08,0.0
1824,3.8737120178211626e-08,5.052667617633233e-09
1825,3.9624492131906663e-08,1.1447076175841175e-08
1826,3.787433300317389e-08,0.0
1827,4.147772969531616e-08,2.7651818612639545e-09
1828,6.970948618345574e-08,1.4675682002973645e-08
1829,3.600733933240008e-08,4.286587973467704e-09
1830,2.922314124020886e-08,0.0
1831,2.6505050598757407e-08,1.5591206103948707e-09
1832,2.3000948701223933e-08,0.0
1833,6.718504863556518e-08,5.791814139399776e-09
1834,4.760610750054184e-08,1.3068342852307069e-08
1835,6.579886502322552e-08,1.1344631900556124e-08
1836,6.183090306421946e-08,0.0
1837,4.313892532081809e-08,3.478945576063097e-09
1838,5.807189040751837e-08,1.8936485712828244e-09
1839,5.5232654005976656e-08,0.0
1840,5.86011346115356e-08,3.1848443882154243e-09
1841,7.126809009605495e-08,1.2841097074556274e-09
1842,6.77534757187459e-08,6.037438549100216e-09
1843,6.97015494210973e-08,3.5441467538532834e-09
1844,4.9945906965831455e-08,1.2623690537338916e-08
1845,7.086889297625021e-08,8.37034175305007e-09
1846,6.966856602730331e-08,4.6836010625384006e-09
1847,7.496581133636937e-08,4.314578916364553e-09
1848,4.98803736093123e-08,9.65426583121598e-09
1849,4.357295679824347e-08,9.217356655710773e-09
1850,7.467895812851566e-08,4.752297222410107e-09
1851,5.159551008659946e-08,1.9348316282474798e-09
1852,3.841221740685796e-08,5.208436348880241e-09
1853,4.538668108011734e-08,4.777545470346922e-09
1854,7.58567040293201e-08,1.558699302961486e-08
1855,5.73149208094037e-08,1.2205955357558196e-08
1856,7.66223990922299e-08,8.28350277259915e-09
1857,5.174399575480493e-08,4.393358121745905e-09
1858,8.172438725750908e-08,1.2234189661342043e-08
1859,5.906921174414492e-08,5.601390462572908e-09
1860,3.295572525985335e-08,9.612086238064421e-09
1861,8.724532563064713e-08,3.772770984511453e-09
1862,4.608346060308577e-08,4.9697850279528666e-09
1863,8.890425107210831e-08,1.4484400345793347e-08
1864,5.513937040291239e-08,7.671564716815737e-09
1865,7.483882313863433e-08,5.6482134525026595e-09
1866,6.130672147719451e-08,8.75810357570117e-09
1867,6.066014179850754e-08,1.067618526917613e-08
1868,7.113418831750096e-08,4.939874287401835e-09
1869,9.278686263769487e-08,1.1720445947105418e-08
1870,6.880858904878551e-08,1.8922360567330543e-08
1871,7.009977309735405e-08,1.5931766128574054e-08
1872,7.861540751719076e-08,1.4513614310374123e-08
1873,8.679706553493816e-08,4.788803575905831e-09
1874,5.974609251779839e-08,4.182226565063729e-09
1875,5.89317288302027e-08,1.3731664694205392e-08
1876,1.0701446484517874e-07,6.04601479992084e-09
1877,6.370360239316142e-08,1.855444864418132e-08
1878,6.76377922559368e-08,5.435179861734696e-09
1879,5.742765907257308e-08,8.55305515301552e-09
1880,5.198455355071019e-08,8.984985200299889e-09
1881,5.996356833293248e-08,8.367009307619355e-09
1882,5.457415852561098e-08,3.9932310791357395e-09
1883,4.549924170760278e-08,5.687405213450347e-09
1884,8.120087358065575e-08,1.2543224237049344e-08
1885,7.476937469164113e-08,9.66845359329227e-09
1886,7.292414494486366e-08,1.2261581083805595e-08
1887,1.1099172070316854e-07,1.3057849024278312e-08
1888,6.213802095089704e-08,8.242799331981132e-09
1889,9.209750828631513e-08,5.6386229019267375e-09
1890,7.406456603575862e-08,7.865263995654459e-09
1891,5.928024648937935e-08,2.5496880162734215e-09
