year,ses_DET herbes_NOUN
1800,2.2009151834367913e-08
1801,1.1905912700171939e-08
1802,8.056224487518193e-08
1803,3.9006784247064274e-08
1804,7.415552971679062e-08
1805,6.538618890772341e-08
1806,2.5935023018064385e-08
1807,3.131650672116848e-08
1808,9.744118045773575e-08
1809,5.421673421324158e-08
1810,9.360507036149102e-09
1811,2.2563691359778204e-08
1812,2.6672083208723052e-08
1813,2.300593315851529e-08
1814,1.2586708564299443e-08
1815,1.0788894222457657e-08
1816,4.4034472068688046e-08
1817,7.628679554727569e-08
1818,1.3113295338484932e-08
1819,3.9333990287104825e-08
1820,2.4919611263385377e-08
1821,2.465372084259343e-08
1822,3.709477880420309e-08
1823,3.162459805139406e-08
1824,5.642145595174952e-08
1825,3.6982861217893515e-08
1826,5.19671061738336e-08
1827,1.474763688946723e-08
1828,5.503380862137419e-09
1829,1.0287811491593857e-08
1830,1.878630406793036e-08
1831,1.5591206548037917e-08
1832,1.8941957335982806e-08
1833,3.8225973497674204e-08
1834,5.4140280258963e-08
1835,4.9916380362446944e-08
1836,6.98957975941994e-08
1837,4.313892532081809e-08
1838,1.830527018853445e-08
1839,4.61437359433603e-08
1840,4.1402977046800515e-08
1841,2.8892468417751616e-08
1842,1.475818312002275e-08
1843,3.36693943836508e-08
1844,4.061535463506516e-08
1845,3.124927516751086e-08
1846,4.6836010625384006e-08
1847,2.2112217834546755e-08
1848,3.218088551193432e-08
1849,1.0893239199560867e-08
1850,4.141287579528807e-08
1851,2.7732586005413395e-08
1852,4.362065553209504e-08
1853,3.3442816516071616e-08
1854,2.7537021551893304e-08
1855,5.73149208094037e-08
1856,2.8474541280409937e-08
1857,3.465871434293888e-08
1858,4.79580251067091e-08
1859,3.360834455179429e-08
1860,6.408057470763673e-08
1861,3.395494019287071e-08
1862,4.427626626446468e-08
1863,4.5451049424105605e-08
1864,4.123465868755005e-08
1865,2.0710114512212385e-08
1866,4.184427027098536e-08
1867,1.94112459439566e-08
1868,6.174842326345242e-08
1869,3.1742874995188686e-08
1870,3.325748210158963e-08
1871,1.805600113868877e-08
1872,4.051717183983783e-08
1873,2.6937019725892242e-08
1874,4.122480135038131e-08
1875,4.1194994082616176e-08
1876,3.083467481346247e-08
1877,5.257093604882357e-08
1878,3.804625947623208e-08
1879,2.6881031289782698e-08
1880,6.161132515281054e-08
1881,4.5321300490286376e-08
1882,4.858431168486277e-08
1883,5.4346314393161066e-08
1884,4.357119909315088e-08
1885,4.125206687355387e-08
1886,6.066255764380912e-08
1887,5.7454535351553204e-08
1888,4.057993407968752e-08
1889,4.698852507090123e-08
1890,3.6049123908199476e-08
1891,3.569563133964948e-08
1892,4.137218212463267e-08
1893,4.0645549148621285e-08
1894,4.348062021541921e-08
1895,3.310238128051424e-08
1896,4.540712339462516e-08
1897,3.8456310136325556e-08
1898,3.734514208986184e-08
1899,3.6482017407024614e-08
1900,3.322274066963615e-08
1901,3.968004597121322e-08
1902,3.2407871941586563e-08
1903,3.186130115295782e-08
1904,4.8909087446702415e-08
1905,3.509316215399849e-08
1906,2.8807432883581896e-08
1907,3.4971336049238744e-08
1908,3.929111258571538e-08
1909,4.510806661528477e-08
1910,5.7716828649745366e-08
1911,5.213966502992662e-08
1912,3.854971808436858e-08
1913,3.977242318820018e-08
1914,4.620753202289052e-08
1915,3.416420923940677e-08
1916,2.966614687238689e-08
1917,5.8122049062525605e-08
1918,4.709414280767987e-08
1919,6.813807829075813e-08
1920,4.0890050456710014e-08
1921,4.695103328344885e-08
1922,5.2383342108441866e-08
1923,3.715581797791856e-08
1924,5.285566118118368e-08
1925,5.279125536716833e-08
1926,5.4616079880887014e-08
1927,5.686104587176999e-08
1928,6.85562485669422e-08
1929,6.795647666812954e-08
1930,3.886333388436469e-08
1931,6.386999995555698e-08
1932,4.931791508511196e-08
1933,4.588265056781893e-08
1934,5.511527056967225e-08
1935,6.821922138300351e-08
1936,5.8198629915295896e-08
1937,4.0291578073947676e-08
1938,4.5378251711802875e-08
1939,5.964679594683275e-08
1940,4.564409294971483e-08
1941,3.836953510472085e-08
1942,4.8547388331598995e-08
1943,7.83873519427658e-08
1944,4.4984606262232774e-08
1945,6.7533628023142e-08
1946,5.4292307538617024e-08
1947,4.887557025767819e-08
1948,6.631851801053301e-08
1949,6.479225411748502e-08
1950,3.509669355139522e-08
1951,6.396840745992449e-08
1952,5.6941942161437e-08
1953,4.30953106533849e-08
1954,6.058972701339371e-08
1955,6.382213513234092e-08
1956,6.01758785023776e-08
1957,3.887416683001632e-08
1958,6.452350076457947e-08
1959,3.720359131875739e-08
1960,5.259833235626843e-08
1961,3.47407969059077e-08
1962,5.390662849436012e-08
1963,4.396916253313066e-08
1964,5.658090529436777e-08
1965,5.362602450986742e-08
1966,4.874385728381725e-08
1967,5.472672348627583e-08
1968,4.491415678264943e-08
1969,4.3146698658347304e-08
1970,4.046878032681889e-08
1971,5.960541227256755e-08
1972,3.7450070766720245e-08
1973,4.410562937096074e-08
1974,4.387946028749923e-08
1975,3.426888151025764e-08
1976,3.5423868227635325e-08
1977,3.584836960612847e-08
1978,2.8514837713267127e-08
1979,3.452664432135322e-08
1980,3.524793257270176e-08
1981,4.7441620409927054e-08
1982,4.5314768160054086e-08
1983,5.810090897284681e-08
1984,4.697196792635694e-08
1985,4.631979744207371e-08
1986,4.495863947795442e-08
1987,4.3386798875832966e-08
1988,4.7372775702214653e-08
1989,4.061210356898215e-08
