year,quelques_DET herbes_NOUN
1800,4.496155323607809e-07
1801,2.9764782638608267e-07
1802,2.528759353026544e-07
1803,2.574447819370107e-07
1804,3.139250592809617e-07
1805,1.7910129201936797e-07
1806,1.1526676768625066e-07
1807,9.679647661187119e-08
1808,2.470020601386125e-07
1809,3.0271007744886447e-07
1810,2.7145471737100024e-07
1811,2.2312983105621242e-07
1812,1.8670458246106136e-07
1813,2.041776572259124e-07
1814,1.1328037885505182e-07
1815,6.203614333344376e-08
1816,1.7845549393769033e-07
1817,2.802372023325006e-07
1818,1.7643343142026424e-07
1819,1.8217848207768839e-07
1820,2.0885006168924747e-07
1821,1.617284040023037e-07
1822,1.8447133243171265e-07
1823,1.1958050549765176e-07
1824,1.2968513818378824e-07
1825,1.2151511152858063e-07
1826,1.8937166856858312e-07
1827,9.8624823863247e-08
1828,1.3758452155343548e-07
1829,1.2431105356203176e-07
1830,1.982998867333663e-07
1831,1.0446107978623331e-07
1832,1.8400758960979147e-07
1833,2.5947326776076807e-07
1834,1.8015644576152567e-07
1835,2.344557330502539e-07
1836,2.1371984981755077e-07
1837,1.3846203117395817e-07
1838,1.312929676089425e-07
1839,1.454226881136833e-07
1840,9.809320855591608e-08
1841,1.7207069902269723e-07
1842,1.4020273564341323e-07
1843,1.5121692276132137e-07
1844,1.4105602841318898e-07
1845,1.4675999260305161e-07
1846,1.6334059282918645e-07
1847,1.326733052309237e-07
1848,1.753858386854823e-07
1849,1.1396004584440789e-07
1850,2.33541459948583e-07
1851,1.5220674898230868e-07
1852,1.0156450813703088e-07
1853,2.072260372187884e-07
1854,1.5119382945627535e-07
1855,1.6663782531622928e-07
1856,1.2684113614991332e-07
1857,1.4937418346683273e-07
1858,1.1402265065463268e-07
1859,1.2526746195895555e-07
1860,1.0710610354180972e-07
1861,1.1789909343251637e-07
1862,1.414129759957916e-07
1863,1.0788380766513228e-07
1864,1.3569080570263736e-07
1865,1.1908316033260036e-07
1866,8.806759288493282e-08
1867,7.764498555218324e-08
1868,1.0423134388926059e-07
1869,9.27868644140517e-08
1870,1.0952033058231336e-07
1871,7.328612383616928e-08
1872,1.1913258268769766e-07
1873,1.125368824794748e-07
1874,7.946230340394322e-08
1875,1.1786345588404856e-07
1876,9.008562273926657e-08
1877,1.0637883463004982e-07
1878,9.058633199110488e-08
1879,1.0935692129621088e-07
1880,8.984984756210679e-08
1881,9.970685610483088e-08
1882,1.1247600539832092e-07
1883,9.099848163884872e-08
1884,9.440426396167823e-08
1885,7.025742676525226e-08
1886,8.066829848552004e-08
1887,1.0772725289598384e-07
1888,9.764546771151572e-08
1889,9.585658977684375e-08
1890,8.192983180776992e-08
1891,1.0581205378557001e-07
1892,7.710270000238495e-08
1893,8.868119794058771e-08
1894,7.246769939683873e-08
1895,5.115822343526588e-08
1896,4.363801486828578e-08
1897,6.525919438171712e-08
1898,8.657283101509705e-08
1899,1.116570818027185e-07
1900,9.863000782761588e-08
