year,aux_ADP honnêtes_ADJ,aux_ADP sonnettes_NOUN
1800,2.389564883742423e-07,3.144164395507687e-08
1801,2.905042890688492e-07,1.1905912700171939e-08
1802,1.7007585029205075e-07,2.2378401354217203e-09
1803,3.2570665098319296e-07,1.950339223455444e-09
1804,2.1010733064485976e-07,3.213406074564773e-08
1805,2.1890159018767008e-07,0.0
1806,1.498467980809437e-07,2.0171682990621775e-08
1807,1.7651122163897526e-07,2.8469551160981155e-09
1808,1.0877155176558517e-07,3.3991110370834576e-08
1809,1.6716825257390155e-07,4.2921579401777876e-08
1810,2.1529166360778618e-07,4.914266327205041e-08
1811,8.022645658911642e-08,1.7549536934780008e-08
1812,2.507175622668001e-07,2.6672083208723052e-08
1813,2.645682286583906e-07,8.627225156487839e-09
1814,1.1328037885505182e-07,0.0
1815,2.535390137836657e-07,2.697223555614414e-09
1816,2.0858435334503156e-07,2.3176038865813098e-09
1817,3.144884317407559e-07,1.5568733857662664e-08
1818,3.588274353205634e-07,5.364529798157491e-08
1819,3.136368036393833e-07,3.519357072434559e-08
1820,2.385162645168748e-07,5.933240565525466e-09
1821,4.329193359353667e-07,1.2819934447350079e-08
1822,2.406147814326687e-07,8.02049271442229e-09
1823,1.8184144323640794e-07,9.586206639600192e-08
1824,2.6779139261634555e-07,1.0947446504872005e-08
1825,2.8001309715364187e-07,1.1447076175841175e-08
1826,1.7704049071198824e-07,1.2331177856594877e-08
1827,2.2213627914879908e-07,9.217273055917019e-09
1828,2.4673491338944586e-07,2.2930752408001354e-08
1829,2.5890992105814803e-07,2.4862210068476998e-08
1830,1.9516882332482055e-07,1.1480519646056564e-08
1831,3.5080213933724735e-07,1.5591206548037917e-08
1832,3.20660262786987e-07,8.117981842303834e-09
1833,2.76848709290789e-07,2.7800709290204395e-08
1834,3.1644060527469264e-07,1.120143711119681e-08
1835,1.8756458075586124e-07,2.0420337421001022e-08
1836,1.3643122542816855e-07,3.3603750337896088e-09
1837,1.899504269431418e-07,2.7831564608504777e-08
1838,1.7674052799065976e-07,9.468243078458727e-09
1839,2.2162976165418513e-07,9.088918062616358e-09
1840,1.872688528692379e-07,1.46502836528839e-08
1841,1.7913330907504132e-07,1.4125206782011901e-08
1842,1.3751943583883985e-07,7.379091560011375e-09
1843,1.7602594937216054e-07,1.2995204023980023e-08
1844,1.9319735145018058e-07,1.4819115712327857e-08
1845,1.2946128435942228e-07,1.6182660544927785e-08
1846,2.0022395119667635e-07,7.610851504580296e-09
1847,1.450777205036502e-07,2.1033571329098777e-08
1848,1.97107937083274e-07,8.045221711050488e-10
1849,3.402042523248383e-07,8.379414495607307e-09
1850,3.4759659683913924e-07,6.788996032014438e-09
1851,2.0638204034639784e-07,1.6123596680017727e-08
1852,1.9401424822262925e-07,2.408901877970493e-08
1853,1.702000531622616e-07,4.777545470346922e-09
1854,1.9587655231134704e-07,1.8704392257262725e-08
1855,1.6876060726644937e-07,1.5920811335945473e-08
1856,1.9155599773057475e-07,1.915559955101287e-08
1857,3.026535750905168e-07,9.763017949637742e-09
1858,2.2168352131757274e-07,2.202154192332273e-08
1859,2.984013462992152e-07,2.0877910733574367e-08
1860,2.320632290775393e-07,1.6935580049448618e-08
1861,3.05594454630409e-07,1.6505872502126095e-08
1862,2.0782736953606218e-07,2.6656119200829664e-08
1863,2.0727676997012168e-07,1.1987090431375691e-08
1864,2.685047775230487e-07,1.7740493518658695e-08
1865,2.1745620415458689e-07,1.0355057256106193e-08
1866,2.5301187633886e-07,1.8489328734716537e-08
1867,2.9553621061495505e-07,1.7955402498159856e-08
1868,2.3661996806367824e-07,2.7663294210888978e-08
1869,3.2035885055847757e-07,1.8069020057964735e-08
1870,2.4197686343541136e-07,2.2362790730312554e-08
1871,3.1013837542559486e-07,2.8677177965619194e-08
1872,3.326036619455408e-07,3.1446163006876304e-08
1873,2.2627096996075124e-07,3.5317427204972773e-08
1874,2.0134433498242288e-07,1.6131444402489592e-08
1875,3.3470934113211115e-07,1.4875970677508121e-08
1876,2.539326260375674e-07,1.813804395567331e-08
1877,2.7089492959930794e-07,2.288381928394756e-08
1878,2.995388115323294e-07,2.2344627481629686e-08
1879,2.7430871796241263e-07,7.94212251520321e-09
1880,2.387438939877029e-07,1.0268554007097919e-08
1881,2.5728553509907215e-07,6.2752567586699115e-09
