year,sommes_VERB en_ADP,sommes_VERB sans_ADP
1800,1.4746131000720197e-06,2.138031902632065e-07
1801,1.631110080779763e-06,3.762268363516341e-07
1802,1.4076014167585527e-06,2.439245747609675e-07
1803,1.2150613883932238e-06,2.0868630201675842e-07
1804,1.3619899164041271e-06,1.5819846055364906e-07
1805,1.1001936854881933e-06,1.8194417350514414e-07
1806,1.5099946040209034e-06,1.5849180101668026e-07
1807,1.2099559398848214e-06,2.2206249639111775e-07
1808,1.0038708069259883e-06,2.8552531716741214e-07
1809,1.2063222811775631e-06,2.3042110797177884e-07
1810,1.4766200138183194e-06,3.2293749541167927e-07
1811,1.0980995739373611e-06,1.780024518893697e-07
1812,1.2642567526199855e-06,2.1337666566978442e-07
1813,1.2423204225342488e-06,1.0927818294703684e-07
1814,1.5670451603000402e-06,1.258670891957081e-07
1815,1.6291230622300645e-06,1.6183341244868643e-07
1816,1.562064994686807e-06,1.5759707139295642e-07
1817,1.446335431865009e-06,2.802372023325006e-07
1818,1.5867086631260463e-06,2.0862060523541004e-07
1819,1.6654839782859199e-06,2.6705708933150163e-07
1820,1.835744683376106e-06,2.1241001491034694e-07
1821,2.017660563069512e-06,3.885426451688545e-07
1822,2.079312707792269e-06,3.398683929844992e-07
1823,1.6948807797234622e-06,2.2532526600116398e-07
1824,1.9764352146012243e-06,2.2905426533270656e-07
1825,1.7337916915494134e-06,2.808936301335052e-07
1826,1.5466820286746952e-06,1.9817964869162097e-07
1827,1.4950417153158924e-06,2.414925575067173e-07
1828,1.8133639514417155e-06,3.1002377909317147e-07
1829,1.5774644452903885e-06,2.2633184926235117e-07
1830,1.6542385310458485e-06,2.390035547250591e-07
1831,2.005029045903939e-06,2.4945930476860667e-07
1832,1.886077711787948e-06,2.665403826540569e-07
1833,1.9414160306041595e-06,2.76848709290789e-07
1834,1.915445636768709e-06,2.557661389346322e-07
1835,2.324893330296618e-06,2.866410397928121e-07
1836,2.333444399482687e-06,2.486677601609699e-07
1837,2.0957168089807965e-06,3.0405982442971435e-07
1838,1.995905677176779e-06,1.836839089719433e-07
1839,2.2386702767107636e-06,1.6989284290502837e-07
1840,2.171426785935182e-06,2.0701487812857522e-07
1841,2.323596618225565e-06,2.523275668409042e-07
1842,2.614881623230758e-06,2.3277679872535373e-07
1843,2.3999780296435347e-06,2.4159265876733116e-07
1844,2.457228902130737e-06,2.530226765884436e-07
1845,2.43576960201608e-06,2.66176868990442e-07
1846,2.51216647484398e-06,2.259837543761023e-07
1847,2.1977386950311484e-06,2.1303233666003507e-07
1848,2.6645773232303327e-06,2.5664257918833755e-07
1849,2.91100877802819e-06,2.480306875440874e-07
1850,2.453543174851802e-06,2.0570658421092958e-07
1851,2.7429462079453515e-06,2.128314804394904e-07
1852,2.6530472041486064e-06,2.2200960358986777e-07
1853,2.874290885301889e-06,2.1140638750694052e-07
