year,suis_VERB en_ADP,suis_VERB sans_ADP
1800,1.7890296248879167e-06,4.08741385626854e-07
1801,2.7335975119058276e-06,4.833800630876794e-07
1802,1.8462180833012098e-06,5.102275508761522e-07
1803,1.963991508091567e-06,4.856344730796991e-07
1804,2.5904998892656295e-06,6.847026838840975e-07
1805,2.402231757514528e-06,4.5770332235406386e-07
1806,3.143901039948105e-06,4.466587029128277e-07
1807,1.8078164885082515e-06,3.245528716888657e-07
1808,1.5477285160159227e-06,2.605985116588272e-07
1809,1.3938217762188287e-06,4.0662550304659817e-07
1810,2.4384121388720814e-06,5.616304292743735e-07
1811,1.9981400782853598e-06,2.908209069119039e-07
1812,2.123097829098697e-06,5.947874228695582e-07
1813,1.7455752185924212e-06,4.5724291908300074e-07
1814,1.5166983757808339e-06,3.996279929197044e-07
1815,2.055284312518779e-06,3.9109741578613466e-07
1816,1.8146838556276634e-06,4.6815597443128354e-07
1817,2.9471614197973395e-06,7.644248398719355e-07
1818,2.607161604828434e-06,5.340687607713335e-07
1819,2.214089590779622e-06,4.2025263269351854e-07
1820,3.0010330647201044e-06,4.651660674426239e-07
1821,4.298622570786392e-06,7.514453841395152e-07
1822,3.0979153962107375e-06,4.7621676912967814e-07
1823,3.015207767020911e-06,5.969142762296542e-07
1824,3.082127250308986e-06,5.406354262049717e-07
1825,2.6900629563897382e-06,4.393916128719866e-07
1826,1.918378984555602e-06,3.461537971816142e-07
1827,2.344874246773543e-06,3.622388362600759e-07
1828,2.511376123948139e-06,5.695999334420776e-07
1829,1.980403567358735e-06,4.826698045690136e-07
1830,2.635301143527613e-06,4.696576070273295e-07
1831,2.8719000511046033e-06,4.5058584419166436e-07
1832,2.9874172469135374e-06,5.574347596848384e-07
1833,2.559981794547639e-06,5.664394393534167e-07
1834,2.2356200588546926e-06,4.4339020632833126e-07
1835,2.7869978111993987e-06,5.279035235616902e-07
1836,3.0922171845304547e-06,6.425037213375617e-07
1837,2.4596145067334874e-06,4.564376467897091e-07
1838,2.1764333268947667e-06,3.515874311688094e-07
1839,2.4756814127613325e-06,5.054836833551235e-07
1840,2.0058148493262706e-06,3.5351771998648474e-07
1841,1.957625272552832e-06,4.4109168584327563e-07
1842,2.347221879972494e-06,3.991417827364785e-07
1843,2.4667260731803253e-06,3.685912588480278e-07
1844,2.0302188659115927e-06,3.073594427860371e-07
1845,1.9140181848342763e-06,3.52112380141989e-07
1846,2.2112451460998273e-06,3.694190411351883e-07
1847,1.6427759419457288e-06,2.885374783545558e-07
1848,2.071644530587946e-06,3.7168925359765126e-07
1849,1.7823015241447138e-06,3.4690776828938397e-07
1850,2.071322796837194e-06,3.5574339563027024e-07
1851,1.960629333552788e-06,3.830966761597665e-07
1852,2.1810326416016323e-06,3.1836566449783277e-07
1853,2.081218326566159e-06,3.332337996653223e-07
1854,2.2933663785806857e-06,3.9902704429550795e-07
