year,quelques_DET eaux_NOUN,quelques_DET sauts_NOUN
1800,7.074370231840987e-07,1.2576657937302116e-08
1801,4.5242469548512076e-07,1.1905912700171939e-08
1802,2.215461734067503e-07,2.0140561218795483e-08
1803,3.58862413563088e-07,1.755305234496518e-08
1804,1.9527622896475805e-07,2.4718509905596875e-08
1805,2.4164460610265337e-07,2.842877711017877e-09
1806,1.671368039524168e-07,5.76333825108577e-09
1807,5.209927849136875e-07,0.0
1808,3.8296650961555656e-07,0.0
1809,2.6882463544097845e-07,1.3554183553310395e-08
1810,1.8955026881428694e-07,4.680253518074551e-09
1811,1.6546706893549867e-07,0.0
1812,2.827240734859515e-07,2.400487453257938e-08
1813,2.5594101771275746e-07,0.0
1814,1.2272040805783035e-07,0.0
1815,1.3755840200246894e-07,0.0
1816,2.827476599520651e-07,7.416332437060191e-08
1817,3.0826092256575066e-07,4.826307531402563e-08
1818,1.4663048819585356e-07,3.099506074022429e-08
1819,2.411794675083456e-07,9.315945348475907e-09
1820,1.6494408328071586e-07,1.779972080839798e-08
1821,2.2188348380858258e-07,5.9168927535324656e-09
1822,9.223566621585633e-08,1.0025615893027862e-08
1823,1.1661570775700625e-07,1.4824030447613268e-08
1824,1.7515914407795208e-07,1.6000114122505238e-08
1825,1.0654586324321258e-07,1.7610886970942374e-08
1826,1.2771577084791375e-07,1.76159691278599e-08
1827,2.3135354698666788e-07,9.217273166939322e-09
1828,1.797770985412228e-07,1.834460228167245e-08
1829,1.6803425140210493e-07,8.573175946935407e-09
1830,1.5863990387998683e-07,4.800944353178238e-08
1831,1.8709446880649239e-07,6.236482441579483e-09
1832,2.597754102939831e-07,1.6235963684607668e-08
1833,2.0618858442844612e-07,2.548398292390175e-08
1834,1.54953209374753e-07,3.080395316601425e-08
1835,1.4218605315363675e-07,9.832014313815307e-09
1836,1.5726554947192994e-07,2.352262518101611e-08
1837,1.315041417981888e-07,9.74104708006962e-09
1838,8.39517539930057e-08,8.2058102535143e-09
1839,1.2514740621583087e-07,1.1885507689157748e-08
1840,1.1338045879938363e-07,8.917564464638872e-09
1841,1.585875448739671e-07,1.4125206782011901e-08
1842,6.708265187782558e-08,1.2745703159566801e-08
1843,9.982679527453797e-08,1.594865928211675e-08
1844,1.158086453401097e-07,1.701453911095996e-08
1845,8.705155485344562e-08,1.0044410636567136e-08
1846,1.042101231973902e-07,6.439951683034906e-09
1847,1.429204301572895e-07,5.9325460100012606e-09
1848,1.5044565060406967e-07,1.609044275596716e-08
1849,1.080944542763973e-07,1.8434713311421547e-08
1850,1.7108270089494226e-07,7.467895635215882e-09
1851,1.0706068653831835e-07,7.739326512989919e-09
1852,8.593920131083621e-08,1.1067927019325907e-08
1853,1.3616004856942254e-07,1.911018188138769e-08
1854,1.3560684219982022e-07,3.117398783558656e-09
1855,9.287139945968192e-08,1.3798036491152743e-08
1856,1.0561466279312981e-07,5.694908100650764e-09
1857,1.2740739041561255e-07,4.393358121745905e-09
1858,2.1091743818146824e-07,6.8511463169329545e-09
1859,1.3341493776408697e-07,4.582956236731661e-09
1860,1.1122556919929139e-07,1.1442959801932773e-08
1861,1.4289369998365942e-07,1.6977468875190027e-08
1862,1.897554264829182e-07,9.939570055905733e-09
1863,8.940371343246767e-08,7.491931353076353e-09
1864,1.3377291452343343e-07,5.753673537611803e-09
1865,7.578019678433634e-08,7.530950973944073e-09
1866,9.244664234131506e-08,2.3841502994059738e-08
1867,7.76449837758264e-08,9.220341823379385e-09
1868,1.1411109124281893e-07,3.062721987134864e-08
1869,1.0353060631018707e-07,2.5882650689368347e-08
1870,1.272958884968034e-07,1.490852596930381e-08
1871,7.647247701747517e-08,2.3366590440332402e-08
1872,7.377753852289004e-08,1.3304146229131675e-08
1873,1.1493128937445363e-07,7.183205141814142e-09
1874,1.0754296697612631e-07,8.364453130127458e-09
1875,9.040012827199462e-08,9.7265964171811e-09
1876,7.738899010512057e-08,1.3301232115736639e-08
1877,6.555904719096617e-08,1.4225077116236662e-08
1878,6.280652220524985e-08,2.1740719446938783e-08
1879,6.598071577990083e-08,1.588424503040642e-08
1880,7.380522948352564e-08,1.7969970400599777e-08
1881,6.554156950500101e-08,2.022027167924989e-08
1882,5.790185153564664e-08,1.7304001787010748e-08
1883,8.341527646393843e-08,1.64302811356265e-08
1884,6.007544151032107e-08,2.3766109080725073e-08
1885,7.541393554078013e-08,1.8047780159236027e-08
1886,6.517998230037847e-08,1.871504551331782e-08
1887,8.226445036285668e-08,1.3710741875172516e-08
1888,7.989174743983085e-08,1.9021843655764314e-08
1889,6.515742168033967e-08,1.9421923624918236e-08
1890,7.340912944187039e-08,1.0487018364813139e-08
1891,9.816298707221449e-08,2.039750413018737e-08
1892,7.647584965297938e-08,1.817868522380195e-08
1893,7.698020798585503e-08,2.4017824173938607e-08
1894,1.0334524347399565e-07,1.575384822594117e-08
1895,4.754705296150519e-08,1.8657704714541978e-08
1896,3.715128193970685e-08,2.7716035688740703e-08
1897,4.486569560313569e-08,1.5149455023788505e-08
1898,5.658354917947861e-08,3.960848538042683e-09
1899,1.1442086922386352e-07,2.1557555740514545e-08
1900,7.786579825364015e-08,2.1283318218934255e-08
1901,4.470991055161022e-08,6.147612641171918e-09
1902,3.83002145554201e-08,1.620393641488249e-08
1903,7.020286130199338e-08,1.83607493653426e-08
1904,5.96583396017536e-08,1.5048950530172078e-08
1905,8.463644651790503e-08,5.676835002077496e-09
1906,1.0597020061453577e-07,1.0288368712529916e-08
1907,5.3485572137912385e-08,1.542852956504248e-08
1908,6.286578191350145e-08,2.161011281032188e-08
1909,5.721023033089523e-08,2.8605114166246892e-08
1910,9.459147021217973e-08,3.046165986120286e-08
1911,6.065226587637085e-08,1.755723388896513e-08
1912,7.03271836322017e-08,1.6670147373609723e-08
1913,9.33326214092034e-08,1.2196876397752021e-08
1914,4.2859159776753586e-08,2.4108278040557707e-08
1915,3.2986132936230206e-08,1.1780762032564951e-08
1916,2.966614687238689e-08,1.4283700444650549e-08
1917,3.728584241358135e-08,1.5352993543160665e-08
1918,8.270190932080368e-08,1.378365155346728e-08
1919,3.867296449744373e-08,1.012863304339362e-08
1920,4.694783628522714e-08,2.2716696079783105e-08
