year,ces_DET ailes_NOUN,ces_DET selles_NOUN
1800,7.231578535993322e-07,1.2576657937302116e-08
1801,4.309940493385511e-07,2.1430643926123594e-08
1802,5.706492345325387e-07,3.5805442166747525e-08
1803,5.909527942549175e-07,1.950339223455444e-09
1804,4.597642870862728e-07,1.4831105232815389e-08
1805,3.951599971685482e-07,1.9900143755080535e-08
1806,3.890253381655384e-07,5.187004514795035e-08
1807,2.4483813731990267e-07,1.9928686256776018e-08
1808,2.673967252064813e-07,1.5862517965814504e-08
1809,2.530114144860818e-07,2.0331274441787173e-08
1810,5.031272607425308e-07,4.914266327205041e-08
1811,4.312171952847166e-07,4.011322829455821e-08
1812,3.494042886131865e-07,6.401299756930712e-08
1813,1.437870835729882e-07,8.627225156487839e-09
1814,1.2272040450511668e-07,5.034683425719777e-08
1815,1.8880565022527662e-07,8.091670444798638e-09
1816,6.350234684759926e-07,1.8540831092650478e-08
1817,6.071806240015576e-07,4.514932749888345e-08
1818,5.579111075348919e-07,2.2650237241350624e-08
1819,3.747080228322375e-07,1.5526574914659363e-08
1820,3.0852852006546527e-07,6.051905643289501e-08
1821,3.6487505639115625e-07,1.1833786284221048e-08
1822,5.383755734555962e-07,1.9048670196752937e-08
1823,3.765303837610645e-07,2.17419104941996e-08
1824,2.871599491527377e-07,7.57900142644985e-09
1825,3.8039515004584246e-07,1.4969253392393966e-08
1826,2.3517318048504876e-07,2.3781558056157337e-08
1827,2.4425773048619703e-07,2.7651819167751057e-09
1828,2.834241144000771e-07,5.5033806956039655e-09
1829,1.7917937800149275e-07,3.7721974210924714e-08
1830,3.057992934429876e-07,1.6698937344017395e-08
1831,1.7929886553247343e-07,4.5214497035317436e-08
1832,4.857259057189367e-07,3.78839142278764e-08
1833,3.1854977322609557e-07,2.5483982257767934e-08
1834,3.0617261614906965e-07,1.8669061851994684e-08
1835,3.4109527291548147e-07,4.0084366048631637e-08
1836,3.158752477361304e-07,2.5538849257600305e-08
1837,2.56050391556073e-07,2.85273520361784e-08
1838,2.9793403300004684e-07,2.7773511934725548e-08
1839,3.285993415147459e-07,4.334714454046207e-08
1840,2.458699874807735e-07,2.8026629905752998e-08
1841,2.5874811271364706e-07,2.3756030476107526e-08
1842,2.0795621225033756e-07,2.4149754640490073e-08
1843,2.811689725490396e-07,2.3627644729629083e-08
1844,2.3216613698195943e-07,3.4577936958157807e-08
1845,3.1137672706904596e-07,2.0646842457949788e-08
1846,2.7574701277899294e-07,5.151961190996701e-08
1847,2.1842555497642024e-07,1.9954928376364478e-08
1848,2.2446168657097587e-07,4.666228647920434e-08
1849,2.7652069789496636e-07,4.4410899846525353e-08
1850,2.58660744378858e-07,2.511928531845342e-08
1851,1.6768540334055615e-07,5.3530341048713126e-08
1852,3.8216901465659703e-07,2.799534515318669e-08
1853,2.3648849989399423e-07,4.060913738612726e-08
1854,1.9951351148961294e-07,4.1565315633818045e-08
1855,2.3881217359189577e-07,2.812676669350367e-08
1856,1.9518003213647717e-07,2.27796321250473e-08
1857,3.1876254524831893e-07,2.1966791052818735e-08
1858,2.397901290862592e-07,1.761723344984034e-08
1859,2.0826989555189357e-07,2.6988518531112504e-08
1860,4.2933983479542803e-07,2.8378540406492903e-08
1861,2.1551954532128548e-07,2.5937800796071997e-08
1862,2.1324894916574522e-07,5.1505044673660905e-08
1863,2.1426923169087786e-07,5.2942980666159656e-08
1864,2.77135271176121e-07,2.205574833880064e-08
1865,2.376956338423497e-07,3.7654755757898783e-08
1866,2.063019906017871e-07,5.060237384668653e-08
1867,2.5719900875742496e-07,3.785192959071537e-08
1868,2.326680750286414e-07,5.1374691167893616e-08
1869,2.2610693406477367e-07,3.2231226132495294e-08
1870,2.603258124622698e-07,2.5803219116937726e-08
1871,2.2835530799625303e-07,4.5671060711072187e-08
1872,2.8724862133344686e-07,1.7537283625301825e-08
1873,1.8975634219486892e-07,4.1303430009520525e-08
1874,2.1867069222025748e-07,8.185214461775558e-08
1875,1.8137241042381902e-07,1.945319239027299e-08
1876,2.4304979007183647e-07,2.2974856683788403e-08
