year,plusieurs_DET airs_NOUN,plusieurs_DET serres_NOUN
1800,1.7292904752608251e-07,3.144164484325529e-09
1801,1.5477686554632442e-07,0.0
1802,8.503792514602537e-08,2.2378401354217203e-09
1803,6.436119459607426e-08,0.0
1804,3.213406074564773e-08,4.943701892301533e-09
1805,5.970043259750923e-08,0.0
1806,7.492339904047185e-08,0.0
1807,1.5088861937684328e-07,4.555128185756985e-08
1808,5.4385776326881796e-08,0.0
1809,9.26202483597649e-08,9.036122072814123e-09
1810,1.7082924808065059e-07,0.0
1811,1.3287506828163487e-07,2.0056614147279106e-08
1812,1.0135391326215881e-07,2.6672082320544632e-09
1813,3.3358602280486593e-07,2.8757416448144113e-09
1814,1.0069366851439554e-07,2.2026739543434815e-08
1815,4.315557666778602e-08,3.236668177919455e-08
1816,3.476405652236281e-08,2.3176038865813098e-09
1817,7.784366895524641e-08,2.6466848268569265e-08
1818,9.65615398751396e-08,4.768470951432846e-09
1819,5.796588153916815e-08,4.140420006848444e-09
1820,1.008650931666466e-07,0.0
1821,7.001656587846128e-08,1.97229765852569e-09
1822,7.719724237631453e-08,3.0076847679083585e-09
1823,6.917880579493385e-08,2.9648061783404955e-09
1824,7.747423769188799e-08,8.421112696055388e-10
1825,9.509878795554982e-08,0.0
1826,5.6371100232155413e-08,7.927186018719112e-09
1827,5.438191230666689e-08,9.217273055917019e-10
1828,7.979901983645732e-08,0.0
1829,4.2865879568143583e-08,1.628903412154159e-08
1830,1.565525344915386e-07,8.349468672008697e-09
1831,8.886987146183856e-08,1.5591206103948707e-09
1832,6.088486359523415e-08,1.352996914505411e-08
1833,7.29768601104297e-08,1.50587169400751e-08
1834,4.480574888887645e-08,9.334531370086552e-09
1835,8.168134968400409e-08,1.5126175867408165e-09
1836,7.056787687531596e-08,1.3441500135158435e-09
1837,1.0506415115685286e-07,4.87052354003481e-09
1838,6.249040174211018e-08,7.574594285131298e-09
1839,8.040196608494199e-08,4.194885327990505e-09
1840,6.624476167615967e-08,3.1848443882154243e-09
1841,6.741575875324202e-08,1.926164561183441e-09
1842,4.494537408916699e-08,2.683306021822318e-09
1843,4.961805233349992e-08,9.451057492171344e-09
1844,6.421616793872431e-08,8.232841963717874e-09
1845,3.5713458523822794e-08,1.0602432709561072e-08
1846,4.156696142842975e-08,7.025401593807601e-09
1847,2.9662729161827883e-08,2.1572894581822766e-09
1848,4.505324158188273e-08,1.206783295515379e-08
1849,5.195237151589538e-08,1.005529792763582e-08
1850,2.2403686905647646e-08,5.431196825611551e-09
1851,2.3217978650791338e-08,5.8044946626978344e-09
1852,3.841221940525941e-08,5.208436348880241e-09
1853,5.076142151061447e-08,2.388772735173461e-09
1854,4.0006614743237634e-08,6.754363734984281e-09
1855,4.086341576226005e-08,5.837630823180007e-09
1856,5.539592551340178e-08,5.177189343896771e-09
1857,7.908045018822918e-08,7.810414537345878e-09
1858,3.083015964744362e-08,1.9574704079872163e-09
1859,3.05530396538245e-08,0.0
1860,7.00309170653668e-08,1.1442959468865865e-08
1861,8.630213921279051e-08,1.0846716413936974e-08
1862,8.674533980013166e-08,1.8071945051545413e-09
1863,6.992469181454908e-08,2.4973103585068657e-09
1864,4.650886165080692e-08,2.8768367688059016e-09
1865,6.730787305286867e-08,3.294791106611683e-09
1866,3.60055367742973e-08,8.271541673821048e-09
1867,5.5322049163919473e-08,4.367530337390235e-09
1868,5.433861449688493e-08,3.457911734727759e-09
1869,4.737013536981749e-08,3.4184632902167778e-09
1870,4.529898367522378e-08,4.587239033071455e-09
1871,1.1683294554032386e-08,9.559059321873065e-09
1872,2.9027227954614432e-08,1.8142017887967654e-09
1873,7.961385639632113e-08,1.4366410283628284e-08
1874,3.106796664376077e-08,1.7923826867161097e-09
1875,6.40811045893308e-08,5.149374260327022e-09
1876,2.8416269337583344e-08,7.859819461941697e-09
1877,4.391219254884504e-08,1.855444864418132e-08
1878,1.1293095963926802e-07,3.5026715750063886e-08
1879,5.9260456652943105e-08,1.4662380642960215e-08
1880,8.407378393471276e-08,9.626769381654299e-09
1881,9.064259814950404e-08,1.9523021199674417e-08
1882,3.860123354293421e-08,1.6638462829732248e-08
1883,8.973460996486438e-08,9.479008078461248e-09
1884,4.027034972153842e-08,7.2618666635548834e-09
1885,5.4787904435471546e-08,1.804778027025833e-08
1886,3.420335914494643e-08,1.742435240537077e-08
1887,3.7867763591492576e-08,1.1752063988623718e-08
1888,3.931181136174189e-08,7.60873763994141e-09
1889,3.9470360035931407e-08,8.77119121778236e-09
1890,3.21164943528629e-08,2.6872983838188702e-08
1891,3.505821177807178e-08,1.1473596295275001e-08
1892,3.3223115813996174e-08,7.522214851007902e-09
1893,3.941386639283451e-08,2.0938616229759788e-08
1894,3.150769734006076e-08,2.268554077922147e-08
1895,2.407445731655855e-08,1.0833506536300774e-08
1896,3.1843957581934035e-08,1.0024949259612725e-08
1897,2.0976168801922768e-08,1.8645483379486905e-08
1898,2.037007762467624e-08,1.4711722617910539e-08
1899,3.427098604902312e-08,1.6029977345510815e-08
1900,3.737558218475101e-08,1.3496738171525635e-08
1901,1.1177477665658131e-08,9.500856157362847e-09
1902,2.2587305914534284e-08,1.178468167495339e-08
1903,2.6461079549733313e-08,1.4580595175672784e-08
1904,3.6009986992269205e-08,1.8811188162715098e-08
1905,2.0126960098565405e-08,4.6446830825885854e-09
1906,2.572092172581364e-08,7.201858220895474e-09
1907,1.954280415272791e-08,7.714264949054694e-09
1908,2.8486056846688257e-08,7.858222739187681e-09
1909,3.355599975662926e-08,1.3752458727367411e-08
1910,2.9392828393426385e-08,6.412980813053082e-09
1911,2.3409645777405785e-08,9.044635929100764e-09
1912,2.3442395913342295e-08,5.209421227725386e-09
1913,2.9696742065432602e-08,4.242391771214216e-09
1914,3.750176436057018e-08,2.678697486047099e-09
1915,2.3561524287174507e-08,1.1780761921542648e-09
1916,2.5271162940043723e-08,1.0987462051303964e-09
1917,1.9739564316445524e-08,0.0
1918,6.89182577673364e-09,1.1486376294556067e-09
1919,2.5781975665495338e-08,2.762354567309444e-09
1920,3.104614920701465e-08,3.028892692213958e-09
1921,2.4232791995260072e-08,2.2718242842501013e-09
1922,3.172512152982421e-08,4.426761179843197e-09
1923,3.0786250437842e-08,6.369568872344189e-09
1924,2.3204923871311678e-08,1.2891624656674594e-08
1925,3.739380360912037e-08,6.598906754362588e-09
1926,3.343841403768977e-08,3.343841648018042e-09
1927,6.132073648856817e-08,3.3447675740205796e-09
1928,3.427812300671462e-08,4.570416489713125e-09
1929,1.782465064437133e-08,3.342121912552898e-09
1930,4.201441383688831e-08,4.201441416995522e-09
1931,2.737285687004487e-08,4.5621426636444085e-09
1932,3.1782656950696264e-08,1.0959536833610173e-08
1933,2.4088391503696016e-08,4.588264879146209e-09
1934,2.036868629318178e-08,1.1981580172459871e-09
1935,1.4361940969820353e-08,4.787313656606784e-09
1936,4.607391712596609e-08,9.699771652549316e-09
1937,2.0145788925951535e-08,2.5182236296217297e-09
1938,2.5930428471099276e-08,6.482607339819424e-09
1939,4.588215141154706e-09,3.058810094103137e-09
1940,1.77504799747652e-08,0.0
1941,2.3612020783048138e-08,8.854508237732261e-09
1942,1.517105907566929e-08,0.0
1943,3.774205836748479e-08,0.0
1944,3.534504777746861e-08,0.0
1945,1.5249528306782167e-08,2.178504043826024e-09
1946,2.7842207650508044e-08,1.3921104269343232e-09
1947,1.549713202209091e-08,3.5762612871081956e-09
1948,3.261566261514304e-08,1.0871887834440486e-09
1949,1.1780409536754632e-08,0.0
1950,3.6160230587611863e-08,6.381216888229346e-09
1951,2.985192459892261e-08,1.1727541604500402e-08
1952,1.3708245316657042e-08,4.2179215675730575e-09
1953,1.4005975268460702e-08,9.696444647211422e-09
1954,1.759056522665503e-08,3.9090144454689835e-09
