year,ses_DET orties_NOUN,ses_DET sorties_NOUN
1800,0.0,1.1004575384276905e-07
1801,0.0,1.0715321718812731e-07
1802,0.0,1.0517848636482086e-07
1803,0.0,9.166594594489652e-08
1804,0.0,7.662737999680758e-08
1805,0.0,1.449867568226182e-07
1806,0.0,8.645007198992971e-08
1807,0.0,1.1387820109121094e-07
1808,2.2660739951163578e-09,1.631573338656267e-07
1809,0.0,1.3780085539316644e-07
1810,2.3401267590372754e-09,1.1700633706368535e-07
1811,0.0,2.908209069119039e-07
1812,0.0,2.5071756937222744e-07
1813,0.0,1.7542024011163448e-07
1814,0.0,5.003216716481518e-07
1815,0.0,2.265667831125029e-07
1816,0.0,1.7845549393769033e-07
1817,0.0,2.1017791596023017e-07
1818,1.1921177378582115e-09,1.776255373897584e-07
1819,0.0,1.0351050372392478e-07
1820,0.0,7.119888323359191e-08
1821,0.0,5.226588939422072e-08
1822,0.0,1.0226128210888419e-07
1823,9.882686891060644e-10,1.3440453550117581e-07
1824,0.0,8.000057327706145e-08
1825,0.0,1.496925357002965e-07
1826,0.0,1.2947737682011962e-07
1827,0.0,7.189473016921966e-08
1828,9.172301251858528e-10,8.53024009761505e-08
1829,0.0,1.6117570567075745e-07
1830,0.0,9.497520947476801e-08
1831,0.0,1.4499821587854456e-07
1832,0.0,4.870788850031005e-08
1833,0.0,1.158362863407092e-07
1834,9.334530925997342e-10,1.3628415285182882e-07
1835,0.0,8.848812882433776e-08
1836,6.720750067579218e-10,7.527239942461961e-08
1837,4.174734336004349e-09,1.0019363272384396e-07
1838,1.8936485712828244e-09,1.287681041794997e-07
1839,0.0,9.648235899106794e-08
1840,1.2739377330817092e-09,1.3949617860831154e-07
1841,1.926164561183441e-09,2.00963165664092e-07
1842,1.341653010911159e-09,1.7441488964209384e-07
1843,5.906911071384968e-10,1.523983019779962e-07
1844,0.0,1.5861942603834223e-07
1845,0.0,1.2220699441289895e-07
1846,5.854501328173001e-10,9.718472515629628e-08
1847,5.393223645455691e-10,5.9325460988191026e-08
1848,8.045221711050488e-10,4.827133082141444e-08
1849,8.379414939696517e-10,3.603148401865042e-08
1850,0.0,5.634866795389826e-08
1851,0.0,7.610337604546658e-08
1852,0.0,6.901178073448477e-08
1853,0.0,1.5467303171590174e-07
1854,5.195664454227256e-10,9.663936051396149e-08
1855,5.306937111981824e-10,8.809515605889828e-08
