year,nos_DET ombres_NOUN,nos_DET sombres_ADJ
1800,9.432493897065797e-09,1.2576657937302116e-08
1801,0.0,2.3811825844433088e-09
1802,0.0,8.951360541686881e-09
1803,2.145373123596528e-08,1.950339267864365e-08
1804,1.4831105232815389e-08,1.9774807569206132e-08
1805,0.0,0.0
1806,5.76333825108577e-09,2.881669125542885e-09
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,6.798221985349073e-09,0.0
1809,0.0,0.0
1810,2.106114038724627e-08,2.3401267590372754e-09
1811,3.008491944456182e-08,0.0
1812,8.00162425207418e-09,5.3344164641089264e-09
1813,2.8757416448144113e-09,6.614205716459765e-08
1814,1.5733386149463513e-08,6.293354282149721e-09
1815,2.4275012222574333e-08,1.6183340889597275e-08
1816,2.3176038865813098e-09,4.6352077731626196e-09
1817,2.6466848268569265e-08,1.2454987263765815e-08
1818,2.98029441125891e-08,3.5763532135746345e-09
1819,1.1386155129855524e-08,9.315945348475907e-09
1820,1.6613074471649725e-08,2.3732962262101864e-09
1821,1.0847637232913598e-08,2.9584463767662328e-09
1822,2.606660132187244e-08,9.023054303725075e-09
1823,7.906149623870817e-09,1.4824030003524058e-08
1824,1.6000115010683658e-08,3.3684450784221553e-09
1825,5.6354835464844655e-08,1.3208164340028361e-08
1826,2.2019960965735663e-08,1.4092774947016551e-08
1827,1.7512819638909605e-08,8.295545750325317e-09
1828,3.118582370120748e-08,1.8344602503717056e-09
1829,2.2290258527846163e-08,4.286587973467704e-09
1830,2.400472176589119e-08,1.3567886369969528e-08
1831,5.6128342862393765e-08,3.1182412207897414e-09
1832,5.547287429408243e-08,1.352996914505411e-08
1833,3.0117434435261714e-08,6.950177322551099e-09
1834,2.240287422239362e-08,7.467624740797874e-09
1835,2.7227116561334697e-08,8.31939672707449e-09
1836,1.8818100855355624e-08,1.344150035720304e-08
1837,9.74104708006962e-09,6.262101948095733e-09
1838,2.7773513266993177e-08,1.64116205070286e-08
1839,2.1673573158409454e-08,1.8177836125232716e-08
1840,2.038300300766238e-08,7.0066574764382494e-09
1841,1.6051371787284552e-08,7.704658244733764e-09
1842,2.2137273791855705e-08,1.475818312002275e-08
1843,1.2995204246024628e-08,9.451057714215949e-09
1844,2.085653250105679e-08,4.9397050894128824e-09
1845,2.1204866307300563e-08,1.1160455670733427e-08
1846,1.5807154030156312e-08,8.196302303531411e-09
1847,5.3932236454556914e-09,2.6966118227278457e-09
1848,1.528592136201823e-08,1.6090443422100975e-09
1849,3.267971937503944e-08,1.0893239199560867e-08
1850,2.3761487000228954e-08,8.82569484161877e-09
1851,8.384270167027807e-09,7.739326512989919e-09
1852,1.0416872697760482e-08,5.859490670445666e-09
1853,3.1651238074914545e-08,7.763511611358354e-09
1854,1.506742641765868e-08,1.3508727469968562e-08
1855,2.5473298137512757e-08,9.021793090369101e-09
1856,1.6567005323153694e-08,5.177189066341015e-09
1857,1.513267827712994e-08,2.001418764052687e-08
1858,2.3000277904472455e-08,2.0064071293290908e-08
1859,1.9350258062544867e-08,6.619825132503365e-09
1860,1.0527523075509748e-08,7.323494255473406e-09
1861,2.546620425647461e-08,1.2733101684148096e-08
1862,3.1625905477783434e-08,6.776979422085105e-09
