year,des_DET sentiers_NOUN
1800,1.0249975943565914e-06
1801,1.107249950393907e-06
1802,9.891253966998192e-07
1803,1.0375804340156947e-06
1804,1.0406491917080984e-06
1805,1.2537090796627126e-06
1806,8.011040311117767e-07
1807,8.825560833258805e-07
1808,1.0514583195231353e-06
1809,1.0504492462537485e-06
1810,1.2215461806519556e-06
1811,1.2485242102400207e-06
1812,8.615082860430334e-07
1813,6.930537495009048e-07
1814,9.062430308404146e-07
1815,6.662142251201431e-07
1816,6.90645951095803e-07
1817,9.512496443875307e-07
1818,9.35812433766614e-07
1819,9.036466757095241e-07
1820,1.2459805631692689e-06
1821,8.964092730323614e-07
1822,1.0276256432462105e-06
1823,8.22239533349034e-07
1824,1.2909565239027643e-06
1825,1.0733834745479953e-06
1826,9.724014553569305e-07
1827,8.221807314967577e-07
1828,6.943432175887665e-07
1829,8.658907759695467e-07
1830,9.94630433126531e-07
1831,9.292358633672393e-07
1832,8.591530775703404e-07
1833,1.1792133847166042e-06
1834,9.847930222406376e-07
1835,1.182866981253028e-06
1836,1.1116120717247213e-06
1837,9.059174246317525e-07
1838,1.0257262967883207e-06
1839,9.634252933210519e-07
1840,1.08029920298236e-06
1841,9.63082285920791e-07
1842,9.619652185932637e-07
1843,8.151537489453631e-07
1844,8.825606485629578e-07
1845,9.263178348817291e-07
1846,8.963241331372274e-07
1847,9.017470130601168e-07
1848,7.554462957415353e-07
1849,1.0239645256149288e-06
1850,7.814134495021108e-07
1851,9.345236691160608e-07
1852,7.936354897708497e-07
1853,8.898178673888424e-07
1854,9.471696138518837e-07
1855,9.048327598293326e-07
1856,8.128186959055483e-07
1857,8.547522618584935e-07
1858,1.0090759392511472e-06
1859,1.1218057665018932e-06
1860,1.1214100386069958e-06
1861,1.054961114022035e-06
1862,9.65041845546466e-07
1863,9.929305662126353e-07
1864,8.592152695996447e-07
1865,8.462906375683588e-07
1866,7.872561980093451e-07
1867,8.240073832155304e-07
1868,8.170551772934687e-07
1869,9.723086353830013e-07
1870,8.755892402234622e-07
