year,trois_DET heures_NOUN,trois_DET soeurs_NOUN
1800,9.856955287546043e-06,9.432493897065797e-09
1801,9.384240911458619e-06,4.7623651688866175e-09
1802,9.269133414591124e-06,6.713520406265161e-09
1803,9.104183050112624e-06,1.3652374786232713e-08
1804,8.589682451543013e-06,1.9774807569206132e-08
1805,8.889678269952128e-06,3.4114531644036106e-08
1806,1.0846603032632629e-05,1.152667650217154e-08
1807,1.2372866692089701e-05,2.2775641372874134e-08
1808,9.277306730837154e-06,3.172503681980743e-08
1809,1.0079793923978286e-05,1.8072244145628247e-08
1810,8.950984771161075e-06,9.360507036149102e-09
1811,9.093167463447571e-06,2.0056614147279106e-08
1812,9.532602007311652e-06,1.3336041604361526e-08
1813,1.2227653648722026e-05,8.627225156487839e-09
1814,1.5019089715906375e-05,1.2586708564299443e-08
1815,1.3262248103274032e-05,1.0788894222457657e-08
1816,1.070964712823752e-05,6.952811659743929e-09
1817,9.571657415108348e-06,1.556873407970727e-09
1818,1.2228743941022913e-05,9.536941902865692e-09
1819,8.21769864955968e-06,6.210630232317271e-09
1820,1.1775109499012615e-05,1.1866481131050932e-09
1821,1.0245100057204581e-05,9.861488070583846e-09
1822,1.027826131405618e-05,9.023054303725075e-09
1823,1.3750770122555878e-05,1.0870955580166708e-08
1824,1.0825339998632444e-05,5.894778887238772e-09
1825,1.1736774709447673e-05,4.402721520690989e-09
1826,1.2693186519641131e-05,8.807984452907647e-09
1827,1.092984237516248e-05,5.530363722527909e-09
1828,1.0564656321321308e-05,5.503380862137419e-09
1829,9.72541131716298e-06,7.715858563184241e-09
1830,1.1836415069410577e-05,8.349468894053302e-09
1831,1.0812501599843927e-05,3.1182412207897414e-09
1832,1.0767149689172584e-05,2.705993873419743e-09
1833,1.278485049738265e-05,9.266902467608418e-09
1834,1.3690023052959077e-05,2.8003592777992026e-09
1835,1.218035293959474e-05,9.832014313815307e-09
1836,1.0187312710741026e-05,8.736974865808378e-09
1837,1.067966670120768e-05,3.478945576063097e-09
1838,1.0738249898167851e-05,1.8936485712828244e-09
1839,9.9558610315853e-06,6.29232765891885e-09
1840,1.0751397084618475e-05,4.458782232319436e-09
1841,1.1331626382116156e-05,1.0914932957462042e-08
1842,1.1548949174766676e-05,1.0062398025922903e-08
1843,9.265580956707709e-06,4.725528912619126e-09
1844,8.643935586860607e-06,3.293136763282689e-09
1845,8.611965597538074e-06,3.9061593959388574e-09
1846,1.0412230437850667e-05,4.6836012845830055e-09
1847,1.0366854752419385e-05,4.853901280910122e-09
1848,1.095115575822092e-05,8.045221711050488e-10
1849,1.1821678725709717e-05,1.0893239643650077e-08
1850,1.0781604231624442e-05,2.7155984128057753e-09
1851,1.0807969516690719e-05,9.674157919192794e-09
1852,1.0607631594439226e-05,5.859490892490271e-09
1853,1.1411167477604067e-05,5.971931837933653e-10
1854,1.0939990886527085e-05,3.117398783558656e-09
1855,1.1208781785398969e-05,1.0613874223963649e-09
1856,1.0352825086101802e-05,5.177189066341015e-09
1857,1.2129085320111699e-05,4.881509030330022e-09
1858,1.1808439921878744e-05,6.851146261421803e-09
1859,1.0826978524391961e-05,3.055304009791371e-09
1860,1.2147388105177015e-05,3.66174721100343e-09
1861,1.1575332962365792e-05,6.602349278406194e-09
1862,1.24240104639739e-05,4.517986262886353e-09
1863,1.10341167101069e-05,2.9967724968216203e-09
1864,1.0369557884359892e-05,5.753673426589501e-09
1865,1.0859631515813817e-05,1.882737743486018e-09
1866,1.091843569156481e-05,4.379051787850585e-09
1867,1.0138493848899088e-05,1.067618526917613e-08
1868,1.2719681592443521e-05,5.4338614718929534e-09
1869,1.1870858088514069e-05,5.8602228625304065e-09
1870,1.1292062083612109e-05,3.4404292748035914e-09
1871,1.7397487994230687e-05,6.37270636261178e-09
1872,1.3994148247320481e-05,1.2094679036067646e-08
1873,1.224018222956147e-05,5.387403856360606e-09
1874,1.3902317874681103e-05,5.974609251779839e-09
1875,1.2496387427063382e-05,5.721527140956084e-09
1876,1.1298188098862738e-05,4.836811839936672e-09
1877,1.0896408753069409e-05,9.277223989023753e-09
1878,1.0093732612403983e-05,9.662541766708443e-09
1879,1.0636335474600855e-05,1.038585284440785e-08
1880,1.054131249134116e-05,1.9253538763308597e-09
1881,1.1499756908506242e-05,9.064259787194828e-09
1882,1.1485863979032729e-05,7.986462158271479e-09
1883,1.1408302327708952e-05,3.1596694705093853e-09
1884,1.1921344651000254e-05,5.281357573494461e-09
1885,1.1627926880919404e-05,5.80107206715752e-09
1886,1.1299369788275726e-05,5.162771099520569e-09
1887,1.219994845769179e-05,3.264462256069578e-09
1888,1.1961569526874882e-05,3.804368819970705e-09
1889,1.1510935536307443e-05,6.265136742733546e-09
1890,1.1497048916453423e-05,7.865263995654459e-09
1891,1.1599805645801098e-05,1.7210394442912502e-08
1892,1.1012522634246125e-05,5.641661138255927e-09
1893,1.1470666805735164e-05,4.926733243593162e-09
1894,1.1673601079564833e-05,8.192001299534013e-09
1895,1.250006002351256e-05,4.213030146971164e-09
1896,1.1283374988124706e-05,5.89702897624278e-09
1897,1.144541360531548e-05,1.1070755534525745e-08
1898,1.0542080843833901e-05,9.053367944211743e-09
1899,1.0941841708245192e-05,7.738609753005221e-09
1900,1.0165638968828716e-05,7.78657960331941e-09
1901,9.803206893366223e-06,1.2854099118442264e-08
1902,9.346234151053068e-06,4.91028390170456e-09
1903,9.820840773500095e-06,8.100330406435319e-09
1904,9.518461126845068e-06,7.524475265086039e-09
1905,9.860662686378419e-06,4.128607344888735e-09
1906,9.404598529272334e-06,5.144184356264958e-09
1907,9.133690127782756e-06,6.1714121590839e-09
1908,9.447547711260995e-06,4.911389073214423e-09
1909,9.535954831108029e-06,7.151278680339601e-09
1910,9.820411293048892e-06,9.61947110855732e-09
1911,9.215420220698434e-06,1.968538432262079e-08
1912,8.994586437438556e-06,1.3023553346869221e-08
1913,9.52841219259426e-06,7.424185433091424e-09
1914,9.49330348021249e-06,1.1384463982633264e-08
1915,1.076054834925344e-05,8.246533123035249e-09
1916,1.0151316217843487e-05,4.394984820521586e-09
1917,1.1125437481496192e-05,1.8642921539857582e-08
1918,9.333829694924134e-06,1.2635013924011673e-08
1919,8.306400019364446e-06,1.289098744416961e-08
1920,7.330677476602432e-06,6.057785384427916e-09
1921,7.668163931384697e-06,8.330022505109724e-09
1922,7.50114716652206e-06,1.1804696498085576e-08
1923,6.727326336886108e-06,1.0615948120573648e-08
1924,7.136803276353021e-06,1.289162443462999e-09
1925,7.042133432832998e-06,9.898360353588487e-09
1926,6.989743638996515e-06,2.0063049888108253e-08
1927,8.318436385934547e-06,6.689535148041159e-09
1928,7.271532552977078e-06,3.4278123672848437e-09
1929,7.615581893105627e-06,6.684243825105796e-09
1930,7.1382488897597796e-06,6.302162347537887e-09
1931,6.990343052848402e-06,1.3686427990933225e-08
1932,7.074380818039572e-06,5.4797681947604815e-09
1933,6.671337303032487e-06,9.176529536247813e-09
1934,6.188486224800727e-06,1.4377896206951846e-08
1935,6.26659343083702e-06,9.574627313213568e-09
1936,6.1642049615784344e-06,1.2124714565686645e-08
1937,6.643073760415064e-06,5.036447148221157e-09
1938,6.2894257268908405e-06,1.2965214679638848e-08
1939,6.059502794641958e-06,1.3764645423464117e-08
1940,5.198355040647584e-06,4.5644094059937856e-08
1941,6.351633459189543e-06,1.7709016475464523e-08
1942,6.86338714217527e-06,2.4273694165799498e-08
1943,6.648408799492245e-06,8.709705845433291e-09
1944,6.770183460957924e-06,3.8558232162699824e-08
1945,6.546404421214902e-06,2.178503999417103e-08
1946,7.0844499475697376e-06,1.2528993842408909e-08
1947,6.939139154837903e-06,9.53669654357725e-09
1948,6.37744932419082e-06,1.8482208874459616e-08
1949,5.94125336306206e-06,1.5707213196769487e-08
1950,6.1525564660769305e-06,9.571825110299415e-09
1951,6.422428526775548e-06,1.7058243040324328e-08
1952,5.948323746451933e-06,1.898064705407876e-08
1953,5.9396109008957865e-06,2.154765532669245e-08
1954,5.921179791812392e-06,1.661331139324318e-08
1955,6.10064509487529e-06,7.508486277174597e-09
1956,6.305385312543876e-06,7.849027650053131e-09
1957,5.379654282933188e-06,1.1485549233913872e-08
1958,5.878256018831962e-06,1.6544486669545222e-08
1959,5.572787614482877e-06,1.162612162097787e-08
1960,6.1927618446588895e-06,1.7994165935064643e-08
1961,5.8260314403923985e-06,1.4591134134267492e-08
1962,6.371129501303585e-06,1.2049717224016376e-08
1963,5.812335245991562e-06,1.1638895958121509e-08
1964,5.608810283774801e-06,9.734349104562057e-09
1965,5.3456390958217526e-06,5.472043540510896e-09
1966,6.096859578974545e-06,1.3293779743683842e-08
1967,5.8552666359901195e-06,1.3804939136274896e-08
1968,6.129884269512331e-06,8.533690143419648e-09
1969,6.131827092303865e-06,1.3625273020956286e-08
1970,5.357974345088223e-06,2.0694263469511753e-08
1971,5.307450919644907e-06,1.644287195290417e-08
