year,nos_DET airs_NOUN,nos_DET serres_NOUN
1800,3.772997558826319e-08,2.263798393187244e-07
1801,6.191074786165984e-08,9.762848662830947e-08
1802,4.475680270843441e-09,2.9091921760482364e-07
1803,7.021221204439598e-08,3.0815360219094146e-07
1804,8.404293261321527e-08,4.5976426576999074e-07
1805,1.8762992382015398e-07,1.1371511021707192e-07
1806,1.2391177506287931e-07,5.76333825108577e-08
1807,3.131650672116848e-08,9.394951661079176e-08
1808,7.478043961839376e-08,9.064295625194063e-08
1809,1.8072244145628247e-08,9.03612189517844e-08
1810,6.786367467981336e-08,6.31834211617388e-08
1811,4.763445815569867e-08,5.26486132912396e-07
1812,2.9339290108509886e-08,1.3069320914382843e-07
1813,5.463909147351842e-08,8.052076339026826e-08
1814,3.461344899591268e-08,1.7621391634747852e-07
1815,8.091670444798638e-09,1.726223075593225e-07
1816,9.270415546325239e-09,8.134789482028282e-07
1817,8.095742032310227e-08,3.970027080413274e-07
1818,3.099506074022429e-08,2.682265005660156e-07
1819,1.0040518816367694e-07,2.1944225636616466e-07
1820,5.93324074316115e-08,3.666742713903659e-07
1821,5.719663320746804e-08,1.0255947557880063e-07
1822,5.413832582235045e-08,1.303330066093622e-07
1823,2.8659792761231984e-08,1.2649839220557624e-07
1824,3.621078548121659e-08,1.515800249762833e-07
1825,6.95629991387392e-08,2.1661389837390743e-07
1826,4.4039921931471326e-08,1.4797413427913853e-07
1827,3.3182182335167454e-08,1.2996355280847638e-07
1828,4.769596628761974e-08,1.201571393494305e-07
1829,3.172075158097698e-08,2.083281742670806e-07
1830,9.706257486641334e-08,1.6907674194044375e-07
1831,5.1450980143030733e-08,2.307498476739056e-07
1832,3.111892965534935e-08,1.93478555843285e-07
1833,3.8225973497674204e-08,2.664234557414602e-07
1834,8.681113605746305e-08,3.929837646410306e-07
1835,5.52105419160398e-08,2.336994100460288e-07
1836,3.1587525484155776e-08,1.9355759661721095e-07
1837,1.8090515530033713e-08,2.8805669671783107e-07
1838,4.86036455527028e-08,2.2786905162774929e-07
1839,5.593180230079042e-08,2.405067505151237e-07
1840,4.58617570586739e-08,1.5096162542249658e-07
1841,5.3290552415319326e-08,8.038526857490069e-07
1842,1.8783141708667017e-08,1.6032753080708062e-07
1843,3.839492035417891e-08,1.4412863436064072e-07
1844,4.390849023261367e-08,2.4643640017529833e-07
