year,pourrions_VERB avoir_VERB,pourrions_VERB savoir_VERB
1800,1.4463157071986643e-07,9.432493897065797e-09
1801,1.8096987730586989e-07,0.0
1802,1.5888664961494214e-07,2.6854081625060644e-08
1803,1.1507001573818343e-07,9.751696339321825e-09
1804,2.0516363008482585e-07,0.0
1805,1.051864728651708e-07,1.9900143755080535e-08
1806,1.4696512096179504e-07,0.0
1807,7.971474502710407e-08,8.540865792383556e-09
1808,1.1330369886763947e-07,0.0
1809,1.1521055398588942e-07,4.518061036407062e-09
1810,1.591286178381779e-07,4.680253518074551e-09
1811,1.42903374467096e-07,0.0
1812,8.535066342574282e-08,0.0
1813,1.6391727797326894e-07,0.0
1814,7.866692897096073e-08,0.0
1815,8.90083740046066e-08,1.6183340889597275e-08
1816,1.3442102897442965e-07,1.1588019432906549e-08
1817,2.740097215792048e-07,7.784366928831332e-09
1818,1.7047283051851991e-07,1.9073883805731384e-08
1819,2.0598589856035687e-07,5.175524897538253e-09
1820,3.393813585716998e-07,7.119888678630559e-09
1821,2.2188348225427035e-07,7.88919063410276e-09
1822,2.095353721642823e-07,3.0076847679083585e-09
1823,1.877710502640184e-07,6.917880934764753e-09
1824,2.0126459787661588e-07,2.863178316658832e-08
1825,2.1133062944045378e-07,4.4027217427355936e-09
1826,2.0346443818652915e-07,1.4973572604048968e-08
1827,2.166059118735575e-07,1.8434546111834038e-09
1828,1.9353555558154767e-07,2.7516904310687096e-09
1829,1.6546229630876041e-07,2.571952872898464e-09
1830,1.5237780814914004e-07,7.305785310052215e-09
1831,7.483778574624012e-08,2.0268567268999504e-08
1832,1.3665268738805025e-07,0.0
1833,1.633291617508803e-07,1.2741991461950875e-08
1834,1.4655213931291655e-07,4.667265685043276e-09
1835,2.5563235794834327e-07,1.4369867074037757e-08
1836,1.98262128492388e-07,8.064899859050456e-09
1837,1.5794412888681109e-07,9.045257876039159e-09
1838,1.8936485446374718e-07,5.049729523420865e-09
1839,1.4542268900186173e-07,4.194885327990505e-09
1840,1.726185558936777e-07,1.0191501864653674e-08
1841,1.3868384485249408e-07,9.630822361827995e-09
1842,1.0800306426972384e-07,1.8783142152756227e-08
1843,1.5712383572008548e-07,2.3036953678001737e-08
1844,2.0143019696661213e-07,3.1833653935109396e-08
1845,1.5010813569915626e-07,2.2320911785556063e-09
1846,1.5221704074974696e-07,1.2294452567118697e-08
1847,1.2134752580550412e-07,2.6966118227278457e-09
1848,1.504456434986423e-07,4.82713291560799e-09
1849,1.6339859598701878e-07,4.1897072478036534e-09
1850,2.3693596062912547e-07,4.752297222410107e-09
1851,1.92838214729818e-07,5.8044946626978344e-09
1852,1.2695564066689258e-07,9.114764054629632e-09
1853,1.4272917780999705e-07,2.388772735173461e-09
1854,2.1354181001242978e-07,1.1430461910322265e-08
