year,moins_ADV eu_VERB,moins_ADV su_VERB
1800,2.6096566330124915e-07,8.174827570428533e-08
1801,2.7383600809116615e-07,5.476719877606229e-08
1802,1.6112448975036386e-07,6.713520406265161e-08
1803,2.3014003147636686e-07,1.0726865440346955e-07
1804,2.1505103120489366e-07,5.19088700912107e-08
1805,2.899735136452364e-07,3.4114531644036106e-08
1806,2.1612518708025164e-07,4.610670600868616e-08
1807,1.7651122163897526e-07,3.701041606518629e-08
1808,2.0621273222332093e-07,4.5321478125970316e-08
1809,3.185232912983338e-07,4.0662548883574345e-08
1810,3.697400359214953e-07,2.574139479349924e-08
1811,1.1281845502253418e-07,3.5099073869560016e-08
1812,3.6007310200147913e-07,6.668020802180763e-08
1813,4.3998846877002507e-07,3.738464116054274e-08
1814,1.3530711839848664e-07,9.440030979135372e-09
1815,2.6702514333010186e-07,4.045835311217161e-08
1816,2.711596494009427e-07,3.476405652236281e-08
1817,2.771234619558527e-07,4.3592454090912724e-08
1818,3.039900207113533e-07,5.6029534789558966e-08
1819,3.094963858529809e-07,3.726378139390363e-08
1820,2.480094565271429e-07,5.3399165977907614e-08
1821,3.2444296493849833e-07,5.719663320746804e-08
1822,1.804610860745015e-07,5.6143449000956025e-08
1823,2.401492906756175e-07,4.842516432290722e-08
1824,2.896862838497327e-07,4.29476756380609e-08
1825,2.3686641270614928e-07,9.15766094067294e-08
1826,2.483851631041034e-07,3.082794464148719e-08
1827,2.414925575067173e-07,2.7651818612639545e-08
1828,3.6322313690106967e-07,4.586150481600271e-08
1829,2.5290870553362765e-07,4.372319750700626e-08
1830,3.1101771469366213e-07,4.5922078584226256e-08
1831,2.68168747652453e-07,3.897801548191637e-08
1832,2.92247335664797e-07,2.570694235259907e-08
1833,2.108220371610514e-07,3.01174338801502e-08
1834,2.7630210297502344e-07,4.667265329771908e-08
1835,2.3823727701710595e-07,1.5882484660778573e-08
1836,2.1775230152343283e-07,2.9571300075303952e-08
1837,2.3726407505364477e-07,3.061472142462662e-08
