year,mes_DET airs_NOUN,mes_DET serres_NOUN
1800,9.432493452976587e-09,0.0
1801,3.333655596016172e-08,4.7623651688866175e-09
1802,2.2378401354217203e-08,0.0
1803,3.1205427575287104e-08,1.950339223455444e-09
1804,5.19088700912107e-08,2.4718509461507665e-09
1805,1.7057266488151868e-08,0.0
1806,8.068673551520078e-08,5.76333825108577e-09
1807,0.0,8.540865792383556e-09
1808,6.798222074166915e-08,9.064295980465431e-09
1809,1.1295152813062259e-08,0.0
1810,6.552354792077608e-08,0.0
1811,5.515568801683912e-08,4.262030373070047e-08
1812,1.0668832928217853e-08,0.0
1813,4.313612333994854e-08,0.0
1814,2.5173417128598885e-08,1.8880061958270744e-08
1815,1.0788894222457657e-08,2.697223555614414e-09
1816,1.8540831092650478e-08,6.952811659743929e-09
1817,1.5568733857662664e-08,9.341240669868967e-09
1818,0.0,5.960588467246453e-09
1819,4.140420006848444e-09,6.210630232317271e-09
1820,3.678609061807947e-08,8.306536791735653e-09
1821,2.465372084259343e-08,3.94459531705138e-09
1822,1.0025615893027862e-08,2.0051231786055723e-08
1823,2.9648061450338048e-08,2.9648061783404955e-09
1824,2.6105450245950124e-08,1.0105335235266466e-08
1825,1.496925317034936e-08,1.4088708866211164e-08
1826,1.76159691278599e-08,1.7615968683770689e-09
1827,1.3825909916942436e-08,1.013900075008678e-08
1828,2.2013523448549677e-08,1.1923991571904935e-08
1829,2.0575622983187714e-08,6.858540846366168e-09
1830,2.2961039292113128e-08,3.1310507520032616e-09
1831,9.354723218280014e-09,9.354723218280014e-09
1832,2.5706942574643676e-08,1.352996914505411e-08
1833,2.548398292390175e-08,1.2741991461950875e-08
1834,5.600718555598405e-09,2.5203233278148218e-08
1835,1.663879345414898e-08,4.5378527602224494e-09
1836,2.419469957715137e-08,0.0
1837,7.653680356156656e-09,6.957891152126194e-09
1838,1.7042836475411605e-08,3.1560809521380406e-09
1839,6.9914749545318955e-09,3.4957374772659477e-09
1840,3.184844388215424e-08,9.554533164646273e-09
1841,1.733548060656176e-08,8.346713542550788e-09
1842,7.379091560011375e-09,2.0124795163667386e-09
1843,2.4218335781256428e-08,8.860366662588604e-09
1844,4.390849017710252e-09,6.586273748609983e-09
1845,1.0602432709561072e-08,1.0602432709561072e-08
1846,9.367202125076801e-09,4.0981511517657054e-09
1847,6.47186837454683e-09,7.011190739092399e-09
1848,1.528592186161859e-08,1.850401076808339e-08
1849,6.703531951757213e-09,6.703531951757213e-09
1850,2.1045888587423178e-08,0.0
1851,5.804494884742439e-09,1.4188765717904062e-08
1852,1.3021090872200602e-08,1.1067927019325907e-08
1853,2.20961471342207e-08,1.851298847554972e-08
1854,3.013485283531736e-08,1.6626126253527218e-08
1855,2.812676669350367e-08,2.0166361025530932e-08
1856,2.8992259260007813e-08,1.346069211649592e-08
1857,1.6597130780837688e-08,4.881508974818871e-09
1858,7.829881809584549e-08,2.4468379322684086e-08
1859,3.360834455179429e-08,2.1387128512628806e-08
1860,1.876645361331697e-08,1.5104706818647173e-08
1861,1.7920661843362495e-08,1.131831339762357e-08
1862,2.5300723294208183e-08,5.873382225018986e-09
1863,1.9479021062807078e-08,1.1987090431375691e-08
1864,8.151037178549814e-09,1.342523781033833e-08
1865,1.3179164537469035e-08,6.118897832863013e-09
1866,3.503241252644784e-08,1.556996132023869e-08
1867,1.5043715606566366e-08,5.82337378318698e-09
1868,1.2349684830326169e-08,5.927848767406374e-09
