year,leurs_DET âges_NOUN,leurs_DET ages_NOUN,leurs_DET sages_NOUN
1800,8.174827570428533e-08,0.0,1.3205490612122617e-07
1801,1.523956829618811e-07,0.0,7.857902506458458e-08
1802,1.2308120744819462e-07,0.0,1.7902721083373763e-07
1803,1.014176405078615e-07,0.0,2.4574274704036725e-07
1804,6.426812149129546e-08,0.0,2.0269178335752258e-07
1805,3.695740957709859e-08,0.0,1.5067251601941223e-07
1806,9.50950811429152e-08,0.0,1.4696512717904398e-07
1807,1.1957211620838848e-07,5.693910232196231e-09,1.594294829487808e-07
1808,4.078933102391602e-08,0.0,2.9458962025330493e-07
1809,6.325285539787728e-08,2.259030518203531e-09,1.9879469270733807e-07
1810,1.0062544930633521e-07,2.3401267590372754e-09,9.828532210320873e-08
1811,3.008492122091866e-08,0.0,1.2033968133096096e-07
1812,4.5342538612658245e-08,0.0,1.413620380752434e-07
1813,1.3228410944421398e-07,5.751483289628823e-09,2.5594101238368694e-07
1814,8.810695728556084e-08,0.0,2.265607599305497e-07
1815,4.315557688983063e-08,2.697223555614414e-09,1.2137506200105008e-07
1816,7.184571870766376e-08,4.6352077731626196e-09,1.274682119856152e-07
1817,1.1987924608547473e-07,0.0,1.728129490619068e-07
1818,6.675859509641668e-08,0.0,2.1577331299482694e-07
1819,5.6930774094965386e-08,3.1053151161586356e-09,1.7182742784171978e-07
1820,9.730514527461764e-08,0.0,1.1747816586193949e-07
1821,8.776724769177235e-08,2.9584463767662328e-09,7.889190412058156e-08
1822,8.622029668003961e-08,0.0,1.8647645561031823e-07
1823,4.941343334508019e-08,0.0,1.413224177682082e-07
1824,6.652679118701599e-08,0.0,9.600068295867459e-08
1825,5.28326600246487e-08,8.805443041381977e-10,1.717061361983241e-07
1826,4.051672597427114e-08,0.0,7.751026132041261e-08
1827,5.1616730445402936e-08,0.0,1.1982454672931908e-07
1828,6.145441955318631e-08,0.0,1.761081828144384e-07
1829,6.858540757548326e-08,6.001223296081548e-09,1.285976454767912e-07
1830,5.740259823028282e-08,1.0436835840010872e-09,1.0228099434073101e-07
1831,7.639690635663499e-08,0.0,1.1537492694557727e-07
1832,1.0418076623608385e-07,0.0,1.0282776641279412e-07
1833,6.139323061038482e-08,1.1583628500844156e-09,9.961920821588421e-08
1834,2.8003592333902816e-08,1.8669061851994684e-09,7.00089837213369e-08
1835,8.016873209726327e-08,1.5126175867408165e-09,1.6487532406017635e-07
1836,4.771732697861353e-08,4.704525213838906e-09,8.132107925939991e-08
1837,3.409366655660051e-08,2.0873671680021744e-09,1.1202204475146971e-07
1838,2.20925673311001e-08,6.312161904276081e-10,9.973215675529445e-08
1839,4.544458864774725e-08,0.0,8.949088414755835e-08
1840,6.051204193280313e-08,1.2739377330817092e-09,1.350374047026648e-07
1841,5.585877183023058e-08,0.0,1.2199042087601697e-07
1842,5.702025163145663e-08,4.695785538189057e-09,1.2477373312336226e-07
1843,7.738053264816358e-08,0.0,1.6834696248135828e-07
1844,4.335963410539989e-08,2.195424508855126e-09,1.1855292048057464e-07
1845,3.9061596290856926e-08,5.580227946389016e-10,1.3727360870241512e-07
1846,5.795956425913573e-08,2.9272506640865004e-09,1.0889372648037465e-07
1847,6.25613978399997e-08,5.393223645455691e-10,1.0462853694548357e-07
1848,6.757986170669028e-08,0.0,1.0297883701326782e-07
1849,6.619738002200393e-08,1.6758829879393033e-09,7.792856226984668e-08
1850,3.59816780814981e-08,1.3577992064028876e-09,8.825694752800928e-08
1851,6.642921590582773e-08,6.449438760824933e-10,8.319775934850782e-08
1852,9.114763432904738e-08,4.557382027314816e-09,1.1263243493431219e-07
1853,5.315019468987714e-08,5.971931837933653e-10,9.316213800403261e-08
1854,5.2995775989828076e-08,2.0782657816909023e-09,9.819805701916096e-08
1855,7.641989796525195e-08,5.306937111981824e-10,7.323573569806285e-08
1856,5.90199555894344e-08,3.6240323519898254e-09,1.0613237788614782e-07
1857,6.19951672220509e-08,1.464452725752352e-09,1.0251169252351033e-07
1858,8.5149962414377e-08,2.4468380099840203e-09,1.0717150666916808e-07
1859,6.314294864750991e-08,1.9350258062544867e-08,1.0540799166847137e-07
1860,8.05584373375634e-08,1.876645328025006e-08,1.3319605374206844e-07
1861,1.0752397283653181e-07,2.3579819208308095e-09,1.1318312909125439e-07
1862,3.56920929478477e-08,4.066187719864445e-09,8.267915174720031e-08
1863,5.6439216855608265e-08,0.0,1.1687412665439822e-07
1864,9.877139317548966e-08,1.4384183844029508e-09,8.82229950205371e-08
1865,6.495444893062086e-08,1.8827377989971694e-09,9.366620545847582e-08
1866,6.568577193277747e-08,2.432806400776144e-09,8.563479036993726e-08
1867,6.163070587206221e-08,4.85281148598915e-10,9.705623149613984e-08
1868,7.607405905218911e-08,1.975949626142892e-09,6.965222743016142e-08
1869,8.008971619233307e-08,1.4650557433881772e-09,7.32527843938513e-08
1870,4.9312818273250514e-08,1.7202146374017957e-09,8.658413408468846e-08
1871,2.973929724703339e-08,0.0,4.460894587055009e-08
1872,5.865918950576088e-08,1.2094678591978436e-09,5.261185032079396e-08
1873,4.0704829895599204e-08,1.7958012854535355e-09,6.405024910449697e-08
1874,6.094101401288299e-08,0.0,4.9589254647042225e-08
1875,6.522540996201087e-08,5.721527140956084e-10,9.211658891228325e-08
1876,4.5949712923487596e-08,6.04601479992084e-10,9.855004190484351e-08
1877,3.587193120324628e-08,6.184815992682502e-10,8.349501889881594e-08
