year,vos_DET âges_NOUN,vos_DET sages_NOUN
1800,4.4018303668735825e-08,3.772997381190635e-08
1801,4.7623651688866175e-09,1.6668277424969347e-08
1802,4.475680270843441e-09,2.2378401354217203e-08
1803,1.1702034896643454e-08,4.4857801695386e-08
1804,9.887403562558461e-09,1.4831105898949204e-08
1805,2.842877711017877e-09,3.695740957709859e-08
1806,2.881669125542885e-09,0.0
1807,4.27043254092041e-08,8.540865792383556e-09
1808,4.5321479902327155e-09,2.2660739062985158e-08
1809,2.4849335034105025e-08,9.036122072814123e-09
1810,7.020380277111826e-09,1.8721013628208993e-08
1811,2.0056614147279106e-08,5.0141533147751716e-08
1812,5.3344164641089264e-09,5.601137331723294e-08
1813,1.4378708002027452e-08,1.7254449646841863e-08
1814,6.293354282149721e-09,6.922689976818219e-08
1815,0.0,5.664169577812572e-08
1816,0.0,2.3176038865813098e-08
1817,1.556873407970727e-09,6.071806424312598e-08
1818,2.741870730460505e-08,1.9073883805731384e-08
1819,3.415846561161118e-08,9.315945126431302e-09
1820,9.374520004712394e-08,1.3053129244156025e-08
1821,1.1833785507064931e-08,5.423818549843418e-08
1822,4.6117833107928163e-08,1.1028177482330648e-08
1823,3.9530747564242574e-09,3.755420863171821e-08
1824,1.6842225392110777e-09,2.0210670470532932e-08
1825,6.163809906922779e-09,3.169959583715354e-08
1826,5.284790383086602e-09,1.5854371593349015e-08
1827,1.8434546111834038e-09,1.382590963938668e-08
1828,1.834460228167245e-08,1.1923991849460691e-08
1829,8.573175946935407e-09,7.715858174606183e-09
1830,0.0,3.757260902403914e-08
1831,1.5591206548037917e-08,1.5591205659859497e-08
1832,2.976593194148336e-08,1.2176972319366541e-08
1833,9.266902800675325e-09,5.791814250422078e-09
1834,3.733812370398937e-09,1.5868701908061666e-08
1835,7.563087933704082e-09,3.327758690829796e-08
1836,3.36037508930076e-09,9.4090498725663e-09
1837,3.478945576063097e-09,1.8090515530033713e-08
1838,3.787297142565649e-09,1.1361891205652341e-08
1839,1.3982949909063791e-08,1.4682098203877558e-08
1840,7.64362617644565e-09,2.165694201750057e-08
1841,3.852329122366882e-09,1.7977535460289573e-08
1842,8.720745015011744e-09,3.018719274550108e-08
1843,1.9492807368237663e-08,3.0125246408552186e-08
1844,7.135129875823765e-09,2.140538946093784e-08
1845,7.254296274794569e-09,7.2542965523503256e-09
1846,4.0981511517657054e-09,1.0538102834800611e-08
1847,6.310071398729633e-08,4.314578916364553e-09
1848,1.448139919091318e-08,8.04522137798358e-09
1849,8.379414939696517e-10,1.005529792763582e-08
1850,2.5798184921654865e-08,1.765139057141596e-08
1851,5.159551008659946e-09,1.4188765273814852e-08
1852,3.1250618093281446e-08,2.0833746283699384e-08
1853,1.2541057081705276e-08,1.0749477752369785e-08
1854,1.714569253241649e-08,3.117398783558656e-09
1855,1.539011762474729e-08,1.2205955357558196e-08
1856,1.9155599773057475e-08,1.86378817934596e-08
1857,7.322263739784063e-09,1.7085282077999864e-08
1858,2.300027723833864e-08,6.851146261421803e-09
1859,8.147477359443656e-09,1.1202781813324236e-08
1860,3.204028820036342e-09,1.785101710893855e-08
1861,1.2733101534267988e-07,1.5562680311109744e-08
1862,1.400575744270327e-08,1.536115368239166e-08
