year,devais_VERB avoir_VERB,devais_VERB savoir_VERB
1800,9.432493186523061e-08,3.144164484325529e-09
1801,6.667310969987739e-08,1.4287095950749062e-08
1802,9.622712582313397e-08,1.1189200677108602e-08
1803,3.1205427575287104e-08,1.1702034896643454e-08
1804,1.2359254242255702e-07,4.943701892301533e-09
1805,2.842877755426798e-08,8.528632911009026e-09
1806,6.627838899930794e-08,5.4751712497136396e-08
1807,1.9928686256776018e-08,8.540865792383556e-09
1808,2.039466551195801e-08,4.5321479902327155e-09
1809,2.9367397402779716e-08,2.0331274441787173e-08
1810,6.786367379163494e-08,2.3401267590372754e-09
1811,4.262030373070047e-08,3.760615285841595e-08
1812,1.440292436427626e-07,5.3344164641089264e-09
1813,7.764502640839055e-08,8.627225156487839e-09
1814,6.293354459785405e-08,0.0
1815,9.979726911524267e-08,2.697223555614414e-09
1816,7.879853569647821e-08,2.3176038865813098e-09
1817,1.0431051578052575e-07,1.401186100480345e-08
1818,7.033494853203592e-08,5.6029534789558966e-08
1819,5.175525075173937e-08,2.3807414706311647e-08
1820,9.493184904840746e-08,1.779972080839798e-08
1821,1.370746929296729e-07,3.4515210245444905e-08
1822,1.9048670196752937e-07,3.60922172149003e-08
1823,1.4428722749926237e-07,2.075364236020505e-08
1824,1.440010208852982e-07,7.57900142644985e-09
1825,1.259178361578961e-07,1.7610886970942374e-08
1826,1.109806007093539e-07,8.80798456392995e-09
1827,1.2719836206542823e-07,1.6591091167583727e-08
1828,1.2841221064263664e-07,7.337841001486822e-09
1829,9.859152783064928e-08,2.4862210068476998e-08
1830,2.0978039572128182e-07,3.965997663613052e-08
1831,1.7773975002910447e-07,4.053713453799901e-08
1832,2.1377351799856115e-07,1.8941957335982806e-08
1833,1.5753734317058843e-07,2.548398292390175e-08
1834,1.2694961526449333e-07,5.694063887062839e-08
1835,1.5806853070898796e-07,2.7983425354705105e-08
1836,1.0618784784810487e-07,2.083432448785061e-08
1837,1.5307360001770576e-07,4.383471363667013e-08
1838,8.710783561127755e-08,1.5149188570262595e-08
1839,1.0207553913232914e-07,2.0974425751774106e-08
1840,1.2930468074046075e-07,1.4013314952876499e-08
1841,1.3097918838411715e-07,2.247191943638427e-08
1842,1.2946951244430238e-07,2.2808102073668124e-08
1843,1.0750578383067477e-07,1.8311423488626133e-08
1844,9.659867572509029e-08,1.0977122322231025e-08
1845,1.1160455670733427e-07,2.1204865419122143e-08
1846,1.0069742018004035e-07,1.5807152919933287e-08
1847,9.492073616002017e-08,1.0247124926365814e-08
1848,1.1504666730388635e-07,4.02261068899179e-09
1849,6.452149392544015e-08,1.0893239199560867e-08
1850,7.5357853290825e-08,9.504594444820214e-09
1851,7.67483214758613e-08,1.5478653025979838e-08
1852,6.705861466116403e-08,2.3437962681782665e-08
1853,1.0510599679491861e-07,9.555090940693844e-09
1854,9.975676107387699e-08,1.4028294081924741e-08
1855,1.5230909866659204e-07,2.653468555990912e-08
1856,1.0561466012859455e-07,3.054541508618058e-08
1857,1.4644527368545823e-07,2.245494101771328e-08
