year,nouveaux_ADJ yeux_NOUN,nouveaux_ADJ cieux_NOUN
1800,1.2576657937302116e-08,1.1318991832709457e-07
1801,2.1430643926123594e-08,6.905429650316819e-08
1802,1.1189200677108602e-08,8.503792514602537e-08
1803,7.021220937986072e-08,1.170203560718619e-07
1804,3.460591457837836e-08,1.5078291504266872e-07
1805,4.264316544322355e-08,1.9900143399809167e-07
1806,5.76333825108577e-09,1.2103010238462275e-07
1807,2.2775640928784924e-08,1.6512339406915544e-07
1808,4.5321478125970316e-08,1.8128591960930862e-07
1809,2.25903047379461e-08,1.219876455405e-07
1810,5.3822915901946544e-08,1.965706504236664e-07
1811,1.2535384286138651e-08,3.760615285841595e-08
1812,2.1337665856435706e-08,7.468183138570339e-08
1813,1.7254450312975678e-08,1.7254449646841863e-08
1814,3.1466771410748606e-09,2.2026739543434815e-07
1815,2.697223555614414e-09,1.2137506644194218e-07
1816,3.7081662185300956e-08,7.648093003354006e-08
1817,2.3353100786493997e-08,1.6502858102285245e-07
1818,3.814776761146277e-08,1.4543835868963129e-07
1819,4.0369094733705424e-08,2.3910925617265377e-07
1820,3.085285271708926e-08,1.4002447912275784e-07
1821,1.4792232327920374e-08,1.5581152090771155e-07
1822,2.8071724500478012e-08,1.3334069137727056e-07
1823,2.174191138237802e-08,1.0179167730939298e-07
1824,3.705289586264371e-08,1.0189546539862704e-07
1825,2.289415235168235e-08,1.4088709288095913e-07
1826,3.082794464148719e-08,1.2859657316788287e-07
1827,1.6591091167583727e-08,7.09730029191391e-08
1828,1.7427371545863934e-08,1.761081828144384e-07
1829,1.800366966620004e-08,1.3202691206970485e-07
1830,3.026682549034376e-08,9.914993914783565e-08
1831,4.677361609140007e-09,1.02901957177437e-07
1832,1.2176972319366541e-08,1.97537559643024e-07
1833,6.950177322551099e-09,9.382738852536932e-08
1834,2.240287422239362e-08,1.2508272106970253e-07
1835,3.7059130875150004e-08,1.096647750387092e-07
1836,2.352262562510532e-08,1.263501019366231e-07
1837,2.1569462660409044e-08,1.2037151009280933e-07
1838,2.1461350030449466e-08,1.0478188827711676e-07
1839,4.894032734625853e-09,8.87917321890086e-08
1840,7.64362617644565e-09,8.662776734835731e-08
1841,3.852329122366882e-09,8.988768041007233e-08
1842,1.2074877098200432e-08,1.0129480365606014e-07
1843,1.7130041385371442e-08,1.3113342367532255e-07
1844,1.5367971784030487e-08,1.0153838303494922e-07
1845,1.3392547515422848e-08,9.3747826390711e-08
1846,3.0443406018321184e-08,7.318126438171646e-08
1847,8.629157832729106e-09,8.683090158001505e-08
1848,8.84974404868899e-09,8.769292003663054e-08
1849,1.8434713311421547e-08,1.3490858497000602e-07
1850,1.0183494048021657e-08,1.3917441155086863e-07
1851,6.449438760824933e-09,1.244741729689025e-07
1852,1.9531636752390114e-08,1.1979403780060238e-07
1853,1.0749477752369785e-08,1.3317408331658953e-07
1854,1.4028294081924741e-08,1.1430461732686581e-07
1855,1.4859423913549108e-08,1.1834469759719468e-07
1856,1.2942972915652717e-08,1.7809531216439467e-07
1857,1.3180074809326925e-08,1.8891440684010163e-07
1858,1.2234189661342043e-08,1.1646948716581562e-07
1859,5.092173349652285e-09,9.980659676500636e-08
1860,1.5104706818647173e-08,1.6935579871812934e-07
1861,1.650587222457034e-08,1.273310143989903e-07
1862,9.487771457372673e-09,9.804030298710131e-08
1863,1.8480097452311384e-08,7.14230807830063e-08
1864,1.1507347075223606e-08,1.3185501612777983e-07
1865,6.118897832863013e-09,1.0355057300515114e-07
1866,5.352174259343201e-09,7.88229261861062e-08
1867,1.067618526917613e-08,1.1015881895559687e-07
1868,1.0373735648272486e-08,8.842374854545199e-08
1869,1.3185501579471293e-08,1.3136666154878185e-07
1870,8.027668307875047e-09,1.1582778691732187e-07
1871,1.274541272522356e-08,5.947859449406678e-08
1872,9.071008832961525e-09,1.0703790864763363e-07
1873,5.387403856360606e-09,8.440266441311906e-08
1874,1.1351757756017378e-08,6.631816229507592e-08
1875,1.2587359599081083e-08,6.636971272566683e-08
1876,1.3301232115736639e-08,4.474050840919119e-08
1877,1.4843558382438005e-08,5.813727099734933e-08
1878,2.2344627481629686e-08,7.850815331167382e-08
1879,1.4662380642960215e-08,9.713826898405387e-08
1880,1.4119262203848848e-08,7.123809431242023e-08
1881,3.4862537301449947e-09,6.2752566809543e-08
1882,1.8635077481121698e-08,8.718554767028763e-08
1883,8.847074184359371e-09,9.036654446958892e-08
1884,6.601696966868076e-09,5.281357484676619e-08
1885,8.379326565943757e-09,3.867381448419138e-08
1886,1.355227396970804e-08,7.615087316281688e-08
1887,5.223139698529167e-09,4.3090901069575693e-08
1888,6.340614699951175e-09,6.023583920544695e-08
1889,7.51816386923565e-09,1.0337475675470387e-07
1890,9.176140736144589e-09,5.309053013879961e-08
1891,5.099376032546843e-09,5.099375977035692e-08
1892,6.268512375839919e-09,5.704346128787563e-08
1893,3.079208221734575e-09,3.818218274886931e-08
1894,3.780923574225881e-09,3.276800542018066e-08
1895,1.1435367319734269e-08,4.995450098022047e-08
1896,5.89702897624278e-10,4.835563921501418e-08
1897,6.992056267307589e-09,4.603103676004139e-08
1898,7.921697076085366e-09,5.035935757291554e-08
1899,7.738609753005221e-09,3.0954439012020885e-08
1900,1.4015843596837385e-08,4.152842336679896e-08
1901,8.941982265753268e-09,6.203499958168379e-08
1902,3.928227076954727e-09,3.486301453081708e-08
1903,5.940242076007962e-09,3.7801541452608944e-08
1904,5.912087708281888e-09,4.192207647690793e-08
1905,1.4966200723165457e-08,3.251278357652154e-08
1906,8.230695236477459e-09,3.549487459508782e-08
1907,1.5428529565042481e-09,3.1885627804761896e-08
1908,7.367083831866239e-09,4.174680845459022e-08
1909,9.901770070541716e-09,3.6306492035009796e-08
1910,2.3514262537105424e-08,3.313373564406419e-08
1911,1.2236860413850081e-08,4.149891807969652e-08
1912,8.335073964360618e-09,4.219631344337671e-08
1913,1.6969567084856862e-08,4.931780589467749e-08
1914,8.036092680185902e-09,5.2904276515164383e-08
1915,5.890381071793627e-09,3.1808056411009034e-08
1916,3.2962386153911893e-09,2.307367097387214e-08
1917,3.289927441585405e-09,3.72858446340274e-08
1918,2.8715941624568586e-08,4.020231614276781e-08
1919,8.287063479883727e-09,6.721729228775786e-08
1920,6.815008557481406e-09,3.8618382713906385e-08
1921,2.2718241510233383e-08,2.801916487715772e-08
1922,9.591316185719734e-09,2.4347187099760248e-08
1923,8.492758496458919e-09,3.6094224942218034e-08
1924,1.675911143195208e-08,4.640984840875717e-08
1925,1.0998178368026856e-08,3.739380427525418e-08
1926,1.2260752413340015e-08,3.009457361091705e-08
1927,1.4493992672726108e-08,4.125213159955621e-08
1928,3.4278122562625413e-09,3.0850310417385174e-08
