year,quelques_DET airs_NOUN,quelques_DET cerfs_NOUN
1800,3.4585809238762977e-07,3.144164484325529e-09
1801,2.809795489611133e-07,0.0
1802,2.0140561218795483e-07,2.0140561218795483e-08
1803,1.8918289867997373e-07,2.3404069793286908e-08
1804,4.202146612897195e-07,1.4831105232815389e-08
1805,3.041879172993589e-07,3.4114531644036106e-08
1806,3.429186392622796e-07,5.76333825108577e-09
1807,1.992868590150465e-07,0.0
1808,1.450287356874469e-07,1.8128591960930862e-08
1809,1.8524050737767084e-07,3.840352036377226e-08
1810,2.948559623128233e-07,9.360507036149102e-09
1811,1.5293167621166504e-07,3.259199843341776e-08
1812,5.521121124729689e-07,0.0
1813,5.665210984773239e-07,2.8757416448144113e-09
1814,2.6117418938653714e-07,9.440030979135372e-09
1815,1.8071397800412115e-07,8.091670444798638e-09
1816,1.2515060632267705e-07,9.270415546325239e-09
1817,2.6933909857973504e-07,0.0
1818,2.0266001610202977e-07,1.0729059418679299e-08
1819,1.9977527188075328e-07,4.140420006848444e-09
1820,2.254631459308598e-07,4.390598107306687e-08
1821,2.1004970562898961e-07,1.0847637343935901e-08
1822,1.9148926355683216e-07,6.015369535816717e-09
1823,1.8381797417532653e-07,1.7788837070042973e-08
1824,1.1957980028398651e-07,2.5263338088166165e-09
1825,2.932212508355292e-07,1.3208164340028361e-08
1826,1.1186140369545683e-07,6.1655889282974385e-09
1827,1.4931982822430356e-07,0.0
1828,1.6051527040872315e-07,6.420610709767516e-09
1829,1.8603791507310063e-07,1.2002446148073886e-08
1830,3.1832348135196753e-07,4.174734336004349e-09
1831,1.38761739654214e-07,1.7150326492298973e-08
1832,1.4882965615470312e-07,5.411987746839486e-09
1833,3.104412300558579e-07,1.7375443306377747e-08
1834,2.2962945855908856e-07,2.333632664885954e-08
1835,2.1101014624491654e-07,2.4201881387853064e-08
1836,1.8885307717653177e-07,8.06490002558391e-09
1837,2.0456199401053254e-07,6.262101948095733e-09
1838,1.6979716122023092e-07,6.312161904276081e-09
1839,1.7059198764712846e-07,6.991475398621105e-09
1840,1.7389249640231697e-07,7.64362617644565e-09
1841,1.489567313939233e-07,1.0272877659645019e-08
1842,1.2678621041928295e-07,2.5491406319133603e-08
1843,1.5417037246834298e-07,1.2404513416441887e-08
1844,1.1306436009661525e-07,2.195424464446205e-08
1845,6.807878349945895e-08,1.6740684061211653e-08
1846,8.313391930414582e-08,1.7563503984519002e-09
1847,8.41342897572872e-08,4.314578916364553e-09
1848,7.642960653253539e-08,1.287235473768078e-08
1849,7.122502498901895e-08,9.217356211621563e-09
1850,7.53578577317171e-08,3.394498016007219e-09
1851,6.90089914101577e-08,1.483370937194195e-08
1852,1.2109614822009007e-07,4.557382027314816e-09
1853,1.260077588938202e-07,1.1346670270029335e-08
1854,1.1534374833033212e-07,9.352196350675968e-09
1855,9.127931832608738e-08,1.1144567935161831e-08
1856,9.991975602474668e-08,4.1417513307884235e-09
1857,1.0446429238308852e-07,8.78671624349181e-09
