year,vos_DET ailes_NOUN,vos_DET selles_NOUN
1800,2.7354229814591235e-07,3.144164484325529e-09
1801,1.4763331535050384e-07,0.0
1802,1.2531904758361634e-07,0.0
1803,6.436119548425268e-08,0.0
1804,1.3100809592714313e-07,0.0
1805,1.3645812657614442e-07,0.0
1806,1.2967511509032192e-07,0.0
1807,1.7366426163789583e-07,0.0
1808,2.039466551195801e-07,0.0
1809,1.3102376783535874e-07,0.0
1810,3.065566054338831e-07,0.0
1811,1.6045291317823285e-07,0.0
1812,1.0668833283489221e-07,0.0
1813,1.9555042740648787e-07,0.0
1814,1.321604372606089e-07,0.0
1815,6.74305908887618e-08,0.0
1816,8.806894413737609e-08,0.0
1817,8.749628364057571e-07,0.0
1818,2.932609675099229e-07,0.0
1819,2.3393373282942775e-07,0.0
1820,3.9040722299432673e-07,0.0
1821,1.9653946310427273e-06,0.0
1822,4.351117297574092e-07,8.02049271442229e-09
1823,3.24152125585897e-07,6.917880934764753e-09
1824,5.162141860637348e-07,0.0
1825,2.896990736189764e-07,8.805443041381977e-10
1826,1.4885493726524146e-07,0.0
1827,3.94499295452988e-07,1.8434546111834038e-09
1828,5.824411459798284e-07,0.0
1829,2.323330699494086e-07,1.714635211591542e-09
1830,4.665265578296385e-07,3.1310507520032616e-09
1831,7.842376521516314e-07,0.0
1832,1.830604817509851e-06,1.3529969367098715e-09
1833,6.68375378154451e-07,2.7800709290204395e-08
1834,5.031312415582079e-07,8.401078055442213e-09
1835,2.843721063072735e-07,8.31939672707449e-09
1836,2.6748586134939245e-07,0.0
1837,4.404345079755956e-07,2.1569462660409044e-08
1838,3.080334889382641e-07,0.0
1839,3.9851409117108716e-07,6.9914751765765e-10
1840,3.140256609190928e-07,0.0
1841,1.6243987177588792e-07,0.0
1842,1.636816620020909e-07,4.024959032733477e-09
1843,2.551785512339144e-07,1.1813822142769936e-09
1844,1.7234082794193029e-07,5.488561272137815e-10
1845,1.4117976832039858e-07,5.580227946389016e-10
1846,3.594663751105287e-07,5.854501328173001e-10
1847,9.923531507638472e-08,3.235934187273415e-09
1848,1.3033259449457546e-07,0.0
1849,1.1898769258777975e-07,2.513824481908955e-09
1850,1.7379829841956962e-07,0.0
1851,1.6510563072280604e-07,3.8696632564949596e-09
1852,1.4323199737376058e-07,1.9531636308300904e-09
1853,2.4126604980523325e-07,4.180352064508952e-09
1854,2.3692230399774417e-07,0.0
1855,3.444202185676204e-07,1.0613874223963649e-09
1856,2.158887960623801e-07,0.0
1857,1.9867742162560376e-07,1.9526036343364694e-09
1858,2.1434300911948867e-07,1.1744822003834088e-08
1859,1.7109702699080742e-07,0.0
1860,2.3618269562319938e-07,6.408057640072684e-09
1861,3.4992449848836316e-07,1.4147891747029462e-09
1862,2.0737556427619097e-07,5.421583626485926e-09
1863,1.8480097541129226e-07,8.490855130105501e-09
1864,1.7500757509836262e-07,9.589456340108882e-09
1865,1.7321187251173598e-07,0.0
1866,1.3039842272632995e-07,2.432806400776144e-09
