year,auriez_VERB eu_VERB,auriez_VERB su_VERB
1800,2.263798393187244e-07,2.5153315874604232e-08
1801,2.881230898310605e-07,5.000483582762172e-08
1802,1.8350289110458107e-07,2.0140561218795483e-08
1803,1.9503391968100914e-07,2.5354410126965377e-08
1804,2.4718508484511403e-07,4.2021465418429216e-08
1805,2.6723051860244595e-07,0.0
1806,3.4580028795971884e-07,2.881669125542885e-08
1807,1.3095993267597805e-07,1.7081731584767113e-08
1808,2.1074488643080258e-07,6.798221985349073e-09
1809,1.5361408145508904e-07,2.25903047379461e-08
1810,3.205973655440175e-07,4.680253518074551e-09
1811,1.8301660986708157e-07,1.2535384286138651e-08
1812,2.453831484672264e-07,5.3344164641089264e-09
1813,3.0482860324809735e-07,3.4508900625951355e-08
1814,1.4160046646338742e-07,2.5173417128598885e-08
1815,1.5643897199879575e-07,4.315557688983063e-08
1816,1.668674798338543e-07,4.6352077731626196e-08
1817,2.319741412293297e-07,1.0898113522728181e-08
1818,2.2769448548842774e-07,5.960588467246453e-09
1819,2.3703904616922955e-07,4.140420006848444e-09
1820,1.578242034838695e-07,2.0173018810965004e-08
1821,4.2404400346640614e-07,1.676452932031225e-08
1822,2.456275751683279e-07,1.303330066093622e-08
1823,2.9153926561775734e-07,1.9765373338032077e-08
1824,2.0800148092803283e-07,1.0105335235266466e-08
1825,2.025251859549826e-07,2.201360693732113e-08
1826,1.788020824733394e-07,2.4662355713189754e-08
1827,2.1568419583672949e-07,1.2904182611350734e-08
1828,1.7610818758839741e-07,1.1923991571904935e-08
1829,1.8003669310928672e-07,3.5150023336427694e-08
1830,2.1812986972236104e-07,1.2524203008013046e-08
1831,2.4945930476860667e-07,4.677361786775691e-08
1832,3.3824923661995854e-07,4.464889968858188e-08
1833,2.4557292022109323e-07,2.548398292390175e-08
1834,1.7455572276503517e-07,2.8003592333902816e-08
1835,2.4504404905201227e-07,1.8907719834260206e-08
1836,1.6465837404666672e-07,1.747394939854985e-08
1837,1.982998867333663e-07,1.87863058442872e-08
1838,1.590664737705083e-07,8.2058102535143e-09
1839,1.4891841715325427e-07,1.0487212875887053e-08
1840,1.2994165388136025e-07,1.9746034141121527e-08
1841,1.3483152372373297e-07,2.8250413564023802e-08
1842,1.6234001520842867e-07,1.1404051036834062e-08
1843,1.4176586660141766e-07,2.3627643841450663e-08
1844,1.6026598359530908e-07,1.5367971784030487e-08
1845,1.3838965173817996e-07,1.562463758375543e-08
1846,1.7153688247617538e-07,6.439951683034906e-09
1847,1.1703295399456692e-07,1.1325769655456952e-08
1848,2.534244742946612e-07,4.02261068899179e-09
1849,2.1535096550451271e-07,1.256912263158938e-08
1850,1.9212858148875966e-07,2.2403686017469226e-08
1851,1.3543821353323438e-07,1.6123596680017727e-08
1852,1.5495098182327638e-07,2.0833745395520964e-08
1853,1.606449728797088e-07,9.555090940693844e-09
1854,1.0858938992441836e-07,3.117398605922972e-08
1855,1.6557643789383292e-07,9.021793090369101e-09
1856,1.2114622904846328e-07,9.318940286107136e-09
1857,1.9965372644037416e-07,3.7099468386259105e-08
1858,1.928108304127818e-07,2.202154192332273e-08
1859,2.0215928486777557e-07,1.782260738991681e-08
1860,1.7942561214567831e-07,1.5562426014525954e-08
1861,1.7449065126129426e-07,1.2733101684148096e-08
1862,2.231885218861862e-07,3.298130124562704e-08
1863,1.7281388409173815e-07,3.346395871517416e-08
1864,1.9946068618992285e-07,2.0617330065419992e-08
1865,2.2592853099467902e-07,3.294790928975999e-08
1866,1.921917061054046e-07,7.784980660119345e-09
1867,1.4073152954097168e-07,1.9896527092555516e-08
1868,1.33870585727891e-07,3.655506830568811e-08
1869,1.9534076045601978e-07,2.4417595057002472e-08
1870,1.7718210187922523e-07,1.7202147262196377e-08
1871,1.317025919433945e-07,2.3366590440332402e-08
1872,1.8323437700473733e-07,2.2979889990892843e-08
1873,1.652137200380821e-07,1.3767810003173508e-08
1874,1.577296870891587e-07,2.8678122987457755e-08
1875,1.556255426748976e-07,5.721527251978387e-09
1876,2.515142227821343e-07,1.0278225381910033e-08
1877,1.465801346967055e-07,1.1132669008873108e-08
1878,1.3889903982544638e-07,9.058632954861423e-09
1879,1.6800645141756831e-07,2.016077260691418e-08
1880,1.906100379756026e-07,8.984985200299889e-09
1881,1.520006662758533e-07,1.1853263259808955e-08
1882,1.583981656949618e-07,1.2645231528551903e-08
1883,1.8010115354627487e-07,2.338155447034751e-08
1884,1.3797546216665069e-07,9.902545450302114e-09
1885,1.1344318551209653e-07,6.445635580831777e-09
1886,1.3745878391091537e-07,6.4534639854230136e-09
1887,1.0642147429962279e-07,8.48760173255414e-09
1888,1.198376224920139e-07,5.706553452000662e-09
1889,1.0838686392844465e-07,1.1277245803853475e-08
1890,1.1928983667530701e-07,2.1629475099871343e-08
1891,1.0581205600601606e-07,1.784781566982474e-08
1892,9.528138633640992e-08,1.3790726782758611e-08
1893,7.82118902975526e-08,1.2932674486876294e-08
1894,1.0964678409663975e-07,1.6384001710889606e-08
1895,1.0171458342256301e-07,2.046328972937772e-08
1896,1.1381266062926443e-07,1.4152869098893461e-08
1897,8.79833734757085e-08,2.2141511735185304e-08
1898,1.0694290608626034e-07,9.619203211741478e-09
1899,1.2823981876408652e-07,3.427098604902312e-08
1900,1.0278284889864153e-07,5.710158568206225e-09
1901,1.0618603596412868e-07,1.1736351446245408e-08
1902,9.86967023663965e-08,1.0311596021495006e-08
1903,1.2150495365403913e-07,9.1803746826713e-09
1904,9.244355680948502e-08,9.13686282189019e-09
1905,1.1250454434730273e-07,1.4966200723165457e-08
1906,7.253299827425508e-08,1.594697174311932e-08
1907,9.051404248339168e-08,1.0285686968813934e-08
1908,9.331639461152008e-08,1.8663278922304016e-08
1909,1.0616898293847044e-07,2.6954818821423032e-08
1910,1.0634860103664323e-07,6.947395991829808e-09
1911,9.789488331080065e-08,1.3300935464144459e-08
1912,1.0262559868579046e-07,8.335073964360618e-09
1913,9.863560990197584e-08,1.1666577037772186e-08
1914,1.1317496984020181e-07,2.0759905794420774e-08
1915,5.890380805340101e-08,2.1205371680821372e-08
1916,5.383856560570166e-08,5.493730803607377e-09
1917,6.799183438488399e-08,1.2063066989753679e-08
1918,5.743188324913717e-08,1.2635013924011673e-08
1919,1.0312790266198135e-07,8.287063479883727e-09
1920,9.616734075734712e-08,2.3473917920568965e-08
1921,1.0223209301329916e-07,2.2718241510233383e-08
1922,1.6379016187784146e-07,9.591316185719734e-09
1923,1.2526818693459063e-07,1.2739137744688378e-08
1924,1.250487571269332e-07,1.933743654092268e-08
1925,9.128487477028102e-08,2.1996355847875293e-09
1926,1.058883185578452e-07,1.4489979882625903e-08
1927,1.3379069230268215e-07,6.689535148041159e-09
1928,1.0854738974330758e-07,1.2568645679778001e-08
1929,1.1586022452547695e-07,7.798284684668033e-09
1930,1.3129503884101723e-07,1.470504518152893e-08
1931,9.238338805062085e-08,9.124285327288817e-09
1932,8.658033578967661e-08,5.4797681947604815e-09
1933,8.02946331646126e-08,8.02946331646126e-09
1934,9.824896096688462e-08,3.5944740517379614e-09
1935,1.1250187270661627e-07,1.3165112555668657e-08
1936,7.396075574206407e-08,1.33371855781661e-08
1937,5.162358363008934e-08,6.295559185076627e-09
1938,8.168085230408906e-08,1.0372171566075394e-08
1939,7.494084997006212e-08,3.058810094103137e-09
1940,7.100192078723921e-08,5.0715658339584024e-09
1941,9.444808313219255e-08,8.854508237732261e-09
1942,7.282108072104165e-08,2.1239483061208375e-08
1943,1.3935529352693266e-07,2.9032352077962287e-09
1944,9.318240046241044e-08,2.2492303131116387e-08
1945,9.149717072887142e-08,2.178504043826024e-09
1946,9.744773166175946e-08,1.1136883415474585e-08
1947,1.4424253436118306e-07,5.960435700558264e-09
1948,6.631851334759631e-08,3.2615663503321457e-09
1949,8.737137591197097e-08,9.817008539414473e-09
1950,1.1592543813776501e-07,3.084254984742074e-08
1951,1.151431376911205e-07,2.6653504292539765e-08
1952,8.119499028680366e-08,8.435843135146115e-09
1953,9.696444891460487e-08,3.016671712430252e-08
1954,1.1140691213995524e-07,1.9545073115523337e-08
1955,1.0605737088553724e-07,8.447047505910632e-09
1956,9.854890237193104e-08,2.3547082506070183e-08
1957,9.718541349457155e-08,1.501956425897788e-08
1958,8.685855590329083e-08,1.5717262158432277e-08
1959,8.758345160231329e-08,1.0851047171911432e-08
1960,8.651041838447782e-08,1.7994166157109248e-08
1961,9.17157052526818e-08,2.084447814354462e-08
1962,9.068997997019324e-08,1.2049716779927166e-08
1963,7.823924619287936e-08,1.3578711488548834e-08
1964,1.320221088008111e-07,1.8860301764789256e-08
1965,1.1272409494722524e-07,7.1136563306595235e-09
1966,7.477751040596559e-08,8.862519607077957e-09
1967,1.0304401598659751e-07,1.873527466500491e-08
1968,9.70145848100401e-08,1.976222918642634e-08
1969,8.129746476015498e-08,1.6804504454626112e-08
1970,1.1174901715094165e-07,1.609553734738256e-08
1971,8.529740114227025e-08,1.5929032315398217e-08
1972,9.182962656950622e-08,8.721249500354133e-09
1973,7.277429148189185e-08,8.269805285010534e-09
1974,6.694430254583494e-08,9.00091468025721e-09
1975,5.8257096924307916e-08,5.140332159925265e-09
1976,5.713526718409412e-08,1.1427053969725876e-08
1977,5.641710743020667e-08,7.639816779203557e-09
1978,7.306927329864266e-08,5.346532105932056e-09
1979,7.72460495568339e-08,8.192762912528906e-09
1980,5.2871900635409474e-08,8.527726080842513e-09
1981,8.159958753140018e-08,1.644642821929665e-08
1982,5.710901973543514e-08,4.966001831974154e-09
1983,5.7469375036589554e-08,1.3893695083311286e-08
1984,6.72685018798802e-08,9.278413592994639e-09
1985,5.233535560478231e-08,8.421781494405423e-09
1986,6.773768745915731e-08,7.792831269171074e-09
1987,4.949761489569937e-08,1.2221633483022742e-08
1988,5.696726290693732e-08,5.396898483667201e-09
1989,5.488122312158339e-08,9.878619700032232e-09
