year,aux_ADP heures_NOUN,aux_ADP soeurs_NOUN
1800,8.269152402817781e-07,3.144164484325529e-09
1801,9.59616592410839e-07,1.6668277869058556e-08
1802,8.190494611426402e-07,1.7902721083373763e-08
1803,7.21625518451674e-07,5.070881914370773e-08
1804,9.269441036963144e-07,4.943701892301533e-09
1805,1.1343082420012252e-06,5.685755422035754e-09
1806,1.1036793097218833e-06,6.339671809740821e-08
1807,1.1217003361707611e-06,6.547996855843508e-08
1808,1.0854494298939699e-06,2.945896149242344e-08
1809,1.3463821737502712e-06,1.8072244367672852e-08
1810,1.0085946797744327e-06,2.8081521552536515e-08
1811,1.1883544175361749e-06,1.504246061045933e-08
1812,9.2285405628445e-07,1.600324850414836e-08
1813,9.08734353544105e-07,3.163315875909234e-08
1814,1.1170703402285653e-06,3.1466771410748606e-08
1815,9.413310255723673e-07,2.6972235112054932e-08
1816,1.0660977523002657e-06,1.3905623319487859e-08
1817,1.008854006556703e-06,1.2454987152743513e-08
1818,1.0454872381160385e-06,2.980294344645529e-08
1819,7.783989346421549e-07,1.2421260464634543e-08
1820,9.967844150082783e-07,2.8479555602700657e-08
1821,9.486751686438311e-07,5.916893086599373e-09
1822,1.013589752574262e-06,1.804610860745015e-08
1823,9.546675645566438e-07,2.2730180404550993e-08
1824,1.0139020005794919e-06,1.51580028528997e-08
1825,1.1746460693018435e-06,1.7610886526853164e-08
1826,1.1978859149053278e-06,1.8496767673070735e-08
1827,1.2434101073210968e-06,5.530363889061363e-09
1828,1.0942554986570485e-06,1.3758452155343548e-08
1829,1.176239699418602e-06,2.05756223170539e-08
1830,1.0603825018051793e-06,1.1480518979922749e-08
1831,1.0835887671589717e-06,1.247296466111436e-08
1832,9.97158714710622e-07,2.705993873419743e-09
1833,1.1965888582210482e-06,1.50587169400751e-08
1834,1.1892192279816527e-06,1.680215544475061e-08
1835,1.4369866505603568e-06,1.2100940693926532e-08
1836,1.2749262801037275e-06,2.3522624903460354e-08
1837,1.2851224227006242e-06,1.6698938121173512e-08
1838,1.2933620254784728e-06,1.3886755967362774e-08
1839,1.1724704265247965e-06,1.2584655095793096e-08
1840,1.3561066651845977e-06,1.7198158897002713e-08
1841,1.2006426075572563e-06,6.420548537278137e-09
1842,1.314149081110827e-06,1.475818312002275e-08
1843,1.570647665261049e-06,1.0632439872981791e-08
1844,1.4627015509915964e-06,2.360081330365915e-08
1845,1.4458370145575827e-06,1.3950569477394481e-08
1846,1.5081195385846513e-06,1.5221703675294407e-08
1847,1.5672707647240713e-06,7.550513103637968e-09
1848,1.7240910423765854e-06,1.2067832733109185e-08
1849,1.6959935926763592e-06,1.005529748354661e-08
1850,1.4772855436717691e-06,1.3577992064028876e-08
1851,1.6446068613618081e-06,7.094382858952031e-09
1852,1.72724773506161e-06,2.278690969248487e-08
1853,1.7933711333739666e-06,1.4929829594834132e-08
1854,1.7925042783417666e-06,1.9223958536151997e-08
1855,1.6393128490221898e-06,1.539011762474729e-08
1856,1.7949314852216958e-06,1.501384883084711e-08
1857,1.8139687654183945e-06,1.610898031634278e-08
1858,1.5454228687872273e-06,1.076608729944084e-08
1859,1.9375719233494237e-06,1.1202781369235026e-08
1860,1.8024949994810413e-06,1.3731551784523788e-08
1861,1.6274791150294732e-06,9.903523778831413e-09
1862,1.8202966316493985e-06,1.3102160523192907e-08
1863,1.925426275306563e-06,1.6981711259411725e-08
1864,1.9011095986343207e-06,2.541205812445213e-08
1865,1.8173125937437362e-06,1.4120533409212044e-08
1866,1.7632981439419382e-06,1.751620626322392e-08
1867,1.748953224023353e-06,3.1543274658929477e-08
1868,1.8099698309015366e-06,9.87974813071446e-09
1869,1.9304550704646317e-06,1.3185501801515898e-08
1870,1.696131654682631e-06,1.2614907340946502e-08
1871,1.7641774903154328e-06,2.86771781876638e-08
1872,1.8172254954151867e-06,2.297988899169212e-08
1873,1.8688306440139968e-06,1.3767810336240416e-08
1874,2.115609134989427e-06,1.79238269781834e-08
1875,1.9401698381216193e-06,2.1169650199492906e-08
1876,1.8325470350077921e-06,1.6928841439778353e-08
1877,2.0378967562351136e-06,2.288381928394756e-08
1878,2.119720065252295e-06,1.3285995081879776e-08
1879,2.0337943595905017e-06,1.527331339179483e-08
1880,2.0684717867425206e-06,1.3477477578405228e-08
1881,2.114761613825067e-06,1.2550513794895579e-08
1882,2.3333779211043293e-06,1.9300616882489408e-08
1883,2.1732206079150274e-06,1.0742876144220759e-08
1884,2.294749890552339e-06,1.1883054540362536e-08
1885,2.24694852590801e-06,9.668453704314572e-09
1886,2.309049406790109e-06,1.806969873729969e-08
1887,2.695140139508112e-06,2.2851236070042802e-08
1888,2.5273691051097558e-06,4.5652425617603853e-08
1889,2.45029491452442e-06,1.879541028371179e-08
