year,as_VERB eu_VERB,as_VERB su_VERB
1800,2.200915076855381e-07,3.458580977167003e-08
1801,1.619204113012529e-07,9.524730160137551e-08
1802,1.7231369042747247e-07,4.699464284385613e-08
1803,1.2677205063482688e-07,4.290746247193056e-08
1804,1.3842365831351344e-07,2.4718509905596875e-08
1805,2.5301611117356515e-07,3.4114531644036106e-08
1806,6.916005901302924e-08,1.152667650217154e-08
1807,1.537355700520493e-07,2.8469550272802735e-08
1808,1.0423940466353088e-07,1.5862518409903714e-08
1809,9.93973401364201e-08,9.03612189517844e-08
1810,1.591286178381779e-07,3.2761775514700275e-08
1811,1.3287507272252697e-07,1.0028307073639553e-08
1812,1.6269970615212515e-07,1.3336041604361526e-08
1813,1.0352670187785407e-07,4.888760685162197e-08
1814,7.552024783308298e-08,3.1466771410748606e-09
1815,8.091670622434322e-08,1.1058616422587875e-07
1816,7.879853569647821e-08,2.5493642752394408e-08
1817,1.214361304846534e-07,2.0239355080775567e-08
1818,1.2755660350194375e-07,1.9073883805731384e-08
1819,1.35598753558952e-07,1.5526575580793178e-08
1820,1.3053129066520341e-07,5.458581142647745e-08
1821,2.169527419937367e-07,4.2404398215012407e-08
1822,2.546506436829077e-07,4.210758675071702e-08
1823,2.174191138237802e-07,3.4589405117912975e-08
1824,2.450543661325355e-07,4.21055617039201e-08
1825,3.10832149352791e-07,3.0819052199149155e-08
1826,1.418085417981274e-07,2.7304752237000685e-08
1827,1.1798109511573784e-07,4.424290978022327e-08
1828,1.2657775982916064e-07,2.0179061976932644e-08
1829,1.2002446680980938e-07,1.800366966620004e-08
1830,1.5655253093882493e-07,3.965997663613052e-08
1831,2.1204040479005926e-07,1.4032085715598441e-08
1832,2.1512651926514081e-07,6.088486514954639e-08
1833,1.6796261093077192e-07,4.51761508202253e-08
1834,2.4549817112529126e-07,3.9205030333278046e-08
1835,3.0327981903610635e-07,2.7227116561334697e-08
1836,3.0646620530205837e-07,4.973355061110851e-08
1837,2.1708619613036717e-07,3.478945487245255e-08
1838,1.988331064239901e-07,2.4617431648721322e-08
1839,1.8247750688260567e-07,3.216078425793967e-08
