year,aux_ADP antennes_NOUN,aux_ADP centaines_NOUN
1800,2.263798393187244e-07,8.174827570428533e-08
1801,1.4048977448055666e-07,5.476719877606229e-08
1802,1.9021641151084623e-07,2.6854081625060644e-08
1803,2.6134546260436764e-07,9.751696339321825e-09
1804,2.1010733064485976e-07,7.909923027682453e-08
1805,8.24434565060983e-08,1.1371510844071508e-08
1806,1.4120178093435243e-07,1.4408345627714425e-08
1807,2.1921555060089304e-07,6.547996633798903e-08
1808,1.450287356874469e-07,3.3991110370834576e-08
1809,5.421673421324158e-08,2.259030518203531e-09
1810,1.2870697219113936e-07,1.8721014072298203e-08
1811,1.353821517113829e-07,2.2563691359778204e-08
1812,2.1337665856435706e-08,1.8670457180292033e-08
1813,4.026038169513413e-08,5.751483289628823e-09
1814,1.1013369771717407e-07,1.2586708564299443e-08
1815,1.8880564667256294e-08,1.8880564667256294e-08
1816,4.055806925862271e-07,1.8540831092650478e-08
1817,7.161617645579099e-07,2.490997452753163e-08
1818,2.0862060523541004e-07,3.695565098382758e-08
1819,7.763287612760905e-08,3.1053151161586356e-09
1820,6.763894333516873e-08,1.4595771347103437e-07
1821,8.57949515875589e-08,9.86148829262845e-10
1822,8.221005032282847e-08,1.0025615893027862e-09
1823,1.2056878517796576e-07,9.882686669016039e-09
1824,1.1200079796935825e-07,1.0105335235266466e-08
1825,2.8705744625767693e-07,1.3208164340028361e-08
1826,1.3652375230321923e-07,1.145037931138404e-08
1827,2.1937110261660564e-07,8.295545583791863e-09
1828,2.421487389492327e-07,7.337841001486822e-09
1829,6.224125961296068e-07,8.57317605795771e-10
1830,1.4924675184602165e-07,5.635891398014792e-08
1831,9.04289956249471e-08,4.053713453799901e-08
1832,1.7047761247113158e-07,1.6235963684607668e-08
1833,1.1699465085612815e-07,9.266902800675325e-09
1834,2.64167225649814e-07,1.7735608537350345e-08
1835,2.458003507399553e-07,3.554651328840919e-08
1836,2.9907336607237767e-07,1.2097349788575684e-08
1837,1.5237780814914004e-07,1.87863058442872e-08
1838,2.0009552770261507e-07,1.7674054220151447e-08
1839,2.0904511188746255e-07,2.586845759822154e-08
1840,1.6306402983445878e-07,6.3696887764308485e-09
1841,1.2391659254262777e-07,7.704658244733764e-09
1842,3.957876515414682e-08,1.8112315203211438e-08
1843,1.1045923997698992e-07,5.434358030242947e-08
1844,1.7618281256126522e-07,2.4698525891153622e-08
1845,8.872562384798499e-08,1.5066614622583074e-08
1846,1.50460678582931e-07,8.196302303531411e-09
1847,1.0085328483455669e-07,1.6718992412734224e-08
1848,6.114368744647436e-08,3.137636639394259e-08
1849,1.1479798223135163e-07,2.0948537127196687e-08
1850,1.1609183303562531e-07,9.504594444820214e-09
1851,9.609663464971163e-08,1.289887729960526e-08
1852,1.4713832285906392e-07,1.4323200403509873e-08
1853,1.0271723027699409e-07,2.508211416341055e-08
1854,1.0027632413311949e-07,3.117398783558656e-09
1855,1.0083180512765466e-07,4.776243400783642e-09
1856,1.1079185213702658e-07,2.0708757375587084e-08
1857,1.366822540149748e-07,2.7336451324799782e-08
1858,6.900083349137276e-08,2.2510910469009104e-08
1859,8.045633848041689e-08,2.800695320104296e-08
1860,1.821719176342551e-07,2.5632230560290736e-08
1861,6.838147470489275e-08,2.7352589526685733e-08
1862,5.3312238179614724e-08,1.3102160245637151e-08
1863,8.790532746161261e-08,1.748117206545885e-08
1864,5.801620939216434e-08,2.68504773970335e-08
1865,7.389745981800644e-08,2.0710114512212385e-08
1866,1.0898972685469133e-07,1.0217787504984699e-08
1867,1.0482072809736565e-07,2.135237053835226e-08
1868,1.155930533514038e-07,3.013323279787983e-08
1869,1.0060049504545532e-07,1.4162205630441349e-08
1870,1.4335121534259088e-07,2.2362790730312554e-08
1871,8.496941461544338e-08,1.3807530230280918e-08
1872,8.042961496812495e-08,2.963196255034717e-08
1873,2.544051938002667e-07,2.3944018323618366e-08
1874,1.469753811988994e-07,1.6728906260254917e-08
1875,2.5289151039942226e-07,1.659242937490646e-08
1876,1.5961478605497348e-07,1.6324240625920083e-08
1877,3.345985559732867e-07,1.7317484335421796e-08
1878,1.7573747340682289e-07,1.6305540029293297e-08
1879,1.521221927314187e-07,2.627009798583657e-08
1880,1.1808837019344764e-07,9.626769603698904e-09
1881,2.628635413781666e-07,4.2532295907449225e-08
1882,1.2578678010299882e-07,2.795261777599478e-08
1883,1.7314988509653517e-07,2.464542170343975e-08
1884,1.0232630565099043e-07,1.8484751507230612e-08
1885,1.3664747566810576e-07,3.158361416844002e-08
1886,8.905780241041938e-08,2.19417763958063e-08
1887,7.377684752007951e-08,5.223139609711325e-08
1888,6.847863742720506e-08,3.867774811538993e-08
1889,7.455512418541588e-08,3.4458253139746375e-08
1890,1.264996569716459e-07,3.604912635069013e-08
1891,8.159001896324014e-08,4.14324303754654e-08
1892,1.03430451758868e-07,3.949162774574688e-08
1893,9.85346630955064e-08,4.126139074855928e-08
1894,6.616616077259607e-08,3.0247388593807045e-08
1895,5.958428417329742e-08,4.5741469278937075e-08
1896,8.78657289149487e-08,4.4227717710398906e-08
1897,8.390467420849035e-08,3.5542952803169214e-08
1898,8.544115814856923e-08,4.5266837389590364e-08
1899,9.341607665191987e-08,6.30143972557562e-08
1900,1.0434016484150987e-07,4.256663643786851e-08
1901,8.997869493931887e-08,5.085752263767063e-08
1902,1.2570326718419622e-07,4.4683582001159294e-08
1903,1.301453049773471e-07,3.6181475593366486e-08
1904,1.2307891861240705e-07,3.6009989656804464e-08
1905,1.0837594288659602e-07,5.934872859825191e-08
1906,8.179253452311741e-08,3.961022088105892e-08
1907,5.759984550435249e-08,4.525702301805268e-08
1908,4.56759168265819e-08,6.384806017223355e-08
1909,7.426327641724129e-08,4.8408654862441836e-08
1910,7.588693762272669e-08,3.473697773870299e-08
1911,9.949099677442064e-08,5.799207669632267e-08
1912,1.1200255611854004e-07,5.2094211611120045e-08
1913,9.863560634926216e-08,4.719660673391246e-08
1914,6.696743781731129e-08,5.223460269876412e-08
1915,7.186265094105693e-08,5.183535378705528e-08
1916,1.032821401736328e-07,7.91097289898346e-08
1917,5.263883906536648e-08,8.992468281121546e-08
1918,4.364823080749147e-08,1.0108011139209339e-07
1919,8.010827873272675e-08,1.0496947089322362e-07
1920,1.2039848229505878e-07,5.83061847692079e-08
1921,9.011569090944249e-08,5.14946840723951e-08
1922,1.209981463357046e-07,9.443757420513066e-08
1923,2.3248925762331396e-07,6.157249909932716e-08
1924,1.1860294768517576e-07,5.9301473953610184e-08
1925,1.2427940410120186e-07,4.179307633300766e-08
1926,2.0063049499530194e-07,4.124071362188175e-08
1927,1.1595193705193907e-07,4.571182110613137e-08
1928,1.3025687362056004e-07,4.34189573184085e-08
1929,1.5485164794881712e-07,4.9017788938954254e-08
1930,1.0818711437821094e-07,3.676261073337628e-08
1931,1.0492927859928614e-07,5.47457119637329e-08
1932,1.2603467780536448e-07,6.02774505864545e-08
1933,8.832409603698466e-08,4.588265056781893e-08
1934,9.465448158607614e-08,3.834105655187159e-08
1935,1.3643843477240125e-07,3.949533944336281e-08
1936,1.248845631351969e-07,3.758661559771781e-08
1937,1.4605696374569987e-07,5.0364473036523805e-08
1938,1.4780344059772688e-07,7.260520007434934e-08
1939,1.5446991596945736e-07,4.7411557346777045e-08
1940,1.2425336226584704e-07,7.100192078723921e-08
1941,1.151085982087352e-07,8.264207451702532e-08
1942,1.8508691823626577e-07,4.5513175450651033e-08
1943,1.567747038855316e-07,3.4838823381733164e-08
1944,1.574461219178147e-07,7.069009200222354e-08
1945,1.5249527773875116e-07,4.1391577720872874e-08
1946,9.048718041526627e-08,1.0719250642665656e-07
1947,7.748565877818692e-08,7.510148725131671e-08
1948,1.6090394350243287e-07,8.806229345736938e-08
1949,1.2467600640775345e-07,7.657266332117274e-08
1950,7.976521088082222e-08,6.80663150287586e-08
1951,1.322013840621139e-07,6.503455241002598e-08
1952,1.5079069370926845e-07,7.275914759574675e-08
1953,1.1958948165080585e-07,7.864893802889128e-08
1954,1.202021924218144e-07,7.524852518869807e-08
1955,1.041802453194407e-07,6.476069103200643e-08
1956,1.255844335190659e-07,7.325758843990116e-08
1957,1.4577812157412495e-07,7.333081208926728e-08
1958,1.2904699464577618e-07,7.114129685348303e-08
1959,1.3021256162204509e-07,8.835852760569196e-08
1960,1.0242833170526211e-07,7.26687479635224e-08
1961,1.1603426197659417e-07,8.268309370507154e-08
