year,longues_ADJ heures_NOUN
1800,1.3519907327008696e-07
1801,1.1905913055443307e-07
1802,8.503792514602537e-08
1803,3.510610468993036e-08
1804,5.19088700912107e-08
1805,1.0802935435094696e-07
1806,4.8988376022407465e-08
1807,1.0818429529990681e-07
1808,6.571614363792833e-08
1809,1.0391540428145163e-07
1810,4.914266327205041e-08
1811,6.769107585569145e-08
1812,1.1468995353425271e-07
1813,1.0640243885973177e-07
1814,8.181360300341112e-08
1815,6.203614333344376e-08
1816,2.5493642752394408e-08
1817,8.095742032310227e-08
1818,6.079800130009971e-08
1819,3.519356894798875e-08
1820,1.483310114736014e-07
1821,4.832129363308013e-08
1822,1.0426640528748976e-07
1823,8.004976592701496e-08
1824,1.1621135342920752e-07
1825,1.1270967092968931e-07
1826,1.2507338453815464e-07
1827,1.0968555130830282e-07
1828,1.1190207516165174e-07
1829,1.6117570567075745e-07
1830,2.901440439018188e-07
1831,3.2585620601821574e-07
1832,4.23488046408238e-07
1833,4.645035005523823e-07
1834,4.2192078808511724e-07
1835,3.6983499285270227e-07
1836,4.3416045514277357e-07
1837,4.515671321314585e-07
1838,4.147090351125371e-07
1839,5.397419045038987e-07
1840,4.3950851136287383e-07
1841,5.219906142883701e-07
1842,5.970355800855032e-07
1843,5.339847461982572e-07
1844,5.861783165528323e-07
1845,5.329117698238406e-07
1846,6.697549679302028e-07
1847,7.248492579492449e-07
1848,6.790166935388697e-07
1849,6.762188036191219e-07
1850,6.721106160512136e-07
1851,7.539393891420332e-07
1852,7.343895163103298e-07
1853,8.229321792896371e-07
1854,7.034929581095639e-07
1855,7.732207336630381e-07
1856,8.278325367427897e-07
1857,9.230933528669993e-07
1858,8.837978953124548e-07
1859,1.1757828133340809e-06
1860,1.2390437404974364e-06
1861,1.1233425993850688e-06
1862,9.442591135666589e-07
1863,1.194213837152347e-06
1864,1.1732698794730823e-06
1865,1.1451752470748033e-06
1866,1.1959676839978783e-06
1867,1.2073794550815364e-06
1868,1.1065318403780111e-06
1869,1.195485538119101e-06
1870,1.1181394938830636e-06
1871,1.400933228978829e-06
1872,1.3189246601541527e-06
1873,1.2145602568125469e-06
1874,1.3102318234814447e-06
1875,1.1374395398888737e-06
1876,1.1626486866589403e-06
1877,1.2165533007646445e-06
1878,1.173394934994576e-06
1879,1.1436657132435357e-06
1880,1.1802419521700358e-06
1881,1.1916015409951797e-06
1882,1.4947994486647076e-06
1883,1.2904090453957906e-06
1884,1.3876766615794622e-06
1885,1.2382066643112921e-06
1886,1.168077005786472e-06
1887,1.3358179558053962e-06
1888,1.1711115348589374e-06
1889,1.311293090111576e-06
1890,1.4609727259085048e-06
1891,1.200265614897944e-06
1892,1.2104497955078841e-06
1893,1.2427684623617097e-06
1894,1.3768863027507905e-06
1895,1.3836794323651702e-06
1896,1.2377863640722353e-06
1897,1.3483015663950937e-06
1898,1.3495176744982018e-06
1899,1.397371761413524e-06
1900,1.2510438409663038e-06
1901,1.2418178130246815e-06
1902,1.1637372381301248e-06
1903,1.30307319068379e-06
1904,1.2286393484828295e-06
1905,1.169944084722374e-06
1906,1.1985949868176249e-06
1907,1.285710823140107e-06
1908,1.3191991001804126e-06
1909,1.2195680483273463e-06
1910,1.3493980759449187e-06
1911,1.245499561264296e-06
1912,1.2195255294500384e-06
1913,1.2276420875423355e-06
1914,1.248942680831533e-06
1915,1.3665684264196898e-06
1916,1.683279151620809e-06
1917,1.6592200609011343e-06
1918,1.4725534356330172e-06
1919,1.586512325957301e-06
1920,1.3062099242233671e-06
1921,1.2048241160300677e-06
1922,1.1317753205730696e-06
1923,1.23781956062885e-06
1924,1.2337284260866e-06
1925,1.211999233419192e-06
1926,1.2372213404887589e-06
1927,1.3981127722217934e-06
1928,1.2431532923073974e-06
1929,1.2967433349331259e-06
1930,1.1154827461723471e-06
1931,1.1747517874027835e-06
1932,1.0696508070395794e-06
1933,1.0805364354382618e-06
1934,1.038803020492196e-06
1935,1.0388470172983943e-06
1936,9.251157280232292e-07
1937,1.0740224070104887e-06
1938,1.1759449307646719e-06
1939,1.156230268861691e-06
1940,8.875240382621996e-07
1941,1.1215710173928528e-06
1942,1.1894110230059596e-06
1943,1.2977461665286683e-06
1944,1.3270458794067963e-06
1945,1.4073135616854415e-06
1946,1.3252890767034842e-06
1947,1.159900762104371e-06
1948,1.0806656973727513e-06
1949,9.856275937636383e-07
1950,1.0688538623071508e-06
1951,8.987561841422576e-07
1952,9.616861689210054e-07
1953,8.36049025565444e-07
1954,1.0798652283483534e-06
1955,9.13219651010877e-07
1956,9.104871878662379e-07
1957,9.630191470932914e-07
1958,8.743761554796947e-07
1959,8.525822750016232e-07
1960,9.88987039818312e-07
1961,9.873334647636511e-07
1962,1.0001265309256269e-06
1963,9.123601216742827e-07
1964,8.371540616280981e-07
1965,8.716964998711774e-07
1966,9.289028639614116e-07
1967,8.406221922996338e-07
1968,9.261299283025437e-07
1969,8.502170771862438e-07
1970,7.643080834895954e-07
1971,8.375587867703871e-07
1972,7.633658469785587e-07
1973,7.514496473959298e-07
1974,6.846320843578724e-07
1975,6.625317041653034e-07
1976,7.32474120468396e-07
1977,7.298963282664772e-07
1978,7.704946938247303e-07
1979,7.069183993735351e-07
1980,8.254838803622988e-07
1981,9.330185548606096e-07
1982,8.336675705322705e-07
1983,8.778289384281379e-07
1984,8.884081239557418e-07
1985,9.913640042213956e-07
1986,1.0160653118873597e-06
1987,8.506257245244342e-07
1988,9.342630846731481e-07
1989,9.258462227990094e-07
1990,9.039312089953455e-07
1991,8.100544732769777e-07
1992,8.788360901235137e-07
1993,9.494201549387071e-07
1994,9.584541658114176e-07
1995,9.239856240128574e-07
1996,9.902161082209204e-07
1997,9.604173101251945e-07
1998,1.0041679843197926e-06
1999,1.1384371418898809e-06
2000,1.0232161002932116e-06
2001,1.0046118177342578e-06
2002,1.014690951706143e-06
2003,1.087983605430054e-06
2004,1.096352548302093e-06
2005,1.057930830938858e-06
2006,1.1875994232468656e-06
2007,1.2970074294571532e-06
2008,1.4232621197152184e-06
2009,1.5458480220331694e-06
2010,1.9665151285153115e-06
2011,2.0626505374821136e-06
2012,2.2675726540910546e-06
2013,2.3701984446233837e-06
2014,2.7137359666085104e-06
2015,2.5634694793552626e-06
2016,2.635573082443443e-06
2017,2.4592616227891995e-06
2018,2.8563929390656995e-06
2019,2.6502211767365225e-06
