year,tes_DET yeux_NOUN,tes_DET cieux_NOUN
1800,2.1034460431224034e-06,0.0
1801,3.2741260014290674e-06,0.0
1802,1.7746071989677148e-06,0.0
1803,2.369662169598996e-06,0.0
1804,2.911840383035269e-06,2.4718509461507665e-09
1805,2.430660359209469e-06,0.0
1806,2.0373401241613465e-06,5.76333825108577e-09
1807,1.984327695936372e-06,8.540865792383556e-09
1808,2.3499187165043622e-06,2.2660739951163578e-09
1809,1.5700262423479217e-06,0.0
1810,2.6420031247198494e-06,2.3401267590372754e-09
1811,3.7581081642201752e-06,0.0
1812,1.62966418315591e-06,5.3344164641089264e-09
1813,2.8901204416342807e-06,2.8757416448144113e-09
1814,1.5638984933730171e-06,6.293354282149721e-09
1815,1.3863729009244707e-06,0.0
1816,1.068415379279486e-06,2.3176038865813098e-09
1817,2.1765090849612534e-06,1.556873407970727e-09
1818,1.605782642855047e-06,8.344824387052086e-09
1819,2.169580014310668e-06,4.140420006848444e-09
1820,3.0330725877547593e-06,2.3732962262101864e-09
1821,2.770092109471989e-06,0.0
1822,2.8432647667386846e-06,1.0025615893027862e-08
1823,2.4222465242473845e-06,0.0
1824,2.584439556585494e-06,1.6842225392110777e-09
1825,2.04374336476576e-06,1.7610886082763955e-09
1826,1.8435111428516393e-06,1.7615968683770689e-09
1827,1.4535639252244437e-06,0.0
1828,1.7464061983218926e-06,4.586150570418113e-09
1829,1.4197179680763838e-06,4.286587973467704e-09
1830,2.147900886484422e-06,1.0436835840010872e-09
1831,1.941105139735555e-06,1.5591206103948707e-09
1832,2.231091976057087e-06,6.76498479457166e-09
1833,2.186989135566364e-06,2.3167257001688313e-09
1834,2.021859430101358e-06,1.8669061851994684e-09
1835,1.7939645147180272e-06,7.563087933704082e-10
1836,1.98194927492068e-06,2.688300027031687e-09
1837,1.4722896750640757e-06,3.478945576063097e-09
1838,1.5079754476232665e-06,4.418513555037862e-09
1839,1.4640148791045249e-06,2.7965900706306e-09
1840,1.4484671453374176e-06,2.5478754661634184e-09
1841,1.727769614490171e-06,3.852329122366882e-09
1842,1.7267074241544833e-06,3.3541325272778977e-09
1843,1.5930938630503988e-06,8.269675610961258e-09
1844,1.4522733238209184e-06,7.683985892015244e-09
1845,1.3732941113175912e-06,2.2320911785556063e-09
1846,1.3652697390398316e-06,1.0538101946622191e-08
