year,nouveaux_ADJ airs_NOUN,nouveaux_ADJ cerfs_NOUN
1800,3.144164395507687e-08,2.829747991484055e-08
1801,1.1905912700171939e-08,2.3811825844433088e-09
1802,1.3427040812530322e-08,0.0
1803,1.3652374342143503e-08,0.0
1804,1.2359254952798437e-08,0.0
1805,3.1271653710973624e-08,0.0
1806,4.3225035994964855e-08,5.76333825108577e-09
1807,2.8469550272802735e-08,0.0
1808,7.478044494746428e-08,0.0
1809,9.036122072814123e-09,0.0
1810,4.212228077449254e-08,0.0
1811,1.2535384286138651e-08,0.0
1812,1.600324850414836e-08,0.0
1813,7.476928232108548e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,2.6972236000233352e-08,0.0
1816,2.0858434979231788e-08,0.0
1817,1.8682481339737933e-08,0.0
1818,3.814776761146277e-08,0.0
1819,5.900098543065724e-08,0.0
1820,2.7292905713238724e-08,0.0
1821,2.5639868894700157e-08,0.0
1822,3.5089655625597516e-08,0.0
1823,2.3718449426723964e-08,0.0
1824,2.7789671008804362e-08,0.0
1825,2.0252519661312363e-08,0.0
1826,2.554315514657901e-08,2.642395191543301e-09
1827,1.8434546333878643e-08,0.0
1828,2.4765213879618386e-08,0.0
1829,2.6576845613135447e-08,0.0
1830,5.427154770032416e-08,0.0
1831,1.870944643656003e-08,0.0
1832,4.058990921151917e-09,0.0
1833,4.170106393530659e-08,2.3167257001688313e-09
1834,2.240287511057204e-08,0.0
1835,2.117664621437143e-08,0.0
1836,1.747394939854985e-08,0.0
1837,6.262101948095733e-09,0.0
1838,1.2624323808552163e-08,0.0
1839,1.3982949909063791e-08,0.0
1840,2.993753511759678e-08,0.0
1841,1.9903700021473014e-08,0.0
1842,9.391571076378114e-09,0.0
1843,1.4176587015413133e-08,0.0
1844,1.4270259640625227e-08,0.0
1845,8.928364714222425e-09,5.580227946389016e-10
1846,2.1076203893244383e-08,0.0
1847,7.550513103637968e-09,0.0
1848,8.04522137798358e-09,0.0
1849,5.865590679832167e-09,0.0
1850,2.0366988096043315e-08,0.0
1851,1.3543821175687754e-08,0.0
1852,2.99485096721952e-08,0.0
1853,2.508211416341055e-08,0.0
1854,1.8184826089395756e-08,0.0
1855,1.963566731433275e-08,0.0
1856,1.1907535402144731e-08,0.0
1857,2.4895696171256532e-08,0.0
1858,6.8511463169329545e-09,0.0
1859,1.9350258284589472e-08,0.0
1860,1.2816115280145368e-08,4.577183909670879e-10
1861,1.744906619194353e-08,0.0
1862,4.9697850279528666e-09,0.0
1863,8.990317601487163e-09,4.994620828036034e-10
1864,8.151037178549814e-09,0.0
1865,1.3649848362717876e-08,0.0
1866,8.75810357570117e-09,9.731225825149181e-10
1867,1.8925964795357686e-08,0.0
1868,1.877152122631287e-08,0.0
1869,3.906815315701806e-09,0.0
1870,8.027668307875047e-09,0.0
1871,2.1242354542039266e-09,0.0
1872,2.2979889990892843e-08,0.0
1873,1.1373408881354408e-08,0.0
1874,8.364453130127458e-09,0.0
1875,1.0870901512305409e-08,0.0
1876,1.934724735974669e-08,0.0
1877,1.793596660082386e-08,3.0924081073635534e-09
1878,3.140326082506917e-08,0.0
1879,8.55305515301552e-09,0.0
1880,1.1552122813895949e-08,0.0
1881,1.8128519629900808e-08,0.0
1882,2.2628309892525067e-08,0.0
1883,1.0110942583185789e-08,0.0
1884,1.7824581810543805e-08,0.0
1885,8.379326565943757e-09,0.0
1886,1.097088819790315e-08,0.0
1887,3.264462256069578e-09,0.0
1888,1.7119660356001987e-08,0.0
1889,1.2530273707511697e-08,0.0
1890,1.1142456735058204e-08,0.0
1891,1.0198752065093686e-08,0.0
1892,2.5074049059270465e-08,0.0
1893,2.463366621796581e-09,0.0
1894,1.1342770278588432e-08,0.0
1895,1.5648397910794642e-08,0.0
1896,1.533227589334274e-08,0.0
1897,7.574727511894253e-09,0.0
1898,7.921697076085366e-09,0.0
1899,9.39688327150634e-09,0.0
1900,8.824790675987515e-09,0.0
1901,1.3412973842719111e-08,5.588738916095792e-10
1902,2.455141867585553e-09,0.0
1903,3.7801539676252105e-09,0.0
1904,5.912087708281888e-09,0.0
1905,1.7030504784187883e-08,0.0
1906,2.1605574884731027e-08,0.0
1907,6.1714121590839e-09,0.0
1908,1.4243027868232616e-08,0.0
1909,4.400786846048277e-09,0.0
1910,2.618633776485524e-08,0.0
1911,1.8089271303090015e-08,0.0
1912,1.8753915753677575e-08,0.0
1913,2.0681660439780813e-08,0.0
1914,1.4732836284281348e-08,0.0
1915,2.4739600590351074e-08,0.0
1916,3.2962386153911893e-09,0.0
1917,2.1932848870420685e-09,0.0
1918,3.44591288836682e-09,0.0
1919,5.524709134618888e-09,0.0
1920,1.590168707821249e-08,0.0
1921,1.5902768879527684e-08,0.0
